Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
-1.99047852,0.71533204,-1.8190918,238.83969117,158.53434754,227.84733582,1436433410.1,0
-1.79882813,1.29931641,1.66894532,-182.39694214,229.64884949,247.20610047,1436433410.16,0
1.87744141,0.76684571,1.7397461,-178.5038147,-227.06869507,-244.1374054,1436433410.22,0
1.77172852,0.93701172,1.6225586,-235.38931275,-236.29006959,-219.1450348,1436433410.25,0
1.80175782,1.10107422,1.58715821,-233.66412354,-245.69465638,239.64884949,1436433410.28,0
1.78051758,1.05932618,1.69677735,-236.71755982,249.03816224,-247.67938233,1436433410.37,0
1.74609375,1.02392579,1.72924805,-243.34350586,-241.5114441,245.02290345,1436433410.37,0
1.75122071,1.04467774,1.69580079,-247.80152894,-245.84733582,245.0076294,1436433410.43,0
1.77172852,1.06079102,1.70214844,-248.53434754,-246.54962159,247.52671814,1436433410.46,0
1.77148438,1.06225586,-1.76953125,-249.06869507,-246.33587647,237.75572205,1436433410.52,0
1.7788086,1.06372071,1.6850586,-246.97709656,-218.91603089,-248.19847107,1436433410.55,0
1.78222657,1.05981446,1.69824219,248.70228577,246.54962159,-242.19847107,1436433410.64,0
1.77368165,1.06079102,1.70874024,-247.83206177,-249.60305787,-245.54199219,1436433410.67,0
1.74804688,1.05200196,1.69726563,-246.80915833,248.79389954,-247.29771424,1436433410.73,0
1.7697754,1.05273438,1.69897461,248.870224,245.90840149,243.20610047,1436433410.76,0
1.7644043,1.06811524,1.70507813,-249.22137452,247.55725098,-247.72518921,1436433410.82,0
1.7697754,1.06567383,1.70483399,249.23664856,248.96183777,-242.1374054,1436433410.85,0
1.7631836,1.05957032,-1.76855469,-249.17556763,243.61831666,-248.93130494,1436433410.88,0
1.76098633,1.05761719,1.70434571,249.12977601,-247.90840149,242.96183777,1436433410.94,0
1.76293946,1.05957032,1.70239258,-247.70993042,247.3740387,-247.89312745,1436433410.97,0
1.75952149,1.05664063,1.70825196,-247.6335907,247.54199219,245.23664856,1436433411.0,0
1.7565918,1.05615235,1.7150879,247.78625489,247.29771424,244.03053284,1436433411.06,0
1.76025391,1.05957032,1.70825196,249.55725098,-244.96183777,244.5038147,1436433411.09,0
1.75561524,1.05908204,1.70410157,249.05343628,-247.52671814,243.43511963,1436433411.15,0
1.76220704,1.05541993,1.70825196,-218.99237061,-247.31297303,243.29771424,1436433411.18,0
1.76171875,1.05810547,1.7084961,249.95419312,246.38168335,-245.90840149,1436433411.24,0
1.76049805,1.0534668,1.71044922,-249.29771424,-248.24427796,247.02290345,1436433411.27,0
1.8347168,1.05810547,1.71411133,249.22137452,-248.90075684,-245.83206177,1436433627.78,0
1.83520508,1.05126954,1.72729493,-247.4045868,-219.0076294,243.19084168,1436433627.82,0
1.82495118,1.03515625,1.7241211,249.49618531,249.20610047,-248.58015442,1436433627.9,0
1.82128907,1.03515625,1.72558594,-248.25953675,-248.32061768,-247.98472596,1436433627.93,0
1.82958985,1.04101563,1.72875977,246.41221619,248.70228577,239.12977601,1436433627.96,0
1.83984375,1.0444336,1.72363282,245.55725098,-248.91603089,-242.33587647,1436433628.0,0
1.82983399,1.04541016,1.72558594,249.22137452,-243.17556763,-219.09924317,1436433628.05,0
1.8322754,1.04150391,1.72485352,-248.91603089,-249.78625489,239.0076294,1436433628.09,0
-1.76074219,1.05126954,1.72460938,249.74046326,247.35877991,-246.73281861,1436433628.12,0
1.85595704,1.0546875,1.71289063,249.69465638,-249.31297303,-242.10687256,1436433628.18,0
1.82202149,1.02661133,1.72558594,-246.74809266,244.42747498,-249.0076294,1436433628.21,0
1.81933594,1.03808594,1.72119141,-246.99237061,-249.48091126,-246.38168335,1436433628.26,0
1.80395508,1.02416993,1.74462891,246.73281861,246.21374512,243.02290345,1436433628.3,0
1.81689454,1.03466797,1.74365235,248.16793824,248.1374054,246.42747498,1436433628.35,0
1.82495118,1.03881836,1.73657227,247.5114441,245.41984559,249.52671814,1436433628.39,0
1.82397461,1.04833985,-1.76586915,249.19084168,-248.83969117,245.78625489,1436433628.44,0
1.83911133,1.04516602,1.72949219,249.57252503,249.81678772,245.74046326,1436433628.48,0
1.8178711,1.04101563,-1.76660157,-246.58015442,248.99237061,244.85496521,1436433628.54,0
1.8178711,1.03564454,1.73413086,-246.97709656,-246.30534363,-249.86259461,1436433628.57,0
1.81835938,1.04174805,1.7385254,249.69465638,249.4045868,-244.10687256,1436433628.62,0
1.82177735,1.0366211,1.73364258,-250.07633973,-249.06869507,-249.43511963,1436433628.68,0
1.83251954,1.04370118,1.74267579,-246.77862549,-244.41221619,-242.73281861,1436433628.71,0
1.81616211,1.03955079,1.72875977,248.36640931,-249.95419312,-243.64884949,1436433628.75,0
1.82250977,1.04028321,1.7385254,249.49618531,-243.32824708,244.0,1436433628.78,0
1.82299805,1.0510254,1.74072266,-248.44274903,247.34350586,248.54962159,1436433628.84,0
1.83081055,1.02075196,1.7475586,-245.78625489,-246.03053284,-233.0076294,1436433628.87,0
1.79638672,1.07275391,1.71533204,-242.36640931,-249.41984559,-246.70228577,1436433628.92,0
1.79248047,0.99243165,1.80737305,250.10687256,-245.43511963,-219.17556763,1436433628.99,0
1.82788086,0.98730469,1.79125977,235.72518921,-243.78625489,-234.38168335,1436433629.01,0
1.75122071,1.00439454,1.88403321,236.30534363,-241.6335907,-188.53434754,1436433629.05,0
1.47509766,0.85668946,1.96606446,-227.41984559,-216.94656373,-246.94656373,1436433629.1,0
1.8100586,0.38256836,-1.23632813,-223.17556763,93.28244019,200.19847107,1436433629.14,0
1.79785157,1.28076172,1.7956543,-235.28244019,93.17557526,189.78625489,1436433629.19,0
1.79199219,1.04248047,1.77807618,-220.5038147,125.5725174,172.12213135,1436433629.23,0
1.84472657,1.14233399,1.82739258,212.93130494,127.31298066,198.01527405,1436433629.28,0
1.4584961,0.99975586,1.93945313,188.61068726,111.31298066,210.67175293,1436433629.35,0
1.4494629,1.05688477,1.72045899,231.64884949,105.23664094,204.70228577,1436433629.41,0
1.50341797,1.27392579,-1.7932129,239.83206177,149.52671814,215.16030884,1436433629.43,0
1.47607422,1.22192383,1.18066407,221.35877991,168.6412201,-151.20610047,1436433629.46,0
1.27392579,1.6862793,0.6303711,226.5038147,-238.97709656,246.5038147,1436433629.5,0
1.73168946,0.92553711,1.69995118,-226.41221619,248.71755982,233.48091126,1436433629.55,0
-1.87670899,-1.79101563,1.85522461,-215.12977601,-235.55725098,-219.28244019,1436433629.58,0
1.77783204,1.00341797,1.69555665,-247.38931275,-233.72518921,-246.03053284,1436433629.64,0
1.78759766,1.00488282,1.72021485,245.81678772,-245.54199219,242.71755982,1436433629.67,0
1.86108399,1.06225586,-1.76635743,-244.62596131,-247.75572205,-241.78625489,1436433629.73,0
-1.76147461,1.03759766,1.72875977,-248.53434754,248.51908875,-237.2671814,1436433629.76,0
1.81982422,1.0234375,1.76293946,246.03053284,-234.83969117,246.41221619,1436433629.82,0
1.8034668,1.04248047,1.7319336,247.17556763,-242.88549805,246.1374054,1436433629.86,0
