Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
-1.73168946,-1.0510254,-1.90014649,-242.5038147,-248.32061768,241.87786866,1437635120.029049,1
-1.72363282,-1.04077149,-1.9675293,-247.83206177,-244.82443238,246.06106568,1437635120.058671,1
-1.72167969,-1.05444336,-1.99853516,-248.39694214,-249.0076294,243.17556763,1437635120.120451,1
-1.71606446,-1.05297852,-1.9975586,-249.43511963,-245.29771424,246.41221619,1437635120.148621,1
-1.72827149,-1.03564454,-1.96606446,-246.79389954,-247.84733582,-249.31297303,1437635120.208744,1
-1.73950196,-1.02685547,-1.95385743,-234.82443238,248.35115052,-230.96183777,1437635120.238377,1
-1.98046875,-0.94921875,-1.92407227,-227.67938233,239.80152894,-224.35115052,1437635120.298777,1
-1.65991211,-0.84619141,-1.92822266,-205.35877991,232.76335145,-236.74809266,1437635120.328692,1
1.92553711,-1.08764649,-1.42895508,232.73281861,-240.58015442,-248.62596131,1437635120.389050,1
-1.8725586,-0.99145508,-1.08715821,238.39694214,-40.24427414,237.6335907,1437635120.419633,1
-1.79907227,-0.88354493,1.88793946,242.58015442,-91.89312745,186.56488038,1437635120.478846,1
1.86572266,-0.77783204,-1.9975586,212.01527405,-127.32824708,220.48855591,1437635120.508591,1
-1.9182129,-1.2800293,-1.63842774,211.25190735,-119.83206177,231.4045868,1437635120.568606,1
-1.41137696,-1.30053711,1.95629883,-168.36640931,-208.25953675,-202.42747498,1437635120.599633,1
-0.78686524,-1.70214844,0.58251954,202.97709656,221.67938233,-222.25953675,1437635120.658971,1
1.74243165,-1.67529297,1.71264649,234.24427796,247.66412354,-211.2671814,1437635120.718917,1
-1.6147461,-0.91723633,-1.8803711,241.12977601,-247.48091126,-245.81678772,1437635120.748765,1
-1.78320313,-1.00610352,-1.93212891,248.70228577,246.48855591,247.80152894,1437635120.778750,1
-1.77172852,-1.04418946,-1.91259766,248.51908875,-247.45037842,248.09159852,1437635120.838638,1
-1.74731446,-1.0300293,-1.94726563,241.55725098,-249.5114441,-238.71755982,1437635120.869129,1
-1.98339844,-1.04516602,-1.9296875,246.39694214,248.71755982,246.19847107,1437635120.928888,1
-1.73999024,-1.03491211,-1.91333008,247.05343628,246.870224,243.95419312,1437635120.959102,1
-1.98339844,-1.04223633,-1.93920899,249.64884949,-250,-247.74046326,1437635121.018937,1
-1.7175293,-1.05273438,-1.93115235,-249.20610047,246.62596131,-245.05343628,1437635121.048967,1
-1.72802735,-1.03881836,-1.92895508,249.6335907,-249.67938233,244.6412201,1437635121.107845,1
-1.73828125,-1.03930665,-1.92041016,-246.88549805,246.96183777,-240.58015442,1437635121.139023,1
-1.72680665,-1.04418946,-1.9182129,-246.80915833,-249.98472596,-247.17556763,1437635121.168888,1
-1.72827149,-1.03417969,-1.92553711,246.5038147,249.78625489,243.60305787,1437635121.258808,1
-1.73583985,-1.03833008,-1.93334961,-219.05343628,-247.31297303,249.70993042,1437635121.276917,1
-1.73022461,-1.03857422,-1.93554688,248.54962159,-246.870224,-248.94656373,1437635121.322020,1
-1.73486329,-1.04296875,-1.99487305,-248.38168335,246.96183777,-246.96183777,1437635121.348917,1
-1.75219727,-1.04589844,-1.91918946,-250.07633973,-248.21374512,-247.06869507,1437635121.409559,1
-1.7463379,-1.0522461,-1.92749024,-247.48091126,-246.36640931,-248.68702698,1437635121.440912,1
-1.73242188,-1.04931641,-1.93017579,249.66412354,246.70228577,250.04580689,1437635121.499034,1
-1.72558594,-1.04077149,-1.9182129,-249.46565247,249.29771424,242.65649415,1437635121.528642,1
-1.72241211,-1.93994141,-1.93188477,-244.73281861,-247.43511963,-248.48855591,1437635121.592266,1
-1.7775879,-1.93847657,-1.9194336,-242.44274903,243.80152894,-232.24427796,1437635121.619944,1
-1.74169922,-1.04858399,-1.94262696,-249.87786866,242.80915833,-240.07633973,1437635121.678881,1
-1.70581055,-1.02978516,-1.94799805,-241.72518921,249.41984559,-232.96183777,1437635121.708851,1
-1.69091797,-1.05249024,-1.95410157,-245.17556763,-248.91603089,-211.80152894,1437635121.769191,1
-1.68334961,-1.04589844,-1.94482422,-232.70228577,240.22900391,-194.06106568,1437635121.798836,1
-1.69799805,-1.04589844,-1.90942383,-204.94656373,232.07633973,-142.870224,1437635121.859505,1
-1.69848633,-0.97460938,-1.8178711,-139.20610047,227.43511963,-110.39694977,1437635121.890928,1
-1.53491211,-0.68115235,-1.88549805,-143.86259461,169.11450196,-51.64885331,1437635121.949106,1
-1.26928711,-0.78027344,-1.88134766,-241.70993042,104.5038147,-73.7709961,1437635121.978870,1
-1.97485352,-0.00006104,-1.48486329,-220.06106568,-234.94656373,104.38167573,1437635122.038882,1
1.24072266,1.75122071,-1.41601563,150.85496521,-170.870224,147.38931275,1437635122.068448,1
1.91601563,-1.32495118,-1.07617188,-224.65649415,-97.05343628,127.38931275,1437635122.128899,1
-1.98486329,-1.22241211,-1.81445313,151.57252503,-143.81678772,114.12213898,1437635122.158711,1
-1.92504883,-0.69116211,1.73291016,143.70993042,-222.83969117,80.96183014,1437635122.218999,1
-1.96337891,-0.57324219,1.76928711,-225.19084168,234.79389954,79.95420075,1437635122.279032,1
-1.86743165,-0.37670899,1.83105469,184.70228577,249.23664856,98.29007721,1437635122.308831,1
-1.8491211,-1.92529297,1.72875977,190.99237061,-220.32061768,176.94656373,1437635122.338683,1
-1.6069336,-0.50073243,1.78955079,238.83969117,-208.76335145,186.33587647,1437635122.399051,1
-1.27563477,-0.67822266,-1.77734375,-231.96946717,-239.49618531,208.21374512,1437635122.428561,1
-1.23583985,-1.25610352,1.61914063,240.67175293,249.1450348,201.54199219,1437635122.488729,1
-1.1394043,-1.29174805,1.88916016,246.38168335,-247.29771424,178.2748108,1437635122.518829,1
-1.22558594,-1.38208008,1.98901368,-215.57252503,233.70993042,172.38168335,1437635122.578577,1
-1.31494141,-1.11938477,-1.96899415,-158.70228577,203.06869507,-220.82443238,1437635122.608919,1
-0.33715821,0.84033204,1.21411133,-169.05343628,-222.30534363,-39.54198456,1437635122.638663,1
1.70141602,-0.21777344,-1.11254883,-208.2748108,235.45037842,-227.12977601,1437635122.699182,1
-1.01733399,-0.49707032,-0.75585938,242.45800782,-245.19084168,-198.41221619,1437635122.728917,1
-1.73583985,-1.09741211,-1.75390625,242.96183777,249.49618531,-196.58015442,1437635122.789046,1
-1.7944336,-0.99169922,1.9753418,241.80152894,-249.57252503,-229.23664856,1437635122.818950,1
-1.79003907,-0.95678711,-1.88891602,245.92366028,242.51908875,-234.77862549,1437635122.879140,1
-1.73730469,-1.04760743,-1.92333985,-249.43511963,248.93130494,250.03053284,1437635122.909142,1
-1.73217774,-1.02954102,-1.99462891,249.98472596,-246.65649415,-246.74809266,1437635122.968917,1
-1.75927735,-1.04418946,-1.89526368,-249.89312745,245.93893433,-246.80915833,1437635122.998957,1
-1.74145508,-1.04028321,-1.90844727,249.98472596,241.38931275,-249.81678772,1437635123.058743,1
-1.73022461,-1.04345704,-1.91577149,-244.93130494,247.5114441,248.09159852,1437635123.088861,1
-1.73681641,-1.93994141,-1.92871094,-245.95419312,245.60305787,-236.6412201,1437635123.149752,1
-1.72265625,-1.02783204,-1.91113282,-241.86259461,248.65649415,-232.21374512,1437635123.178950,1
-1.73266602,-1.05200196,-1.91088868,-238.94656373,-219.32824708,-213.43511963,1437635123.238768,1
-1.7175293,-1.93969727,-1.92626954,-236.99237061,238,-197.48091126,1437635123.268941,1
-1.69433594,-1.04907227,-1.93066407,-232.68702698,231.35877991,-242.19847107,1437635123.329197,1
-1.82250977,-0.99438477,-1.74243165,-149.92366028,225.66412354,-51.09923554,1437635123.358883,1
-1.82080079,-0.29418946,-1.98388672,-112.12213898,174.10687256,-0.00763359,1437635123.419361,1
-1.5065918,-0.00006104,-1.6928711,-101.25190735,198.35115052,-0.00763359,1437635123.449013,1
-0.00006104,-0.00006104,-0.5444336,-222.71755982,-118,69.38931275,1437635123.509169,1
1.76245118,-1.95581055,-1.4416504,-209.60305787,-110.71755982,57.87786103,1437635123.538817,1
1.8581543,-1.15527344,-1.88134766,-233.69465638,-192,-234.5038147,1437635123.599240,1
-1.75195313,-1.02172852,-1.52563477,237.43511963,-210.04580689,-234.5038147,1437635123.628967,1
-1.66992188,-1.29736329,-1.63061524,172.74809266,-204.59541321,-234.5038147,1437635123.689060,1
-1.40795899,-0.85375977,-1.77905274,110.74809266,-212.53434754,35.31297684,1437635123.718987,1
-1.13378907,-1.91333008,-1.97241211,118.21373749,-243.23664856,95.92366791,1437635123.778994,1
-0.47875977,-0.52001954,-1.8515625,237.06869507,-140.41221619,-225.48091126,1437635123.808633,1
-0.19824219,-1.16455079,1.94116211,-196.45800782,-182.41221619,227.2671814,1437635123.898344,1
-0.14428711,-1.97558594,1.88549805,-163.74046326,-220.53434754,-167.54199219,1437635123.902472,1
-0.00006104,-1.875,1.08154297,-0.00763359,64.29007721,-0.00763359,1437635123.959051,1
-1.875,-0.00006104,-1.65332032,-215.11450196,237.87786866,-148.1374054,1437635123.988889,1
-1.93872071,-1.38354493,-1.37109375,241.34350586,-243.64884949,-245.19084168,1437635124.049261,1
-1.86108399,-1.09936524,-1.95800782,240.77862549,242.73281861,-236.47328187,1437635124.108685,1
-1.9831543,-1.01660157,-1.81860352,-249.80152894,-218.99237061,-246.29006959,1437635124.139348,1
-1.72460938,-1.02124024,-1.8828125,248.93130494,249.67938233,-243.16030884,1437635124.168956,1
-1.70874024,-1.04052735,-1.90917969,-248.51908875,246.39694214,246.74809266,1437635124.228950,1
-1.71655274,-1.04833985,-1.92016602,-219.0076294,246.59541321,241.48091126,1437635124.258782,1
-1.72680665,-1.94042969,-1.91845704,247.93893433,245.12977601,247.83206177,1437635124.319314,1
-1.72241211,-1.05566407,-1.9140625,248.06106568,248.04580689,-241.43511963,1437635124.348965,1
-1.70458985,-1.05395508,-1.90161133,248.47328187,246.93130494,249.02290345,1437635124.409166,1
-1.74487305,-1.05444336,-1.91796875,248.97709656,243.67938233,-235.3740387,1437635124.438925,1
-1.72216797,-1.05029297,-1.89965821,-249.89312745,246.59541321,-231.52671814,1437635124.499341,1
-1.7253418,-1.05029297,-1.9050293,-243.08396912,244.73281861,-223.5114441,1437635124.528876,1
-1.69702149,-1.05737305,-1.90356446,-236.15266419,241.84733582,-200.09159852,1437635124.589881,1
-1.70141602,-1.00585938,-1.93041993,-248.44274903,229.02290345,-163.23664856,1437635124.618953,1
-1.73706055,-1.07153321,-1.81689454,-175.95419312,229.1450348,-73.35877991,1437635124.679073,1
-1.43530274,-0.6772461,-1.60180665,-41.96946717,198.59541321,-0.00763359,1437635124.708885,1
-1.42797852,-0.6953125,1.94213868,-0.00763359,183.64884949,-0.00763359,1437635124.768932,1
-1.40771485,-0.00006104,-1.36987305,-0.00763359,-222.38168335,248.70228577,1437635124.829096,1
0.47583008,-0.24243165,-1.12548829,-169.05343628,-126.35114289,111.08396912,1437635124.859199,1
-1.89233399,-1.16308594,-1.22216797,-163.84733582,-101.74045563,24.06106949,1437635124.888774,1
-1.71533204,-1.02563477,-1.2631836,-234.82443238,-76.42748261,-234.5038147,1437635124.949436,1
-1.67578125,-1.29150391,-1.05029297,-243.54199219,-43.29771042,-234.38168335,1437635124.979400,1
-1.40112305,-1.04394532,-1.02929688,224.32061768,-25.58778573,12.79389287,1437635125.039726,1
-1.15161133,-0.69995118,-1.03515625,180,-46.6412201,30.65648842,1437635125.068894,1
-0.72558594,-0.24316407,-1.13867188,249.54199219,-110.74809266,32.06106949,1437635125.128843,1
-0.74609375,-0.71069336,-1.61181641,184.21374512,-216.04580689,127.86259461,1437635125.159104,1
-0.6369629,-0.8569336,1.08837891,139.38931275,226.94656373,182.67175293,1437635125.188855,1
-0.31811524,-1.3400879,1.96069336,212.15266419,-247.45037842,244.88549805,1437635125.249167,1
-0.85058594,-1.63549805,-1.70678711,200.79389954,-139.52671814,-70.83969117,1437635125.279027,1
-1.97998047,-0.99511719,1.57177735,114.90076447,154.10687256,-0.00763359,1437635125.338791,1
-1.57275391,-1.9194336,-0.31958008,233.75572205,249.08396912,-206.70228577,1437635125.368925,1
-1.83715821,-1.18212891,-1.31762696,-249.03816224,241.84733582,-246.47328187,1437635125.428974,1
-1.7475586,-0.94824219,-1.95385743,240.94656373,242.99237061,-211.74046326,1437635125.459063,1
-1.7956543,-0.91137696,-1.82421875,244.5038147,248.54962159,-238.59541321,1437635125.519584,1
-1.72460938,-0.99560547,-1.92382813,247.11450196,-247.16030884,-248.01527405,1437635125.548877,1
-1.74682618,-1.03881836,-1.90039063,-248.61068726,246.48855591,-247.3740387,1437635125.611025,1
-1.74291993,-1.04785157,-1.9206543,-249.11450196,-246.67175293,241.1450348,1437635125.638745,1
-1.73461915,-1.03833008,-1.9025879,-249.89312745,-248.33587647,-249.98472596,1437635125.699234,1
-1.74560547,-1.04223633,-1.92016602,-245.74046326,-248.30534363,-246.79389954,1437635125.728989,1
-1.74438477,-1.04394532,-1.9104004,-245.57252503,244.83969117,-245.89312745,1437635125.789303,1
-1.7421875,-1.94018555,-1.92529297,-241.86259461,-250.07633973,241.69465638,1437635125.819055,1
-1.74291993,-1.0366211,-1.90991211,-244.44274903,245.06869507,248.01527405,1437635125.879039,1
-1.75585938,-1.04199219,-1.92993165,-243.03816224,241.54199219,-239.87786866,1437635125.908884,1
-1.75317383,-1.04199219,-1.93554688,-249.89312745,240.83969117,-231.4045868,1437635125.970137,1
-1.74536133,-1.03759766,-1.93994141,-241.17556763,235.22137452,-229.34350586,1437635125.999156,1
-1.72558594,-1.02563477,-1.89770508,-236.56488038,239.6335907,-190.56488038,1437635126.059183,1
-1.73608399,-1.02905274,-1.84228516,-186.67175293,232.82443238,-243.28244019,1437635126.088932,1
-1.70385743,-1.02392579,-1.97729493,-184.06106568,210.68702698,-154.06106568,1437635126.149229,1
-1.42749024,-0.5131836,1.58374024,-211.74046326,184.80915833,-229.2671814,1437635126.178905,1
-1.54101563,-1.91186524,1.97021485,-230.39694214,145.35877991,198.99237061,1437635126.238796,1
-1.75732422,-0.73803711,-1.79223633,225.98472596,223.29771424,155.74046326,1437635126.268769,1
-1.75878907,-1.4663086,1.99389649,189.74046326,-226.70228577,-220.59541321,1437635126.328958,1
-1.45043946,-1.29223633,-1.97509766,217.23664856,-183.55725098,-248.5038147,1437635126.358874,1
-1.43237305,-1.26464844,1.84838868,234.04580689,-180.45800782,-234.1374054,1437635126.448711,1
-1.45214844,-1.14306641,1.82788086,-242.53434754,-203.05343628,248.47328187,1437635126.478486,1
-1.4572754,-1.1484375,-1.97241211,-239.11450196,-219.31297303,-249.29771424,1437635126.509186,1
-1.48291016,-1.16870118,-1.81542969,247.41984559,-225.64884949,243.12977601,1437635126.538872,1
-1.52856446,-1.95141602,1.95483399,241.06869507,231.20610047,237.34350586,1437635126.599116,1
-1.48706055,-0.94897461,1.93164063,227.61831666,201.55725098,193.83206177,1437635126.628955,1
-1.51269532,-1.08837891,1.99707032,218,184.62596131,198.35115052,1437635126.689195,1
-1.58056641,-1.09838868,-1.82226563,199.93893433,209.05343628,-222.870224,1437635126.718988,1
-1.65039063,-1.12744141,-1.74316407,186.19847107,-220.09159852,195.72518921,1437635126.779089,1
-1.73803711,-1.06396485,-1.43530274,181.96946717,-213.89312745,208.73281861,1437635126.808946,1
-1.81420899,-1.17260743,-1.53173829,180.61068726,-190.45800782,207.89312745,1437635126.869295,1
-1.77636719,-0.97363282,-1.7878418,184.79389954,-207.48091126,197.70993042,1437635126.899042,1
-1.9885254,-0.98730469,1.96215821,214.41221619,-249.46565247,-220.39694214,1437635126.959437,1
1.50122071,-1.04833985,-1.9506836,-230.1374054,-233.96946717,-234.12213135,1437635126.988856,1
1.77905274,-1.00585938,1.9050293,-0.00763359,-226.33587647,-213.93893433,1437635127.049218,1
1.40795899,-0.94970704,1.59765625,186.24427796,206.44274903,-160.01527405,1437635127.109097,1
-1.7697754,-1.04394532,-1.05688477,248.04580689,245.12977601,227.64884949,1437635127.139294,1
-1.79931641,-0.98217774,-1.47583008,242.91603089,-244.6412201,-243.89312745,1437635127.169224,1
-1.7788086,-0.98510743,-1.98779297,246.51908875,248.6412201,-241.93893433,1437635127.229156,1
-1.75634766,-1.04003907,-1.90478516,238.76335145,246.59541321,245.92366028,1437635127.259015,1
-1.80029297,-1.02001954,-1.89892579,240.59541321,-248.04580689,-249.38931275,1437635127.319247,1
-1.81933594,-1.00439454,-1.90869141,245.78625489,-244.73281861,-242.83969117,1437635127.349165,1
-1.79907227,-1.01855469,-1.89233399,246.07633973,-246.38168335,-241.16030884,1437635127.409182,1
-1.78930665,-1.02075196,-1.91088868,245.28244019,-245.92366028,-249.67938233,1437635127.438938,1
-1.80566407,-1.02075196,-1.91748047,-249.58778382,-245.70993042,-249.80152894,1437635127.499376,1
-1.77832032,-1.03686524,-1.92700196,247.86259461,-247.83206177,-250.04580689,1437635127.531038,1
-1.80322266,-1.06274415,-1.9104004,-219.17556763,-244.51908875,247.87786866,1437635127.618216,1
-1.8088379,-1.02514649,-1.92016602,-219.29771424,-246.56488038,-247.29771424,1437635127.622352,1
-1.81445313,-1.03149415,-1.89892579,247.74046326,-249.89312745,-244.38168335,1437635127.678871,1
-1.79077149,-1.01757813,-1.92651368,246.18321229,-248.48855591,238.18321229,1437635127.708929,1
-1.79736329,-1.94042969,-1.8869629,245.52671814,-244.32061768,-219.83206177,1437635127.768614,1
-1.80712891,-1.04003907,-1.87573243,-244.82443238,244.25953675,-245.95419312,1437635127.800590,1
-1.81030274,-1.94042969,-1.86328125,-244.41221619,243.0076294,245.61831666,1437635127.859407,1
-1.81372071,-1.11181641,-1.90087891,-246.32061768,249.90840149,247.54199219,1437635127.889058,1
-1.80200196,-1.01342774,-1.91430665,243.96946717,243.61831666,-249.81678772,1437635127.949821,1
-1.79248047,-1.04199219,-1.92578125,-249.57252503,249.52671814,-235.0076294,1437635127.978927,1
-1.98583985,-1.03979493,-1.89819336,249.55725098,238.53434754,-238.62596131,1437635128.038852,1
-1.77172852,-1.02392579,-1.99291993,-249.12977601,234.76335145,-237.02290345,1437635128.088099,1
-1.74462891,-1.00732422,-1.8737793,-245.3740387,233.31297303,-227.25190735,1437635128.133410,1
-1.72753907,-1.02465821,-1.89868165,-242.73281861,229.72518921,-207.46565247,1437635128.158293,1
-1.78881836,-1.03369141,-1.88500977,-228.97709656,215.6335907,-140.30534363,1437635128.217813,1
-1.80273438,-1.93847657,-1.82324219,-178.5038147,216.16793824,-81.05343628,1437635128.248560,1
-1.67993165,-0.84594727,-1.81103516,-157.0076294,177.70993042,-0.00763359,1437635128.307765,1
-1.6303711,-1.00439454,-1.96972657,-243.11450196,134.97709656,-0.00763359,1437635128.338354,1
-1.27856446,-0.58691407,-1.95581055,-68.77862549,192.71755982,227.1450348,1437635128.397686,1
0.16137696,-0.25805665,-0.66381836,-171.58778382,-182.38168335,128.33587647,1437635128.428373,1
-1.78808594,-1.28295899,-1.4440918,-210.41221619,-245.25190735,66.68701935,1437635128.487837,1
-1.95922852,-1.11694336,-1.50927735,223.20610047,-147.89312745,22.47328187,1437635128.518422,1
-1.8479004,-1.02783204,-1.54589844,166.29006959,-150.94656373,1.55725194,1437635128.577834,1
-1.70703125,-0.86132813,-1.77587891,115.6335907,-187.93893433,53.31297684,1437635128.608374,1
-1.7800293,-1.08666993,-1.39135743,60.09160233,-140.53434754,128.2748108,1437635128.668253,1
-1.50292969,-1.91967774,-1.45410157,228.48855591,-141.64884949,143.95419312,1437635128.698470,1
-1.03149415,-0.61328125,1.59472657,141.34350586,-194.88549805,132.53434754,1437635128.760176,1
-0.64404297,-0.56884766,1.5444336,157.49618531,-224.38168335,135.95419312,1437635128.819088,1
-0.5666504,-1.3869629,1.72753907,-221.46565247,-238.65649415,196.41221619,1437635128.849905,1
-0.68139649,-1.73608399,1.95605469,-124.19847107,-213.22137452,-131.87786866,1437635128.878968,1
-0.7163086,-1.875,-1.875,-0.00763359,188.6412201,-0.00763359,1437635128.939822,1
-0.69042969,-0.06542969,-1.84277344,241.43511963,241.06869507,-142.10687256,1437635128.968848,1
-1.69824219,-0.59057618,1.9897461,-243.17556763,-241.25190735,-233.34350586,1437635129.029603,1
-1.77807618,-1.94116211,-1.93481446,244.54962159,249.5114441,-225.31297303,1437635129.059532,1
-1.76660157,-1.07836915,-1.90942383,247.86259461,-250.06106568,241.0076294,1437635129.118735,1
-1.76928711,-1.01953125,-1.95385743,244.42747498,250.01527405,-238.25953675,1437635129.149640,1
-1.7878418,-1.03979493,-1.99340821,247.23664856,249.81678772,-232.70228577,1437635129.178967,1
-1.74267579,-1.0546875,-1.92578125,241.17556763,248.09159852,-249.41984559,1437635129.239464,1
-1.74316407,-1.04589844,-1.89404297,242.54962159,243.58778382,-234.58015442,1437635129.269332,1
-1.72045899,-1.00488282,-1.91064454,241.31297303,247.58778382,-238.25953675,1437635129.328999,1
-1.6940918,-1.0612793,-1.91235352,-219.31297303,245.16030884,-242.67175293,1437635129.359124,1
-1.66210938,-1.02001954,-1.88745118,-247.60305787,244.83969117,-228.83969117,1437635129.419043,1
-1.67285157,-1.0510254,-1.89404297,-241.41984559,243.90840149,-227.32824708,1437635129.448845,1
-1.6682129,-1.06152344,-1.89575196,-240.62596131,-219.03816224,-225.96946717,1437635129.509353,1
-1.66674805,-1.05786133,-1.90820313,-239.57252503,245.32824708,-209.66412354,1437635129.538994,1
-1.65454102,-1.06152344,-1.9182129,-235.78625489,233.49618531,-192.80915833,1437635129.599376,1
-1.66210938,-1.06469727,-1.86962891,-248.73281861,220.15266419,-129.84733582,1437635129.659100,1
-1.77929688,-1.0300293,-1.80053711,-170.85496521,-220.03053284,-72.12213898,1437635129.689033,1
-1.5612793,-1.00708008,-1.93164063,-198.03053284,178.62596131,-0.00763359,1437635129.719505,1
-1.37841797,-0.60351563,-1.99975586,-143.05343628,158.74809266,-0.00763359,1437635129.779328,1
-0.99609375,-0.00006104,-1.90161133,-234.68702698,-248.80915833,-225.16030884,1437635129.808912,1
-1.95605469,-0.1850586,1.87182618,249.41984559,188.61068726,46.6412201,1437635129.869035,1
1.91479493,-1.91528321,-1.52929688,-146.22900391,-248.59541321,68.76335907,1437635129.899235,1
-1.70947266,-0.4338379,-0.84643555,-225.34350586,-154.6412201,-234.5038147,1437635129.958952,1
-1.65893555,-1.34863282,-1.96166993,160.12213135,-144.85496521,-234.5038147,1437635129.989441,1
-1.46972657,-0.86254883,-1.25097657,-227.16030884,-241.20610047,-234.5038147,1437635130.019169,1
-1.33056641,-0.75756836,-1.4675293,85.81679535,-104.90076447,43.46564866,1437635130.078959,1
-1.4272461,-1.02050782,-0.00006104,127.41984559,-132.38168335,159.3740387,1437635130.109058,1
-0.00006104,-1.55175782,1.49682618,72.96183014,-121.00763703,119.92366791,1437635130.168972,1
-0.00006104,-0.36425782,1.53076172,214.12213135,-241.23664856,-224.04580689,1437635130.198915,1
-0.00006104,1.49365235,0.89160157,-2.19847322,166.79389954,-231.09924317,1437635130.259225,1
-1.875,1.53759766,1.19848633,-0.00763359,177.60305787,-54.29007721,1437635130.289038,1
-0.00006104,-1.4885254,-1.875,-203.93893433,-238.79389954,231.90840149,1437635130.379355,1
1.75195313,-1.35498047,1.76049805,243.48091126,-248.90075684,-249.09924317,1437635130.408856,1
-1.75439454,-1.0378418,-1.72216797,-246.79389954,240.2748108,241.45037842,1437635130.439211,1
-1.85839844,-1.08032227,-1.99145508,247.83206177,244.56488038,-237.49618531,1437635130.468847,1
-1.98632813,-1.00976563,-1.94970704,250.01527405,247.22137452,-249.3740387,1437635130.529193,1
-1.71606446,-1.00512696,-1.92089844,249.06869507,244.5038147,247.6335907,1437635130.559009,1
-1.73510743,-1.03588868,-1.90917969,246.01527405,243.87786866,-240.80915833,1437635130.619669,1
-1.73022461,-1.02612305,-1.8869629,242.85496521,243.32824708,-226.21374512,1437635130.649402,1
-1.70532227,-1.02807618,-1.99340821,243.1450348,-248.44274903,-225.11450196,1437635130.709307,1
-1.69873047,-1.07226563,-1.91113282,249.70993042,249.52671814,-241.38931275,1437635130.739044,1
-1.68579102,-1.06347657,-1.89428711,249.12977601,247.29771424,-240.5038147,1437635130.799635,1
-1.68090821,-1.06274415,-1.89111329,-249.54199219,240.56488038,-220.56488038,1437635130.829054,1
-1.65405274,-1.06298829,-1.89868165,-238.51908875,241.05343628,-215.29771424,1437635130.889929,1
-1.64819336,-1.94116211,-1.91992188,-232.82443238,239.34350586,-196.30534363,1437635130.919369,1
-1.67456055,-1.04028321,-1.86889649,-223.61831666,220.79389954,-138.82443238,1437635130.979102,1
-1.72875977,-1.0859375,-1.83740235,-179.58778382,-220.58015442,-81.89312745,1437635131.009664,1
-1.72924805,-0.89526368,-1.98925782,-195.46565247,191.45037842,-0.00763359,1437635131.069173,1
-1.49902344,-0.29541016,-1.94848633,-208.83969117,168.47328187,-0.00763359,1437635131.102097,1
-1.5300293,-0.00006104,-1.41088868,-89.74045563,243.2671814,155.72518921,1437635131.159527,1
-0.34204102,-0.00006104,-1.77490235,-171.49618531,230.24427796,90.93129731,1437635131.189161,1
