Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
1.52929688,1.80566407,1.02807618,-249.45037842,248.61068726,-242.74809266,1437635635.780385,1
1.53515625,1.80566407,1.02392579,-248.62596131,-246.73281861,-219.34350586,1437635635.838626,1
1.5354004,1.80981446,1.02587891,-248.44274903,-249.54199219,245.67938233,1437635635.899475,1
1.53222657,1.80395508,-1.81054688,249.22137452,247.38931275,-248.65649415,1437635635.929621,1
1.53393555,1.80419922,1.01684571,249.52671814,249.7709961,245.95419312,1437635635.960233,1
-1.77856446,1.79980469,1.0288086,248.67175293,-249.41984559,246.44274903,1437635636.018609,1
1.53417969,1.80029297,1.02075196,-249.64884949,247.20610047,246.07633973,1437635636.050803,1
-1.77856446,1.80029297,1.01782227,-249.6335907,-249.93893433,245.17556763,1437635636.108769,1
-1.7788086,1.80297852,1.02294922,249.32824708,246.96183777,-247.60305787,1437635636.140789,1
1.53466797,-1.7619629,1.02563477,249.16030884,-245.48091126,-249.05343628,1437635636.200452,1
1.53442383,1.80395508,1.02685547,247.19084168,-218.99237061,-245.49618531,1437635636.230699,1
1.53295899,1.80322266,1.03027344,246.36640931,248.44274903,-247.34350586,1437635636.319036,1
1.53369141,1.8010254,1.02734375,-247.69465638,246.51908875,-249.83206177,1437635636.348347,1
1.52929688,1.80737305,1.02514649,249.81678772,248.90075684,-245.38931275,1437635636.438354,1
-1.77905274,1.81542969,1.02392579,248.96183777,-219.03816224,-219.06869507,1437635636.442587,1
1.52709961,1.81152344,1.02514649,247.20610047,-249.49618531,-242.83969117,1437635636.472451,1
-1.77929688,1.80859375,1.02636719,247.64884949,-248.24427796,248.70228577,1437635636.501152,1
1.53637696,1.81225586,1.02270508,-249.98472596,-246.36640931,249.7709961,1437635636.589590,1
-1.7788086,1.82202149,1.0209961,-249.61831666,-244.45800782,-249.28244019,1437635636.618991,1
1.53588868,1.8112793,1.01123047,-249.92366028,245.35877991,-243.5114441,1437635636.678910,1
1.50903321,1.80834961,1.04663086,245.81678772,248.12213135,-240.15266419,1437635636.708247,1
1.52539063,1.80981446,1.02001954,238.04580689,239.57252503,-238.48855591,1437635636.739510,1
1.5041504,1.79516602,1.01855469,-220.58015442,231.0076294,-220.03053284,1437635636.769089,1
1.36401368,-1.7890625,0.83789063,-221.87786866,-248.39694214,247.48091126,1437635636.830205,1
1.6604004,1.33764649,0.98608399,-246.67175293,-220.24427796,181.67938233,1437635636.888636,1
1.86523438,1.58984375,1.00244141,-241.32824708,214.32061768,186.77862549,1437635636.919056,1
1.91430665,-1.97778321,0.67675782,-239.48091126,243.92366028,231.81678772,1437635636.949210,1
1.99780274,1.67749024,-1.83740235,239.72518921,-240.24427796,225.95419312,1437635637.009649,1
-1.88183594,1.39697266,0.77050782,231.75572205,-219.74046326,176.12213135,1437635637.039170,1
-1.9975586,1.47387696,-1.82324219,237.95419312,-216.38168335,153.43511963,1437635637.100531,1
1.87817383,1.65039063,0.86914063,248.42747498,-213.66412354,162.870224,1437635637.129642,1
1.61108399,1.62646485,0.84106446,246.94656373,-196.76335145,189.16030884,1437635637.189733,1
1.44311524,1.74731446,0.94653321,-223.55725098,-204.06106568,219.69465638,1437635637.219256,1
1.30859375,1.70605469,1.02050782,-226.21374512,-217.02290345,242.77862549,1437635637.311439,1
1.34350586,-1.75830079,1.35253907,-221.43511963,-232.59541321,244.03053284,1437635637.340156,1
1.15869141,1.71850586,1.33105469,-236.76335145,-229.4045868,-220.76335145,1437635637.369896,1
1.14672852,-1.76757813,1.64208985,234.2748108,237.49618531,203.78625489,1437635637.399442,1
0.34057618,1.08862305,-1.49438477,207.64884949,-234.5038147,249.35877991,1437635637.458709,1
0.24511719,-1.83251954,0.20507813,-244.36640931,42.70228959,-159.05343628,1437635637.489427,1
1.59350586,-1.96557618,-1.42382813,173.72518921,-202.870224,227.4045868,1437635637.550739,1
1.48730469,1.84228516,0.97094727,234.99237061,-235.7709961,228.06106568,1437635637.580265,1
1.47607422,1.87207032,1.02465821,234.99237061,-244.62596131,-219.92366028,1437635637.610983,1
1.52001954,1.85717774,1.02514649,247.7709961,-243.89312745,244.73281861,1437635637.669320,1
1.50366211,1.84667969,1.03588868,248.88549805,249.55725098,-246.82443238,1437635637.701589,1
1.49487305,1.86572266,1.03588868,-215.58778382,-244.65649415,-249.6335907,1437635637.760137,1
1.50634766,-1.76220704,1.0378418,-231.1450348,-248.06106568,-242.04580689,1437635637.791269,1
1.50854493,1.78979493,1.02905274,-245.46565247,-249.70993042,-236.93130494,1437635637.849074,1
1.51098633,1.80200196,1.0390625,-242.85496521,-246.44274903,-234.99237061,1437635637.881224,1
1.51928711,1.79931641,1.02734375,-245.46565247,-248.53434754,-247.35877991,1437635637.939016,1
1.5197754,1.7956543,1.0378418,-241.49618531,-247.25190735,-246.51908875,1437635637.970916,1
1.5197754,1.79296875,1.03417969,-239.09924317,-247.92366028,248.65649415,1437635638.029243,1
1.52026368,1.78466797,1.02661133,-242.03053284,-245.2671814,-240.04580689,1437635638.060886,1
1.51953125,1.79052735,-1.81079102,-238.88549805,-246.71755982,-237.12977601,1437635638.119217,1
1.52026368,1.7788086,1.03930665,-236.58015442,247.96946717,246.83969117,1437635638.151131,1
1.5144043,1.79370118,1.03930665,-239.17556763,234.2748108,-249.43511963,1437635638.209356,1
1.49780274,1.77734375,1.0510254,-240.19847107,218.53434754,-245.57252503,1437635638.241153,1
1.47973633,1.80590821,1.04858399,-245.48091126,206.03053284,233.16030884,1437635638.299238,1
1.5444336,-1.76733399,1.01953125,-227.55725098,-221.23664856,226.33587647,1437635638.331937,1
1.63110352,1.71801758,-1.82421875,-123.55725098,-234.5038147,-196.04580689,1437635638.389424,1
1.33178711,1.45019532,-1.83764649,-36.41221238,-234.5038147,-166.39694214,1437635638.420933,1
-1.98828125,1.34350586,0.61865235,-241.66412354,219.4045868,-242.94656373,1437635638.479076,1
-1.76416016,1.80175782,0.70898438,218.18321229,-128.29006959,-110.97709656,1437635638.511832,1
1.92138672,1.94384766,1.03295899,-195.25190735,-76.5038147,-115.83206177,1437635638.569216,1
1.74511719,1.62011719,1.05322266,-174.51908875,-84.2748108,-244.42747498,1437635638.601451,1
1.49291993,1.86865235,0.64208985,-155.86259461,-105.32824708,232.10687256,1437635638.659047,1
1.2084961,-1.87597657,0.5510254,-233.92366028,-99.38931275,227.83206177,1437635638.691134,1
1.21459961,-1.58618165,0.82470704,-218.18321229,-125.19084168,-238.74809266,1437635638.749129,1
0.95214844,-1.8322754,0.81396485,-204.59541321,-118.82442475,-222,1437635638.781393,1
1.12670899,-1.67529297,-1.7854004,-198.76335145,-166.53434754,-188.2748108,1437635638.841325,1
0.92797852,-1.9921875,1.31201172,-213.43511963,-178.74809266,-245.90840149,1437635638.871067,1
1.12060547,1.89257813,1.63061524,-231.70993042,-211.86259461,-200.29006959,1437635638.929169,1
0.68359375,1.53735352,1.59057618,212.71755982,175.20610047,-174.07633973,1437635638.961050,1
-1.96264649,-1.75952149,1.81030274,-138.03053284,-234.5038147,-131.29771424,1437635639.048724,1
0.33935547,0.7800293,0.33178711,75.81679535,223.90840149,219.0076294,1437635639.052638,1
0.69848633,-1.95629883,0.19238282,-220.48855591,-245.12977601,-250.10687256,1437635639.081270,1
1.46484375,1.82763672,1.04809571,-236.68702698,-242.04580689,237.17556763,1437635639.141324,1
1.49682618,-1.76025391,1.03027344,-239.98472596,-247.3740387,233.80152894,1437635639.199173,1
1.52026368,1.82910157,1.02392579,-243.2671814,-247.80152894,241.61831666,1437635639.230021,1
1.48999024,1.82421875,1.03955079,-235.6335907,-245.5114441,-243.34350586,1437635639.261055,1
1.5041504,1.80395508,1.03466797,-242.5038147,-242.18321229,244.41221619,1437635639.319281,1
1.5197754,1.78369141,1.02929688,-232.97709656,-218.91603089,-248.25953675,1437635639.351130,1
1.50439454,1.78759766,1.0522461,-238.2748108,248.94656373,-247.64884949,1437635639.442735,1
1.50878907,-1.76342774,1.04101563,-230.30534363,249.0076294,-249.61831666,1437635639.460122,1
1.50268555,1.79199219,1.05615235,-227.5114441,241.35877991,-243.02290345,1437635639.499118,1
1.52270508,1.7541504,1.02832032,-239.57252503,239.58778382,-249.11450196,1437635639.530830,1
1.5119629,1.77246094,1.04052735,-249.46565247,231.23664856,-247.49618531,1437635639.592595,1
1.49194336,-1.76489258,1.05761719,232.70228577,224.45800782,242.03053284,1437635639.624257,1
1.51904297,1.7788086,0.99560547,211.69465638,249.98472596,203.38931275,1437635639.679354,1
1.48583985,1.75341797,1.10375977,-241.66412354,-224.38168335,201.45037842,1437635639.712963,1
1.58740235,1.6928711,0.83300782,-247.89312745,-234.5038147,-208.90075684,1437635639.770610,1
0.92309571,1.87622071,-1.87109375,-130.32061768,-234.5038147,-127.74045563,1437635639.829605,1
