Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,time,label
1.81201172,1.02832032,-1.75170899,-248.30534363,245.2671814,-248.54962159,1436945256.903909,5
1.81079102,-1.81054688,1.96997071,243.89312745,243.5114441,-219.16030884,1436945256.933625,5
1.81225586,1.0234375,1.97436524,248.39694214,239.08396912,-247.11450196,1436945256.993806,5
1.81225586,-1.80981446,-1.75244141,-218.96183777,247.87786866,249.95419312,1436945257.023412,5
1.81152344,1.02734375,1.97045899,-248.45800782,-245.86259461,248.36640931,1436945257.084699,5
1.8100586,1.02954102,1.96826172,249.78625489,245.54199219,248.96183777,1436945257.113295,5
1.81372071,1.02978516,-1.75146485,248.93130494,248.79389954,-247.86259461,1436945257.174602,5
1.81640625,1.0275879,1.97070313,-247.35877991,249.23664856,-248.44274903,1436945257.203519,5
1.81176758,1.03027344,1.96240235,-218.99237061,247.12977601,-248.21374512,1436945257.263732,5
1.8112793,1.02539063,1.96972657,246.56488038,-249.87786866,-242.94656373,1436945257.293410,5
1.81079102,1.02856446,1.96704102,249.81678772,-249.49618531,-249.92366028,1436945257.354612,5
1.8112793,1.03051758,1.97241211,247.32824708,242.73281861,-248.91603089,1436945257.413751,5
-1.76171875,1.03076172,-1.75146485,249.34350586,-243.95419312,246.04580689,1436945257.443496,5
1.81420899,1.03027344,1.96997071,-246.33587647,249.19084168,249.69465638,1436945257.562793,5
1.80981446,1.02514649,1.96533204,249.32824708,-242.71755982,-249.72518921,1436945257.566535,5
1.81152344,1.02685547,1.96704102,-246.76335145,242.94656373,248.61068726,1436945257.594900,5
-1.76171875,1.0288086,-1.75170899,-249.57252503,248.70228577,246.39694214,1436945257.625368,5
1.80957032,1.0300293,1.96777344,247.78625489,-246.97709656,247.64884949,1436945257.655455,5
-1.76098633,1.02832032,1.96801758,245.54199219,-245.80152894,243.90840149,1436945257.713720,5
1.81469727,1.02636719,1.96850586,249.17556763,-248.01527405,248.70228577,1436945257.743304,5
1.81225586,1.03076172,1.96997071,249.32824708,-246.79389954,244.79389954,1436945257.803505,5
1.81494141,1.03027344,1.96655274,248.33587647,-249.3740387,246.74809266,1436945257.834130,5
1.81494141,-1.81054688,-1.75146485,-249.72518921,245.06869507,246.38168335,1436945257.893624,5
1.81030274,1.02905274,1.97021485,248.6412201,249.70993042,247.0076294,1436945257.925577,5
1.81420899,1.03222657,1.9663086,246.04580689,250.04580689,244.25953675,1436945257.984586,5
1.81103516,1.03222657,1.97338868,246.870224,-246.73281861,248.96183777,1436945258.042617,5
1.81469727,1.02807618,1.97119141,248.79389954,245.64884949,246.19847107,1436945258.134800,5
1.81420899,1.02954102,1.97021485,246.83969117,-249.23664856,247.54199219,1436945258.165023,5
1.81225586,1.02709961,1.95996094,-248.21374512,249.31297303,247.46565247,1436945258.194154,5
1.80810547,1.02490235,1.96850586,249.6335907,246.35115052,-250.04580689,1436945258.223093,5
1.81469727,1.0300293,1.96801758,-249.70993042,-249.72518921,250.04580689,1436945258.253359,5
1.81347657,-1.81054688,-1.75122071,248.38168335,-245.72518921,248.42747498,1436945258.283272,5
1.81176758,1.02832032,1.96215821,-249.57252503,247.31297303,-243.31297303,1436945258.343543,5
1.81152344,1.02490235,1.96240235,-249.64884949,247.54199219,249.69465638,1436945258.374814,5
1.8166504,1.03051758,1.96826172,-247.45037842,-218.93130494,249.86259461,1436945258.464562,5
1.81079102,1.03247071,1.97167969,248.42747498,-247.67938233,246.48855591,1436945258.494535,5
1.80932618,1.02905274,1.96582032,248.65649415,-249.49618531,249.06869507,1436945258.523146,5
-1.76098633,-1.81054688,1.96972657,-249.48091126,247.32824708,249.87786866,1436945258.555359,5
1.81347657,1.02709961,1.9741211,248.33587647,243.75572205,248.36640931,1436945258.583562,5
-1.76098633,1.03051758,1.97509766,-249.58778382,247.1450348,243.6335907,1436945258.643931,5
1.81225586,1.02832032,1.96850586,249.52671814,247.22137452,247.3740387,1436945258.673511,5
1.80810547,1.03271485,1.96777344,248,237.1450348,-249.98472596,1436945258.733803,5
-1.76123047,1.02661133,1.97119141,-246.77862549,-245.98472596,-218.90075684,1436945258.763333,5
1.80981446,1.02685547,1.96850586,-247.67938233,242.74809266,248.54962159,1436945258.823899,5
-1.76147461,1.02978516,1.97119141,249.61831666,-249.86259461,247.89312745,1436945258.853821,5
-1.76098633,1.03344727,1.97070313,247.84733582,-249.12977601,-249.2671814,1436945258.913480,5
1.81347657,1.03344727,1.96606446,245.75572205,-237.32824708,248.79389954,1436945258.973581,5
1.8112793,1.02539063,-1.75170899,246.5038147,246.39694214,245.86259461,1436945259.006214,5
-1.76171875,1.0288086,1.96826172,-248.82443238,-245.48091126,-247.83206177,1436945259.033443,5
