Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
-1.98022461,-1.05273438,-1.95703125,249.16030884,247.54199219,-245.81678772,1437634171.509256,1
-1.68237305,-1.05786133,-1.95483399,248.07633973,248.1374054,-243.78625489,1437634171.539870,1
-1.98046875,-1.93994141,-1.95532227,247.38931275,-249.70993042,-247.19084168,1437634171.600878,1
-1.67993165,-1.05078125,-1.96191407,244.80915833,-219.03816224,-247.19084168,1437634171.660972,1
-1.68164063,-1.05249024,-1.96118165,-219.08396912,-248.80915833,248.90075684,1437634171.718946,1
-1.67895508,-1.05590821,-1.95385743,248.51908875,-247.75572205,-246.58015442,1437634171.748668,1
-1.68261719,-1.05273438,-1.95605469,250.06106568,247.05343628,-244.79389954,1437634171.778732,1
-1.68310547,-1.0546875,-1.95800782,249.16030884,-249.3740387,-245.22137452,1437634171.809974,1
-1.68603516,-1.0522461,-1.9572754,-246.51908875,-249.32824708,-249.08396912,1437634171.841942,1
-1.6850586,-1.05395508,-1.96313477,247.87786866,-245.6335907,-242.33587647,1437634171.902066,1
-1.97998047,-1.05029297,-1.96337891,-248.70228577,-218.94656373,-249.08396912,1437634171.961121,1
-1.97998047,-1.05761719,-1.95800782,247.7709961,-248.97709656,-244.6412201,1437634172.020797,1
-1.68774415,-1.05615235,-1.95874024,249.25190735,-245.70993042,-246.97709656,1437634172.050978,1
-1.68139649,-1.04931641,-1.96142579,-218.90075684,249.32824708,240.88549805,1437634172.110935,1
-1.68310547,-1.05273438,-1.96386719,248.36640931,247.95419312,244.39694214,1437634172.140173,1
-1.68237305,-1.0510254,-1.9609375,246.5038147,-219.05343628,241.90840149,1437634172.170399,1
-1.68334961,-1.94042969,-1.95532227,-249.84733582,-245.61831666,245.83206177,1437634172.231468,1
-1.68554688,-1.04980469,-1.96679688,249.20610047,-249.60305787,-243.55725098,1437634172.261446,1
-1.6838379,-1.0456543,-1.95410157,247.93893433,249.5114441,247.72518921,1437634172.291157,1
-1.68994141,-1.04980469,-1.97729493,247.75572205,-249.22137452,246.870224,1437634172.350756,1
-1.68359375,-1.05249024,-1.96435547,-218.93130494,248.83969117,-219.48091126,1437634172.380410,1
