Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
-1.68945313,-1.05175782,-1.96948243,249.0076294,-242.38168335,-248.94656373,1437632127.600274,1
-1.69140625,-1.05029297,-1.95776368,240.5038147,-243.46565247,247.11450196,1437632127.630051,1
-1.69091797,-1.05664063,-1.96704102,238.59541321,-246.77862549,-249.58778382,1437632127.659389,1
-1.98022461,-1.04296875,-1.94067383,248.45800782,-249.19084168,238.09159852,1437632127.688798,1
-1.69555665,-1.04248047,-1.94604493,245.25190735,-245.11450196,240.79389954,1437632127.748500,1
-1.69726563,-1.05566407,-1.99682618,248.99237061,-247.32824708,235.28244019,1437632127.778221,1
-1.71362305,-1.04370118,-1.92944336,247.80152894,-245.20610047,238.93130494,1437632127.807462,1
-1.70605469,-1.03295899,-1.94873047,249.17556763,-247.87786866,246.62596131,1437632127.812508,1
-1.70336915,-1.04833985,-1.94726563,249.17556763,249.74046326,244.07633973,1437632127.869510,1
-1.71191407,-1.04589844,-1.94067383,247.35877991,-249.98472596,-249.98472596,1437632127.899298,1
-1.71655274,-1.04467774,-1.93847657,-250.1374054,246.54962159,246.88549805,1437632127.961171,1
-1.72265625,-1.05151368,-1.93579102,-244.65649415,-245.28244019,249.60305787,1437632128.018437,1
-1.71484375,-1.04492188,-1.93823243,-246.870224,242.93130494,-244.15266419,1437632128.107631,1
-1.70556641,-1.04882813,-1.94726563,-248.54962159,-246.24427796,-248.32061768,1437632128.137735,1
-1.70507813,-1.04833985,-1.94360352,-248.59541321,-248.93130494,-240.53434754,1437632128.199666,1
-1.70019532,-1.04907227,-1.9572754,249.84733582,-244.80915833,-250.01527405,1437632128.318938,1
-1.70483399,-1.04711915,-1.95092774,247.12977601,-243.95419312,-245.2671814,1437632128.348316,1
-1.69873047,-1.04882813,-1.96191407,247.74046326,-248.33587647,249.55725098,1437632128.377703,1
-1.69116211,-1.04028321,-1.96289063,242.870224,-247.09924317,228.21374512,1437632128.407891,1
-1.67407227,-1.07983399,-1.90795899,242.47328187,-249.96946717,239.74046326,1437632128.469086,1
-1.74804688,-1.04492188,-1.8894043,-246.10687256,249.72518921,-237.03816224,1437632128.497924,1
-1.78271485,-1.05175782,-1.91894532,-247.86259461,247.20610047,-241.57252503,1437632128.527580,1
-1.75610352,-1.05078125,-1.94140625,-247.95419312,245.35877991,-243.45037842,1437632128.557104,1
-1.81347657,-1.05981446,-1.92871094,-232.76335145,241.49618531,-247.23664856,1437632128.588364,1
-1.76757813,-0.98925782,-1.88012696,-228.30534363,235.96946717,-153.64884949,1437632128.618910,1
-1.67626954,-1.93457032,-1.9050293,-141.20610047,208.30534363,-98.41221619,1437632128.709654,1
-1.60229493,-0.36230469,-1.4128418,-30.38167954,118.44274903,-65.6335907,1437632128.738277,1
-0.95385743,-0.2854004,-1.71435547,-143.5114441,-42.18320466,-204.79389954,1437632128.827694,1
-1.05004883,-0.85180665,-0.00006104,-248.18321229,-0.00763359,153.67938233,1437632128.857423,1
-1.96411133,-1.1838379,1.9296875,189.81678772,-124.30534363,63.23664094,1437632128.862907,1
1.92626954,-1.33081055,-1.71533204,118.19847107,-240.96183777,124.44274903,1437632128.889667,1
-1.78979493,-1.13891602,1.99926758,108.47328187,-116.73282624,-225.20610047,1437632128.918899,1
-1.18603516,-0.40942383,-1.48022461,210.80915833,-57.17557145,170.38168335,1437632128.978558,1
-1.06567383,-0.74169922,1.88134766,237.95419312,-143.52671814,217.57252503,1437632129.008776,1
-0.00006104,-1.27807618,1.56958008,-242.71755982,-244.61068726,214.07633973,1437632129.068294,1
-0.18554688,-1.76855469,0.90576172,-136.99237061,189.83206177,-249.20610047,1437632129.098061,1
1.86450196,-0.00006104,-0.35522461,-209.75572205,219.03816224,234.93130494,1437632129.158796,1
1.88671875,-1.3359375,-1.76147461,-215.86259461,242.54962159,226.80915833,1437632129.188157,1
-1.6135254,-1.93432618,-1.82861329,-249.78625489,249.6335907,244.07633973,1437632129.248239,1
