Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
1.6838379,1.09643555,1.65820313,248.47328187,249.28244019,246.42747498,1436622183.051659,1
1.68481446,1.09716797,1.65966797,-248.74809266,249.75572205,242.54962159,1436622183.109918,1
1.68554688,1.09497071,1.65551758,248.62596131,-248.65649415,244.15266419,1436622183.141889,1
1.68432618,-1.80590821,1.65771485,248.16793824,-247.69465638,246.54962159,1436622183.199867,1
1.68286133,-1.80712891,1.66064454,248.38168335,-247.81678772,250.12213135,1436622183.231759,1
1.68725586,-1.80664063,-1.7709961,248.62596131,-247.58778382,240.12213135,1436622183.289903,1
1.68603516,1.0991211,1.65844727,248.04580689,-249.58778382,-249.93893433,1436622183.321761,1
1.68481446,1.09326172,1.66015625,249.28244019,247.57252503,249.41984559,1436622183.379860,1
1.68432618,1.09472657,1.65576172,246.80915833,246.71755982,-245.7709961,1436622183.411927,1
1.6850586,1.09716797,1.65087891,-248.22900391,245.28244019,242.85496521,1436622183.471803,1
-1.76904297,1.09765625,1.6628418,246.90075684,249.34350586,-244.29006959,1436622183.502162,1
1.68090821,1.09155274,1.65771485,-248.22900391,242.6412201,-242.59541321,1436622183.560228,1
1.68603516,1.09667969,1.66357422,247.12977601,-219.09924317,-241.86259461,1436622183.592184,1
1.6784668,1.09472657,1.65527344,247.03816224,242.82443238,-243.08396912,1436622183.650216,1
1.6760254,1.08496094,1.66088868,249.81678772,249.43511963,-250.04580689,1436622183.682163,1
1.67944336,1.10620118,1.65991211,-249.78625489,248.68702698,-248.76335145,1436622183.740292,1
1.67333985,1.10107422,-1.77148438,-219.16030884,-249.93893433,-237.66412354,1436622183.772358,1
1.68457032,1.0913086,1.64355469,247.58778382,-249.34350586,245.5114441,1436622183.830322,1
1.67944336,1.09643555,1.64746094,246.97709656,-249.55725098,239.84733582,1436622183.862301,1
1.67749024,1.09716797,1.65527344,248.53434754,-219.20610047,240.04580689,1436622183.920319,1
-1.7697754,1.10229493,1.65307618,249.02290345,-247.80152894,-249.34350586,1436622183.952625,1
1.66967774,1.09594727,1.6640625,-249.22137452,248.06106568,-249.5114441,1436622184.010464,1
1.70166016,1.03417969,1.68066407,-247.06869507,249.46565247,-248.73281861,1436622184.042671,1
-1.76928711,1.09350586,1.66845704,-243.67938233,-250.03053284,236.62596131,1436622184.100575,1
1.64208985,1.03808594,1.73364258,247.12977601,-242.44274903,249.43511963,1436622184.132254,1
-1.77026368,1.12353516,1.61743165,-248.870224,-246.74809266,247.3740387,1436622184.190508,1
1.71826172,1.12622071,1.63867188,-237.34350586,-247.72518921,247.35877991,1436622184.222208,1
1.67797852,1.02709961,1.69335938,-240.93130494,249.3740387,-244,1436622184.281543,1
1.69775391,1.11376954,1.71337891,-247.5114441,-246.35115052,-240.97709656,1436622184.312767,1
1.62231446,1.01879883,1.66357422,-242.97709656,-248.870224,-247.06869507,1436622184.370564,1
1.69653321,1.13403321,1.67407227,-248.58015442,-249.08396912,246.35115052,1436622184.402300,1
1.65722657,1.03222657,1.69384766,249.22137452,-247.35877991,238.25953675,1436622184.460614,1
1.69848633,1.08007813,1.6850586,247.2671814,-245.60305787,235.57252503,1436622184.492503,1
1.67407227,1.07421875,1.68652344,247.98472596,-244.80915833,245.5114441,1436622184.587985,1
1.74511719,1.11206055,1.57373047,249.6335907,-238.68702698,229.22137452,1436622184.598149,1
1.71850586,1.07617188,1.69750977,246.68702698,-240.93130494,225.12977601,1436622184.640041,1
1.74511719,1.06616211,1.67138672,-249.78625489,-248,225.66412354,1436622184.671644,1
1.73168946,1.05249024,1.68359375,-249.92366028,-248.39694214,246.41221619,1436622184.759341,1
1.73730469,1.02636719,1.7307129,246.88549805,-246.54962159,244.73281861,1436622184.788857,1
1.75561524,-1.80737305,1.67871094,243.5114441,248.09159852,-242.03053284,1436622184.819818,1
1.78930665,1.09667969,1.67749024,240.59541321,234.24427796,-246.88549805,1436622184.851748,1
1.79003907,0.8947754,1.59619141,192.33587647,190.79389954,-200.41221619,1436622184.909874,1
1.95288086,-1.76464844,1.47583008,69.45037842,130.65649415,169.16030884,1436622184.942189,1
0.80908204,-1.21240235,0.83862305,197.52671814,101.29770661,160.6412201,1436622184.999870,1
1.5078125,1.82250977,1.56762696,191.45037842,119.90839386,103.40457917,1436622185.031835,1
1.85375977,1.45043946,1.96606446,229.31297303,42.77862549,181.92366028,1436622185.089927,1
-1.77148438,1.25732422,1.3815918,-248.82443238,79.435112,188.25953675,1436622185.121989,1
1.85083008,1.21313477,1.3112793,-226.1374054,122.62595368,-220.16793824,1436622185.181516,1
-1.8984375,1.91015625,1.97485352,-188.18321229,57.63358689,-144.07633973,1436622185.212110,1
-0.00006104,-1.875,1.50976563,-79.98473359,-202.90075684,68.85496521,1436622185.270393,1
0.68530274,-1.875,1.2944336,241.43511963,-197.90840149,153.6335907,1436622185.302887,1
1.71191407,0.86499024,1.60327149,237.69465638,-227.70993042,233.16030884,1436622185.360393,1
1.94140625,1.15087891,1.52075196,-247.38931275,-249.84733582,216.83969117,1436622185.392050,1
1.89038086,1.02954102,1.74536133,-247.7709961,-246.96183777,-219.7709961,1436622185.450338,1
1.88549805,1.06542969,1.68432618,248.67175293,-245.96946717,-244.67175293,1436622185.482615,1
1.86328125,1.03808594,1.68481446,-248.41221619,-218.99237061,-247.38931275,1436622185.540507,1
1.86938477,-1.8088379,1.6640625,248.65649415,248.870224,-247.81678772,1436622185.572532,1
1.87036133,1.05737305,1.67919922,249.17556763,-248.47328187,240.82443238,1436622185.630700,1
1.87695313,1.0444336,1.66992188,-245.74046326,247.34350586,245.7709961,1436622185.662563,1
1.87182618,1.04614258,1.68872071,249.93893433,249.3740387,-246.04580689,1436622185.720422,1
1.86547852,1.02832032,1.68579102,247.11450196,-248.54962159,-219.2671814,1436622185.752673,1
1.87695313,1.04272461,1.66308594,247.20610047,249.16030884,239.28244019,1436622185.810432,1
1.8647461,1.04785157,1.66113282,249.06869507,247.1450348,249.7709961,1436622185.842520,1
1.89575196,1.05957032,1.6928711,243.61831666,-247.81678772,-246.33587647,1436622185.900547,1
1.87719727,1.05664063,1.66870118,246.10687256,-245.06869507,-243.95419312,1436622185.933152,1
1.86328125,1.0300293,1.64990235,246.70228577,-249.93893433,-245.43511963,1436622185.991548,1
-1.7553711,1.07421875,1.68017579,239.23664856,248.74809266,-245.52671814,1436622186.023048,1
1.86303711,1.04125977,1.64453125,245.64884949,248.76335145,-243.98472596,1436622186.080471,1
1.85498047,1.04980469,1.63232422,-219.55725098,248.56488038,-237.1450348,1436622186.112162,1
-1.75732422,1.05126954,1.62451172,244.03053284,249.3740387,-246.56488038,1436622186.170386,1
1.87597657,1.05859375,1.64770508,244.15266419,243.1450348,-243.20610047,1436622186.202066,1
1.8334961,1.07714844,1.61425782,242.25953675,218.68702698,-227.84733582,1436622186.291008,1
1.93090821,1.43041993,1.74169922,231.05343628,209.5114441,-193.78625489,1436622186.319834,1
1.86230469,0.51660157,1.8515625,44.2748108,199.92366028,-147.78625489,1436622186.350214,1
1.17285157,0.63427735,-0.81152344,-234.5038147,-234.5038147,239.1450348,1436622186.382114,1
0.63989258,0.76806641,-1.61425782,129.86259461,-234.5038147,-222.38168335,1436622186.440571,1
0.92480469,1.20458985,1.08569336,168.77862549,1.29770995,196.96183777,1436622186.472572,1
1.82397461,1.1484375,-1.76367188,222.97709656,32.33587647,230.48855591,1436622186.530189,1
1.85766602,0.87841797,1.79931641,-235.16030884,49.49618149,-242.53434754,1436622186.562715,1
1.71386719,0.87719727,1.8166504,216.54962159,113.78626252,171.08396912,1436622186.620537,1
1.85400391,0.92797852,1.67431641,220.24427796,183.02290345,-228.39694214,1436622186.652459,1
-1.77685547,-1.80151368,-1.78125,245.80152894,242.2748108,66.25954438,1436622186.710536,1
1.54296875,1.30419922,1.54907227,222,-195.66412354,65.23664094,1436622186.772014,1
1.32006836,1.18457032,1.37280274,-224.56488038,-153.69465638,100.62595368,1436622186.801788,1
1.19921875,1.78027344,1.31640625,112.33587647,-30.71755791,170.47328187,1436622186.832301,1
0.66088868,1.43701172,0.50146485,-132.94656373,-46.03053284,-168.47328187,1436622186.890524,1
1.39868165,-1.19506836,1.93603516,-133.17556763,-196.88549805,-83.00763703,1436622186.922241,1
-1.875,-0.23950196,-1.9272461,-59.51145173,201.64884949,122.38167573,1436622186.980666,1
-0.97753907,1.77587891,0.2565918,-228.88549805,249.28244019,-214.04580689,1436622187.012583,1
1.9050293,1.34643555,1.47485352,-202.65649415,237.66412354,-194.68702698,1436622187.070395,1
1.94238282,1.26879883,1.69677735,-240.70228577,-248.19847107,-210.16793824,1436622187.133754,1
1.79345704,-1.8190918,1.69140625,-243.95419312,-249.86259461,-228.68702698,1436622187.161747,1
1.81958008,1.08740235,1.61694336,-240.74809266,-249.81678772,-220.29006959,1436622187.192616,1
1.74145508,1.01879883,1.68579102,-240.91603089,243.75572205,-229.29771424,1436622187.252709,1
1.75561524,1.05810547,1.71459961,-248.99237061,246.62596131,-235.43511963,1436622187.282186,1
1.75634766,1.05639649,1.67919922,-240.80915833,248.10687256,-247.06869507,1436622187.340428,1
1.74072266,1.04785157,1.71484375,249.2671814,-248.88549805,-250.09159852,1436622187.372613,1
1.72143555,1.0390625,1.73364258,249.11450196,-249.84733582,-244.01527405,1436622187.430552,1
1.72998047,1.07397461,1.72827149,248.56488038,-240.71755982,-249.95419312,1436622187.462668,1
1.73413086,1.08300782,1.72338868,245.25190735,-235.58778382,-244.80915833,1436622187.520206,1
1.73876954,1.08154297,1.69140625,246.51908875,-243.55725098,-243.64884949,1436622187.582438,1
1.74926758,1.07910157,1.69384766,243.31297303,-247.4045868,-239.03816224,1436622187.612028,1
1.74340821,1.07080079,1.69775391,247.61831666,-249.93893433,-245.66412354,1436622187.642542,1
1.75170899,-1.80761719,1.68652344,-249.32824708,244.24427796,-231.83206177,1436622187.703211,1
1.7150879,1.02539063,1.73559571,249.81678772,236.42747498,-218.61068726,1436622187.733205,1
1.70043946,1.02807618,1.65966797,240.56488038,230.77862549,-167.1450348,1436622187.790435,1
1.60278321,0.98266602,1.74243165,-113.00763703,-208.53434754,-0.00763359,1436622187.822626,1
-1.33398438,-1.875,1.30541993,-40.32061005,214.04580689,-0.00763359,1436622187.880711,1
1.70898438,-1.875,1.64868165,-31.86259461,-189.43511963,-237.52671814,1436622187.912742,1
1.41699219,-1.875,1.7631836,-184.30534363,-82.16793824,-158.85496521,1436622187.970461,1
1.95263672,1.0234375,-1.94995118,-247.90840149,-92.36640931,173.25190735,1436622188.003684,1
1.78833008,1.1640625,-1.72680665,-225.86259461,-132.03053284,21.22137452,1436622188.060455,1
1.73168946,1.02197266,-1.76928711,246.51908875,-215.52671814,-234.5038147,1436622188.092739,1
1.73559571,0.99609375,1.71215821,-202.56488038,226.29006959,-234.5038147,1436622188.150242,1
1.32202149,0.48999024,1.81420899,246.79389954,206.99237061,-234.5038147,1436622188.182538,1
-1.81494141,-1.04956055,1.63964844,245.2671814,163.28244019,61.05343628,1436622188.242103,1
0.41650391,1.87939454,0.78686524,-160.61068726,-199.4045868,105.51145173,1436622188.272196,1
-1.875,-0.82153321,-1.97680665,-188.41221619,195.17556763,-210.35115052,1436622188.330339,1
1.10644532,1.08300782,1.65136719,149.1450348,197.09924317,-187.19084168,1436622188.362751,1
0.83691407,-1.875,-1.77563477,209.34350586,239.12977601,249.89312745,1436622188.420528,1
-1.51953125,1.22753907,0.94628907,-176.65649415,228.45800782,-209.2671814,1436622188.453015,1
1.98022461,1.43896485,1.70556641,-208.18321229,240.48855591,-204.32061768,1436622188.510557,1
1.93969727,0.86694336,1.65844727,247.49618531,-240.48855591,-242.870224,1436622188.542619,1
1.84960938,1.02661133,1.69433594,-241.83206177,-246.36640931,-231.03816224,1436622188.602324,1
1.83129883,-1.80957032,1.75097657,-249.64884949,244.01527405,-226.85496521,1436622188.632609,1
