Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
1.97436524,1.01904297,1.82397461,250,-219.6335907,-236.96183777,1436620839.751832,1
1.99951172,1.02563477,1.88500977,239.2671814,250.04580689,-243.54199219,1436620839.781321,1
-1.98217774,1.00610352,-1.75512696,244.24427796,246.47328187,-245.16030884,1436620839.871597,1
1.98608399,1.02001954,1.78881836,244.45800782,-245.35877991,-249.93893433,1436620839.900992,1
1.99316407,1.01245118,1.78759766,245.75572205,-249.06869507,248.68702698,1436620839.904742,1
-1.99902344,1.00585938,1.85205079,241.54199219,-248.93130494,-238.44274903,1436620839.933719,1
1.98388672,1.0065918,1.83422852,248.93130494,249.96946717,246.41221619,1436620840.020829,1
1.9819336,1.01391602,1.81884766,-249.92366028,-250.01527405,-249.58778382,1436620840.024611,1
1.98803711,1.00830079,1.81372071,249.11450196,-247.17556763,-245.6335907,1436620840.083322,1
1.98413086,1.00854493,1.83398438,-219.03816224,-245.16030884,241.06869507,1436620840.143318,1
1.98168946,1.00708008,1.84106446,-246.54962159,-249.84733582,-249.6335907,1436620840.171955,1
1.9765625,1.00854493,1.83300782,-218.91603089,-247.41984559,239.67938233,1436620840.202583,1
1.97607422,1.01391602,1.83081055,250.09159852,-238.71755982,247.23664856,1436620840.263156,1
1.98559571,1.00390625,1.84692383,244.65649415,-246.65649415,-245.89312745,1436620840.382160,1
1.97729493,1.01367188,1.83886719,246.35115052,246.71755982,248.36640931,1436620840.411792,1
1.97558594,1.01757813,-1.76123047,246.67175293,-249.92366028,242.73281861,1436620840.441332,1
1.98803711,1.01074219,1.83740235,-248.77862549,-249.23664856,-248.870224,1436620840.470987,1
1.98266602,1.01074219,1.84350586,248.83969117,-248.36640931,244.90075684,1436620840.474785,1
1.9753418,1.00708008,1.83618165,247.31297303,248.36640931,-247.38931275,1436620840.682577,1
1.98046875,1.01123047,1.83154297,247.20610047,-218.88549805,245.23664856,1436620840.712381,1
1.98022461,0.99438477,1.85205079,227.58778382,-247.0076294,-246.90075684,1436620840.741527,1
-1.99560547,0.99853516,1.78881836,233.61831666,246.38168335,-247.98472596,1436620840.773403,1
-1.99145508,1.0769043,1.72509766,242.870224,-249.23664856,-239.96946717,1436620840.806102,1
1.96362305,1.02148438,1.79956055,242.870224,246.16793824,-227.69465638,1436620840.832193,1
1.96166993,1.03222657,1.75439454,-250,244.80915833,-249.12977601,1436620840.863361,1
1.94238282,-1.8100586,-1.76391602,-246.94656373,242.58015442,-231.74046326,1436620840.892741,1
1.94213868,1.02368165,1.76538086,-241.75572205,245.20610047,-243.09924317,1436620840.922627,1
1.91308594,1.02075196,1.79248047,-244.48855591,244.79389954,-245.83206177,1436620840.951795,1
1.91357422,-1.81103516,1.80786133,-246.41221619,248.68702698,-239.1450348,1436620840.981607,1
1.90820313,1.01879883,1.80053711,-244.15266419,-249.41984559,-249.93893433,1436620841.013024,1
-1.7553711,1.01391602,-1.76074219,-241.19084168,248.71755982,240.68702698,1436620841.043751,1
-1.7565918,1.0119629,1.8515625,-241.70993042,249.96946717,245.58778382,1436620841.131793,1
1.88549805,1.01757813,1.8581543,-249.54199219,-248.56488038,237.25190735,1436620841.162200,1
-1.75878907,0.99780274,1.89941407,244.6412201,-249.45037842,218.68702698,1436620841.191591,1
1.99780274,0.99267579,1.7331543,-228.91603089,226.85496521,-220.59541321,1436620841.223639,1
-1.97827149,0.97583008,0.97729493,-0.00763359,142.93130494,222.91603089,1436620841.281524,1
-1.15283204,0.66113282,1.14697266,-247.86259461,23.89312935,241.45037842,1436620841.343194,1
-1.59082032,1.20556641,1.9284668,-248.91603089,50.12213898,185.3740387,1436620841.373045,1
-1.75122071,1.03491211,1.76000977,222.65649415,57.19083787,155.08396912,1436620841.403863,1
1.98242188,0.97558594,1.95947266,177.0076294,87.23664094,160.56488038,1436620841.461691,1
1.80004883,-1.82397461,1.81713868,-223.20610047,101.78626252,192.35115052,1436620841.493858,1
1.62182618,-1.81762696,1.98583985,188.85496521,121.67938996,226.30534363,1436620841.551563,1
1.53100586,0.82788086,-1.98120118,198.73281861,167.58778382,-194.80915833,1436620841.583409,1
1.63720704,0.94116211,1.99658204,224.35115052,201.06869507,-149.60305787,1436620841.641541,1
1.73730469,0.79614258,1.9362793,204.70228577,241.4045868,-125.28244019,1436620841.673522,1
-1.8647461,-1.83447266,-1.88476563,243.11450196,248.07633973,-146.85496521,1436620841.760895,1
-1.54589844,0.43969727,-1.6472168,-228.29006959,-190.36640931,-186.04580689,1436620841.765308,1
-1.2163086,0.99340821,-1.3972168,201.55725098,-121.25190735,-229.25190735,1436620841.823754,1
-0.8425293,-1.98461915,-1.73168946,-171.7709961,-136.36640931,152.90075684,1436620841.853875,1
-0.32714844,0.24707032,0.32128907,-238.51908875,204.01527405,-118.87023163,1436620841.941835,1
-1.78735352,0.85766602,-1.97778321,-249.81678772,-233.34350586,-232.12213135,1436620841.971426,1
-1.98730469,1.02294922,1.80395508,-245.78625489,-234.58015442,242.67175293,1436620842.001675,1
1.9609375,0.99243165,1.82763672,246.16793824,-241.0076294,231.23664856,1436620842.033790,1
-1.75024415,0.99804688,1.8256836,245.06869507,-243.32824708,246.07633973,1436620842.091654,1
1.96020508,1.0234375,1.77563477,246.18321229,-245.64884949,-244.79389954,1436620842.153542,1
-1.75122071,1.01489258,1.79003907,245.48091126,-241.11450196,-247.98472596,1436620842.183037,1
1.97119141,1.02490235,-1.76391602,242.83969117,-249.72518921,246.62596131,1436620842.214356,1
1.9831543,1.01660157,1.7722168,245.6335907,-245.92366028,241.12977601,1436620842.271621,1
1.99414063,1.01367188,1.7890625,248.06106568,-243.70993042,237.41984559,1436620842.304230,1
1.99853516,1.01513672,1.78076172,-249.74046326,-248.56488038,245.6335907,1436620842.361634,1
-1.99536133,1.01513672,1.77905274,-248.58015442,248.10687256,-246.82443238,1436620842.393582,1
-1.99951172,1.01953125,1.76806641,248.04580689,-250.1374054,-244.36640931,1436620842.451334,1
-1.99682618,1.01928711,1.76489258,-248.65649415,-242.68702698,247.75572205,1436620842.483381,1
-1.99584961,1.01708985,1.77294922,249.12977601,-249.81678772,247.4045868,1436620842.541651,1
-1.99462891,1.01928711,1.76782227,-248.59541321,249.46565247,-250.12213135,1436620842.573552,1
-1.99316407,1.01342774,1.77807618,-249.4045868,-248.47328187,243.89312745,1436620842.631694,1
-1.99951172,1.01513672,1.78393555,-247.08396912,249.86259461,241.35877991,1436620842.663952,1
-1.99169922,1.01660157,1.77905274,-248.68702698,246.53434754,-249.3740387,1436620842.721604,1
-1.98681641,-1.81103516,1.77954102,-249.60305787,-249.87786866,-246.24427796,1436620842.753792,1
-1.99487305,1.02050782,1.7866211,249.7709961,248.59541321,-249.03816224,1436620842.811715,1
1.99804688,1.02124024,1.78100586,249.90840149,-246.91603089,-246.47328187,1436620842.843845,1
-1.98486329,1.00854493,1.78247071,248.16793824,245.80152894,-247.66412354,1436620842.901675,1
-1.9975586,1.01269532,1.77709961,247.31297303,-248.19847107,-249.12977601,1436620842.933411,1
-1.99829102,-1.81152344,-1.76293946,241.12977601,245.67938233,-232.29006959,1436620842.992936,1
1.98144532,1.02465821,1.79394532,248.62596131,-249.2671814,-235.16030884,1436620843.023447,1
1.98266602,1.01806641,1.75219727,246.70228577,-249.45037842,-236.70228577,1436620843.113606,1
1.9663086,1.0275879,1.77270508,246.80915833,248.10687256,-247.02290345,1436620843.141834,1
1.96655274,1.02441407,1.76000977,-249.19084168,-250.01527405,-244.15266419,1436620843.171738,1
1.95507813,1.02026368,1.76391602,-246.2748108,248.62596131,-247.17556763,1436620843.203795,1
1.94995118,1.00122071,1.77368165,246.18321229,246.04580689,-245.45037842,1436620843.264176,1
1.95605469,1.03271485,1.75830079,-249.4045868,246.74809266,-245.74046326,1436620843.293822,1
1.94824219,1.02807618,1.77905274,-244.80915833,249.58778382,248.5038147,1436620843.352731,1
1.89282227,1.02661133,1.8088379,-249.4045868,-244.58015442,246.48855591,1436620843.383990,1
1.94970704,1.04516602,-1.76660157,237.5114441,-249.72518921,230.32061768,1436620843.441786,1
1.90844727,1.01831055,1.66967774,-234.12213135,-240.80915833,204.36640931,1436620843.473814,1
1.81616211,0.79370118,1.63427735,-214.51908875,-190.36640931,113.05343628,1436620843.531953,1
1.88427735,-1.82153321,1.7854004,209.52671814,-98.83969117,-234.5038147,1436620843.564402,1
-1.81689454,0.7697754,1.55664063,-54.38167954,-230.15266419,-232.04580689,1436620843.651103,1
-0.75439454,0.75708008,0.94067383,123.48091889,128.35115052,196.53434754,1436620843.680996,1
-1.78466797,0.14916993,-1.2475586,195.05343628,216.6412201,-125.46565247,1436620843.711712,1
-1.77954102,1.10864258,-1.37670899,236.62596131,-187.89312745,-77.89312745,1436620843.772585,1
-1.75439454,1.05175782,-1.96069336,-243.86259461,-177.45037842,-65.46565247,1436620843.802596,1
-1.67480469,1.18554688,1.66235352,237.2671814,-187.28244019,-98.30534363,1436620843.892826,1
-0.98217774,0.83764649,1.24951172,178.32061768,208.94656373,-122.85496521,1436620843.951866,1
-0.80834961,-1.78759766,-1.93041993,190.16793824,185.17556763,-248.10687256,1436620843.983015,1
-0.00006104,-0.00006104,-0.57836915,-234.5038147,-43.0687027,130.25953675,1436620844.011590,1
1.92578125,1.23730469,-1.2307129,-96.03053284,-248.36640931,139.69465638,1436620844.017611,1
-1.75048829,0.63793946,-1.93872071,242.96183777,-229.05343628,233.4045868,1436620844.071657,1
-1.96972657,1.01684571,1.63989258,245.64884949,-237.08396912,-245.23664856,1436620844.103804,1
1.96264649,1.04418946,1.71191407,-249.83206177,-243.4045868,248.32061768,1436620844.163179,1
-1.75488282,0.99829102,1.79394532,242.56488038,-246.73281861,-248.47328187,1436620844.193967,1
1.9519043,1.02514649,1.74511719,239.66412354,-240.22900391,240.32061768,1436620844.252045,1
1.93847657,1.00610352,1.74316407,239.75572205,-249.29771424,235.78625489,1436620844.313337,1
-1.75024415,1.01684571,1.74169922,241.81678772,-248.29006959,245.28244019,1436620844.372217,1
-1.98779297,1.0197754,1.71728516,247.06869507,246.45800782,-248.67175293,1436620844.401985,1
-1.99536133,1.04028321,1.70019532,244.54962159,249.17556763,246.06106568,1436620844.431744,1
1.98779297,-1.80932618,1.70239258,-244.1374054,249.93893433,-246.77862549,1436620844.465247,1
-1.99169922,1.04248047,1.71069336,-241.45037842,-219.29771424,-246.29006959,1436620844.521778,1
1.95239258,1.04467774,1.69189454,-240.03053284,-245.89312745,-249.28244019,1436620844.553935,1
1.9807129,1.02075196,1.75146485,-237.3740387,245.69465638,230.51908875,1436620844.611786,1
1.95776368,0.96972657,1.73242188,-228.09159852,241.02290345,218.15266419,1436620844.644612,1
-1.98535157,0.94726563,1.75317383,-202.33587647,-234.96183777,130.25953675,1436620844.701585,1
-1.2866211,0.55200196,-1.99902344,69.00763703,-0.00763359,-234.5038147,1436620844.733616,1
-1.75708008,-1.79736329,0.82373047,-0.00763359,-0.00763359,-234.5038147,1436620844.791649,1
-1.58422852,-1.875,0.52465821,-47.31297684,194.21374512,-234.5038147,1436620844.823676,1
0.20043946,0.32055665,-1.86132813,-237.35877991,242.01527405,-21.52671814,1436620844.882236,1
1.90942383,1.29174805,1.47192383,237.06869507,200.42747498,-58.09160233,1436620844.913918,1
-1.79370118,1.1616211,1.69970704,178.93130494,168.79389954,-0.00763359,1436620845.004462,1
-1.84863282,0.9050293,1.79956055,148.44274903,153.96946717,-0.00763359,1436620845.064338,1
-1.65673829,0.8190918,1.89550782,163.08396912,141.25190735,-29.52671814,1436620845.092398,1
-1.9506836,-1.875,-1.74438477,217.70993042,183.17556763,-1.96183205,1436620845.121922,1
-1.77587891,-1.875,-1.86035157,-193.70993042,-249.48091126,-92.80915833,1436620845.151810,1
-0.00006104,0.91723633,-1.98754883,139.34350586,228.93130494,-167.86259461,1436620845.183331,1
-0.00006104,-0.8178711,-1.49169922,222,224.56488038,53.87786103,1436620845.272468,1
0.55786133,0.94335938,-1.58715821,-145.78625489,-208.91603089,-234.5038147,1436620845.331932,1
-0.00006104,-0.00006104,1.38330079,163.2671814,-248.85496521,-170.68702698,1436620845.361098,1
-1.75830079,0.91894532,1.16088868,-234.85496521,-219.6335907,-227.3740387,1436620845.364842,1
1.85229493,1.07666016,1.83618165,227.46565247,-235.29771424,246.15266419,1436620845.421746,1
1.86499024,1.00341797,1.93408204,-249.3740387,-244.1374054,245.60305787,1436620845.454026,1
