,Axis1,Axis2,Axis3
0,1.8049316500000001,1.05957032,1.70703125
1,1.8081054700000001,1.05541993,1.71386719
2,1.8020019599999999,1.04858399,1.7150879000000001
3,1.7983398500000001,1.0522461000000001,1.70581055
4,1.8061523500000001,1.0539550799999999,1.7114257900000001
5,1.79467774,1.04980469,1.71777344
6,1.7924804700000001,1.0480957099999999,1.70703125
7,1.79467774,1.04296875,1.7199707099999999
8,1.8010254000000001,1.0541992200000001,1.71679688
9,1.7980957099999999,1.0583496100000001,1.6997070400000001
10,1.8002929700000001,1.0480957099999999,1.6955566500000001
11,-1.76245118,1.0505371100000001,-1.7678222699999999
12,1.79882813,1.0551757900000001,1.70605469
13,1.8000488299999999,1.04980469,1.7104492200000001
14,1.8022460999999999,1.0500488299999999,1.70410157
15,1.7966308600000001,1.05371094,1.70898438
16,1.8012695400000001,1.05371094,1.69995118
17,1.79858399,1.0544433600000001,1.70214844
18,1.78979493,1.05175782,1.69824219
19,1.79858399,1.0539550799999999,1.6977539100000001
20,1.7941894599999999,1.0512695400000001,1.69018555
21,1.80004883,1.0534668,1.70898438
22,-1.76245118,1.05273438,1.7109375
23,1.80444336,1.05249024,1.70922852
24,1.79614258,-1.80908204,1.69824219
25,1.8046875,1.06054688,1.70629883
26,1.78320313,1.05200196,1.70214844
27,-1.7619629,1.05029297,1.70776368
28,1.80322266,1.05419922,1.68969727
29,1.79492188,-1.80810547,1.70043946
30,1.79956055,1.04614258,1.69799805
31,1.79589844,1.04931641,1.69213868
32,1.80859375,1.07055665,1.69726563
33,1.79589844,1.05493165,1.6850585999999999
34,1.79833985,1.05639649,1.6784668000000003
35,1.79296875,1.0678711,1.67382813
36,-1.7619629,1.0600586,1.67749024
37,1.79638672,1.05566407,1.69018555
38,1.80249024,1.05419922,1.67333985
39,1.80615235,1.06542969,1.67578125
40,1.80761719,1.05126954,1.67773438
41,1.80322266,1.05981446,1.67285157
42,1.8022460999999999,1.05200196,1.68164063
43,1.80297852,1.06201172,1.68237305
44,1.80126954,1.00170899,1.68212891
45,1.8046875,-1.81054688,1.65844727
46,-1.76123047,1.06396485,1.6628418000000003
47,1.82006836,1.06591797,1.67089844
48,1.82763672,1.06201172,1.66259766
49,1.81640625,1.06542969,1.67163086
