Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,time,label
1.41430665,1.63085938,1.44384766,-241.89312745,220.71755982,-170.90075684,1437377392.711697,0
-1.09863282,1.32666016,1.70458985,-200.48855591,-220.53434754,-119.55725098,1437377392.741251,0
-1.4675293,0.44628907,-1.63964844,249.03816224,229.0076294,-202.2748108,1437377392.772316,0
1.7788086,0.60351563,1.53369141,-199.7709961,-216.09159852,-230.94656373,1437377392.864275,0
1.8256836,0.70483399,1.65014649,-243.87786866,-242.41221619,247.28244019,1437377392.892904,0
1.98388672,1.11889649,1.55053711,-236.21374512,-249.58778382,243.98472596,1437377392.923057,0
1.95898438,-1.79980469,1.6225586,-230.94656373,-247.57252503,-237.4045868,1437377392.982783,0
1.91625977,1.01928711,1.61035157,-246.68702698,-248.35115052,-249.38931275,1437377393.013261,0
1.92407227,1.02905274,1.57055665,-249.64884949,-246.88549805,-241.05343628,1437377393.042111,0
1.95019532,1.08374024,-1.77612305,-249.74046326,-248.42747498,-238.09159852,1437377393.074292,0
1.9338379,1.08935547,1.61889649,-249.03816224,-249.03816224,-247.22137452,1437377393.107068,0
1.95825196,1.02001954,1.53930665,249.49618531,-245.32824708,241.0076294,1437377393.163919,0
1.94091797,-1.80761719,1.56982422,-247.5114441,-246.59541321,-242.65649415,1437377393.194029,0
1.94213868,1.10546875,1.58935547,-246.80915833,-247.78625489,-241.58778382,1437377393.252859,0
1.93920899,-1.80761719,1.59350586,-247.81678772,-249.86259461,-249.72518921,1437377393.284134,0
1.8112793,1.19433594,1.63085938,-219.31297303,244.6412201,-224.39694214,1437377393.342119,0
1.90966797,1.00512696,1.54882813,-245.98472596,246.80915833,-245.19084168,1437377393.374039,0
1.85009766,1.07202149,1.54882813,-248.59541321,243.02290345,-247.98472596,1437377393.522120,0
1.93188477,1.00341797,1.6003418,229.41984559,234,-219.1450348,1437377393.551572,0
1.94506836,1.05249024,1.59545899,196.58015442,211.52671814,-182.82443238,1437377393.582060,0
1.62304688,1.1640625,1.62036133,-220.07633973,193.74046326,-104.18320466,1437377393.611902,0
-0.55859375,0.68872071,1.15454102,-145.34350586,87.7709961,-0.00763359,1437377393.619288,0
1.51782227,-1.875,1.02246094,-234.16793824,67.40457917,-0.00763359,1437377393.735583,0
-1.84887696,-1.51879883,-1.97924805,102.21373749,-242.59541321,204.83969117,1437377393.792047,0
-1.22778321,0.9025879,1.79663086,62.39694596,-62.74809266,-234.5038147,1437377393.795789,0
-1.70141602,1.59350586,-1.59082032,183.38931275,-138.07633973,-234.45800782,1437377393.824179,0
1.62084961,0.81445313,1.8659668,-235.29771424,-141.09924317,8.76335907,1437377393.881973,0
1.49291993,0.8491211,-1.92016602,-181.93893433,-124,-234.5038147,1437377393.885602,0
1.37402344,-1.875,-1.83374024,-146.32061768,195.81678772,41.83206177,1437377393.915030,0
0.53515625,0.75097657,-1.89257813,-127.83206177,-234.5038147,20.12213707,1437377393.944754,0
-1.875,1.70483399,1.59521485,238.59541321,12.01526738,58.93129731,1437377394.032064,0
-1.875,-0.8725586,-1.86523438,-224.77862549,73.81679535,233.80152894,1437377394.035976,0
-0.00006104,0.80151368,-1.875,-0.00763359,102.03053284,-0.00763359,1437377394.094366,0
0.14746094,0.4963379,0.65136719,-216.15266419,-245.52671814,159.1450348,1437377394.127597,0
-1.92895508,1.52246094,1.7006836,-234.91603089,-244.44274903,-243.02290345,1437377394.185020,0
1.91650391,1.0510254,1.68457032,-243.02290345,-243.69465638,-248.06106568,1437377394.245042,0
1.92529297,1.16137696,1.51049805,248.93130494,-242.88549805,-232.19847107,1437377394.274155,0
