Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
1.6015625,1.10058594,1.77441407,-242.85496521,241.41984559,-222.62596131,1436443655.965481,1
-1.77734375,1.05395508,1.85327149,-249.22137452,-247.69465638,-228.65649415,1436443655.997358,1
1.89038086,0.6291504,1.9741211,187.41984559,-221.29771424,-240.56488038,1436443656.055644,1
1.95043946,1.05859375,-1.61865235,196.38168335,120.10687256,183.60305787,1436443656.087673,1
1.87744141,1.0979004,1.92285157,187.72518921,108.96183014,210.18321229,1436443656.145670,1
1.82592774,1.13549805,-1.96459961,164.6412201,95.26717377,204.22900391,1436443656.177596,1
1.56958008,0.9963379,-1.71337891,164.41221619,63.17557145,188.80915833,1436443656.235559,1
1.44262696,1.09936524,-1.68896485,166.09159852,12.07633591,190.04580689,1436443656.267565,1
1.40478516,1.11303711,-1.86376954,170.42747498,8.06106854,187.38931275,1436443656.325736,1
1.38989258,1.22827149,1.84057618,211.66412354,66.6412201,194.76335145,1436443656.357707,1
1.42407227,1.27636719,-1.86621094,200.71755982,120.21373749,-242.07633973,1436443656.416167,1
1.38647461,-1.8022461,0.30737305,-247.03816224,-228.70228577,211.22137452,1436443656.446812,1
-1.94848633,0.14624024,1.36914063,-223.19084168,245.72518921,239.67938233,1436443656.506592,1
1.70214844,1.20458985,1.68188477,-232.96183777,246.97709656,245.74046326,1436443656.535930,1
1.59619141,1.04516602,-1.75830079,248.36640931,-247.02290345,248.94656373,1436443656.598019,1
1.60375977,1.08789063,1.8244629,-247.05343628,250.12213135,249.45037842,1436443656.627148,1
-1.7734375,-1.80737305,1.80371094,-238.70228577,245.5114441,-243.43511963,1436443656.687042,1
-1.77392579,1.06811524,1.84692383,-249.89312745,-247.4045868,246.38168335,1436443656.716058,1
1.60302735,1.0756836,1.84716797,-249.55725098,-249.54199219,-218.97709656,1436443656.775564,1
1.61254883,1.06030274,1.84985352,245.55725098,-246.62596131,249.5114441,1436443656.805947,1
1.61059571,1.09204102,1.83105469,241.60305787,-244.39694214,239.31297303,1436443656.837812,1
1.62060547,1.08007813,1.83813477,237.32824708,-248.67175293,-249.20610047,1436443656.896291,1
1.63867188,1.08813477,1.81176758,242.96183777,-249.28244019,-249.28244019,1436443656.928652,1
