Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,time,label
1.69628907,1.08569336,1.98950196,249.17556763,-250.1374054,248.15266419,1436611448.736093,2
1.68994141,1.06103516,1.96850586,248.85496521,248.74809266,246.71755982,1436611448.795746,2
1.68701172,1.0510254,1.96386719,-248.19847107,249.72518921,-247.25190735,1436611448.855021,2
1.68481446,-1.80908204,1.95947266,249.03816224,250.01527405,249.03816224,1436611448.913413,2
1.69189454,1.06030274,1.96801758,250.03053284,248.45800782,-243.1450348,1436611448.918143,2
1.69799805,-1.80834961,1.96191407,247.84733582,-249.90840149,237.49618531,1436611448.945901,2
1.68652344,1.04370118,1.96533204,-250.06106568,-249.67938233,-249.5114441,1436611448.975907,2
1.68896485,1.0444336,1.95483399,248.1374054,-249.17556763,-248.29006959,1436611449.034461,2
1.68872071,1.05493165,1.95874024,249.17556763,-249.16030884,241.43511963,1436611449.125850,2
1.6850586,1.05200196,1.95898438,248.44274903,-249.3740387,-244.68702698,1436611449.154424,2
1.68725586,1.04882813,1.95751954,248.48855591,248.77862549,241.61831666,1436611449.184265,2
1.68994141,1.0432129,1.95678711,246.58015442,-248.97709656,-242.71755982,1436611449.214515,2
1.68432618,1.03076172,1.95800782,246.94656373,249.57252503,244.07633973,1436611449.245436,2
1.68090821,1.03735352,1.95483399,249.90840149,249.58778382,239.23664856,1436611449.303486,2
1.68554688,1.04931641,1.96435547,-249.41984559,-247.32824708,-246.6412201,1436611449.364252,2
1.68652344,1.05053711,1.9609375,-247.17556763,248.65649415,246.47328187,1436611449.393824,2
-1.76928711,1.05029297,1.96533204,249.2671814,248.74809266,-245.4045868,1436611449.455523,2
-1.76953125,1.05639649,1.95825196,-248.58015442,-248.19847107,-219.19084168,1436611449.485900,2
1.68920899,1.05078125,1.95825196,249.29771424,-249.16030884,239.70993042,1436611449.516557,2
1.68725586,1.05322266,1.96386719,-249.48091126,248.77862549,-245.74046326,1436611449.547800,2
1.69116211,1.05419922,1.95703125,-248.74809266,-247.11450196,244.77862549,1436611449.604401,2
1.6850586,1.0510254,1.9584961,-246.6412201,-248.47328187,-243.4045868,1436611449.635285,2
1.68603516,1.05371094,1.95605469,-249.95419312,246.99237061,-249.89312745,1436611449.694527,2
1.68725586,1.0522461,1.96289063,247.67938233,249.64884949,-243.57252503,1436611449.724549,2
1.68725586,1.05273438,1.96142579,-248.77862549,-247.32824708,243.72518921,1436611449.784637,2
1.68725586,1.05297852,1.95581055,-246.24427796,-249.25190735,-250,1436611449.814651,2
1.68920899,1.04785157,1.96386719,247.81678772,-244.58015442,-246.83969117,1436611449.874452,2
1.69262696,1.04638672,1.9494629,-249.89312745,-246.6412201,248.71755982,1436611449.904341,2
1.66430665,1.05932618,1.9909668,249.57252503,-242.54962159,246.21374512,1436611449.964922,2
1.69042969,1.04492188,1.9597168,248.42747498,-248.67175293,-249.90840149,1436611450.026361,2
1.68652344,1.04931641,1.95288086,250.07633973,-249.67938233,244.76335145,1436611450.054808,2
1.6862793,1.04956055,1.96362305,247.75572205,248.70228577,246.35115052,1436611450.084418,2
1.69580079,1.07153321,1.96264649,248.12213135,247.12977601,247.16030884,1436611450.146356,2
1.69897461,1.0600586,1.94799805,-242.01527405,-219.06869507,241.28244019,1436611450.174355,2
1.6928711,1.0913086,1.93872071,-246.76335145,248.96183777,242.51908875,1436611450.234326,2
1.68261719,1.06054688,1.96264649,-249.78625489,241.08396912,-244.04580689,1436611450.266001,2
1.67358399,1.04101563,1.97460938,-243.20610047,247.60305787,-245.6335907,1436611450.324545,2
1.6784668,1.0678711,1.97021485,-242.47328187,247.90840149,-245.28244019,1436611450.354341,2
1.67407227,1.05859375,1.97607422,-241.57252503,248.85496521,-244.54962159,1436611450.414501,2
1.68212891,1.05908204,1.97802735,-239.60305787,249.90840149,-237.87786866,1436611450.444418,2
1.63793946,1.0197754,1.98559571,-237.81678772,246.94656373,-246.24427796,1436611450.504095,2
1.54809571,0.9729004,-1.97363282,-158.76335145,-233.46565247,143.02290345,1436611450.540044,2
1.54614258,0.54003907,1.34106446,-81.75572205,-4.68702269,185.52671814,1436611450.596783,2
0.16235352,0.76147461,1.64526368,240.77862549,-0.00763359,-224.03053284,1436611450.624550,2
0.65161133,-1.78833008,-1.89379883,-211.45037842,-0.00763359,198.6412201,1436611450.684446,2
1.09521485,1.5432129,-1.79223633,-235.2671814,-0.00763359,237.70993042,1436611450.744851,2
1.44238282,1.15332032,-1.75830079,-249.61831666,-41.9236641,-247.03816224,1436611450.774489,2
1.62084961,0.94848633,-1.75366211,-240.70228577,-64.7022934,-249.06869507,1436611450.834442,2
1.64233399,0.98583985,-1.74462891,247.54199219,-66.87023163,246.96183777,1436611450.865153,2
1.73413086,1.04467774,-1.58618165,-233.78625489,-240.01527405,243.83206177,1436611450.894625,2
1.7487793,1.04077149,-1.56640625,-224.45800782,-100.12213898,233.92366028,1436611450.954566,2
