Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
-1.93188477,1.03295899,1.68457032,247.05343628,-247.17556763,246.94656373,1436619749.040924,1
-1.93530274,1.04052735,1.68652344,249.64884949,248.99237061,-245.5114441,1436619749.101640,1
-1.93237305,1.0444336,1.68676758,248.93130494,248.61068726,-249.90840149,1436619749.131331,1
-1.99584961,1.04028321,1.68310547,250.06106568,-249.23664856,-246.42747498,1436619749.191394,1
-1.93896485,1.0522461,1.68896485,250.04580689,-246.58015442,243.81678772,1436619749.221083,1
-1.93334961,1.03344727,1.69189454,250.10687256,246.870224,245.86259461,1436619749.281278,1
-1.93188477,1.04370118,1.68530274,248.53434754,-247.23664856,243.06869507,1436619749.311054,1
-1.94580079,1.04150391,1.69018555,-249.72518921,248.03053284,-245.72518921,1436619749.371282,1
-1.93798829,1.03881836,1.68920899,-249.49618531,-244.91603089,-249.4045868,1436619749.401291,1
-1.93652344,1.04614258,1.6940918,-249.17556763,-249.90840149,-246.58015442,1436619749.461148,1
-1.9338379,1.04077149,1.6940918,246.54962159,-218.97709656,245.61831666,1436619749.491221,1
-1.99560547,1.03735352,1.6862793,-249.90840149,246.85496521,-246.58015442,1436619749.554748,1
-1.93774415,1.04052735,1.69360352,247.25190735,249.16030884,-246.80915833,1436619749.582228,1
-1.93286133,1.03857422,-1.76904297,249.92366028,245.49618531,-245.57252503,1436619749.641151,1
-1.93164063,1.04272461,1.68579102,-249.3740387,249.89312745,247.96946717,1436619749.671052,1
-1.99560547,1.03857422,1.67944336,-248.91603089,-249.61831666,-241.74046326,1436619749.730329,1
-1.99584961,1.03417969,1.68945313,244.48855591,247.32824708,245.81678772,1436619749.760847,1
-1.93530274,1.04150391,-1.76953125,-248.2748108,-242.90075684,246.36640931,1436619749.793272,1
-1.93603516,1.03833008,1.70898438,249.03816224,249.20610047,249.6335907,1436619749.851057,1
-1.94824219,1.01831055,-1.76684571,242.97709656,248.68702698,249.31297303,1436619749.885005,1
-1.93823243,1.04077149,1.67773438,243.86259461,248.10687256,-244.97709656,1436619749.941681,1
-1.93530274,1.04345704,1.67871094,242.80915833,-248.36640931,-247.5114441,1436619749.984769,1
-1.92895508,1.04223633,1.67700196,247.23664856,243.84733582,-247.90840149,1436619750.034472,1
-1.93408204,1.05053711,1.66259766,-248.70228577,247.05343628,-241.61831666,1436619750.066927,1
-1.93896485,1.05395508,1.66870118,-245.3740387,-248.73281861,246.5038147,1436619750.120547,1
-1.95117188,1.05297852,1.66845704,-235.06869507,245.38931275,-237.86259461,1436619750.152543,1
-1.92309571,1.04345704,1.72363282,-233.61831666,247.95419312,-249.67938233,1436619750.210372,1
1.99340821,1.04003907,1.64624024,-223.98472596,-243.72518921,-240.97709656,1436619750.242456,1
-1.94482422,0.87841797,1.68310547,-212.54962159,-248.51908875,217.5114441,1436619750.300587,1
-1.68872071,1.25830079,0.9116211,-0.00763359,160.61068726,228.85496521,1436619750.332506,1
-1.16333008,1.13916016,1.29248047,-230.22900391,-234.5038147,174.65649415,1436619750.390657,1
-1.70874024,1.10131836,1.61132813,177.1450348,-234.5038147,216.48855591,1436619750.422639,1
-1.79882813,1.07495118,1.83251954,179.5114441,-234.5038147,-239.61831666,1436619750.480443,1
-1.72387696,1.25610352,1.41186524,152.38168335,-234.5038147,248.03053284,1436619750.512552,1
-1.73461915,-0.86401368,1.12890625,129.23664856,-234.5038147,117.51145173,1436619750.570911,1
-1.47192383,0.43530274,-0.00006104,-58.96183396,-142.83969117,164.61068726,1436619750.602998,1
1.07910157,-1.875,1.75366211,218.36640931,-247.3740387,183.98472596,1436619750.661577,1
-1.90063477,1.02124024,1.62792969,223.80152894,243.48091126,-242.59541321,1436619750.693275,1
-1.91333008,1.05859375,1.60473633,247.89312745,244.74809266,-235.60305787,1436619750.751207,1
-1.92700196,1.03222657,1.6940918,244.99237061,245.7709961,-241.17556763,1436619750.782685,1
-1.95043946,1.04956055,-1.77075196,249.48091126,-248.44274903,248.56488038,1436619750.841295,1
-1.93286133,1.03710938,1.68359375,-248.6412201,-249.1450348,245.32824708,1436619750.873919,1
-1.93261719,1.04541016,1.68017579,247.6335907,247.16030884,-250.06106568,1436619750.933017,1
-1.92919922,1.03955079,1.66894532,249.11450196,-248.74809266,-246.90075684,1436619750.963031,1
-1.94580079,1.04663086,1.67480469,246.70228577,249.09924317,240.76335145,1436619751.023927,1
-1.9416504,1.05444336,1.66748047,247.05343628,-249.38931275,242.82443238,1436619751.054490,1
-1.95751954,-1.8088379,1.7019043,249.11450196,248.61068726,239.16030884,1436619751.110527,1
-1.99560547,1.04980469,1.68090821,249.87786866,248.04580689,249.23664856,1436619751.143389,1
-1.94677735,1.04907227,1.67822266,-247.5114441,248.91603089,-244.07633973,1436619751.173317,1
-1.95629883,1.04614258,1.68188477,-241.0076294,250.07633973,235.5114441,1436619751.234383,1
-1.92260743,-1.80834961,1.66503907,-248.65649415,-246.38168335,234,1436619751.263011,1
-1.89233399,0.99243165,1.70898438,-207.92366028,-240.82443238,231.25190735,1436619751.323400,1
-1.74511719,0.83325196,1.14501954,-133.08396912,-201.48091126,244.59541321,1436619751.352902,1
-0.47021485,1.67309571,-1.875,-0.00763359,60.9923668,-234.5038147,1436619751.411394,1
1.82080079,0.45678711,-1.8894043,239.23664856,96.09160615,33.96946717,1436619751.443330,1
1.88867188,1.3190918,1.20092774,225.31297303,194.06106568,163.35877991,1436619751.500954,1
1.51245118,-1.78588868,1.32617188,-222.38168335,143.58778382,191.0076294,1436619751.533884,1
1.52270508,0.89355469,1.54052735,190.29006959,103.86259461,-229.19084168,1436619751.591300,1
1.58032227,0.67626954,-1.81811524,157.7709961,121.7709961,-131.74046326,1436619751.623054,1
1.7619629,0.68945313,-1.76806641,190.99237061,181.60305787,-73.89312745,1436619751.680912,1
-1.93408204,0.69213868,-1.72509766,199.23664856,249.25190735,-72.51908112,1436619751.715186,1
-1.58081055,-1.875,-1.32666016,201.87786866,-126.25954438,-56.8549614,1436619751.771206,1
-1.06420899,0.56982422,-1.14770508,-222.21374512,-34.33587647,-75.48091889,1436619751.803450,1
-0.20410157,1.37622071,-1.55639649,-244.01527405,-65.08396912,-158.90075684,1436619751.861830,1
-0.00006104,-1.91601563,1.88305665,-87.40457917,-201.92366028,-209.17556763,1436619751.893115,1
-0.29272461,-1.66333008,0.31542969,-196.59541321,244.6412201,210.88549805,1436619751.951270,1
1.74536133,0.92944336,0.81079102,-190.91603089,247.05343628,221.54199219,1436619751.982668,1
-1.96118165,0.90332032,1.7722168,243.89312745,243.66412354,-216.5038147,1436619752.041267,1
-1.9975586,-1.80981446,1.83715821,-245.0076294,239.09924317,-249.70993042,1436619752.073204,1
-1.88500977,1.0456543,1.5366211,-245.0076294,-246.99237061,245.2671814,1436619752.131164,1
-1.9963379,1.03491211,1.77075196,-239.03816224,248.51908875,238.10687256,1436619752.163000,1
-1.98168946,1.01879883,1.71850586,-245.09924317,244.80915833,237.61831666,1436619752.221498,1
-1.84985352,1.00854493,1.71728516,230.30534363,-250.10687256,-245.09924317,1436619752.253565,1
-1.92651368,1.01025391,1.78735352,208.77862549,-248.54962159,-216.18321229,1436619752.311040,1
-1.97021485,1.08276368,1.65063477,238.09159852,-241.74046326,247.78625489,1436619752.374298,1
-1.93872071,1.04785157,1.63525391,-219.78625489,-241.60305787,242,1436619752.402159,1
-1.95581055,1.01953125,-1.77319336,245.89312745,-242.19847107,235.12977601,1436619752.433419,1
-1.76660157,0.99340821,1.71655274,-233.43511963,-242.6412201,211.74046326,1436619752.522114,1
-1.91015625,-1.81591797,1.58666993,240.24427796,-230.03053284,195.84733582,1436619752.551028,1
1.98217774,1.03588868,1.3828125,225.19084168,-153.89312745,96.47328187,1436619752.581352,1
1.29833985,0.25268555,1.87719727,-234.5038147,-0.00763359,-234.5038147,1436619752.612742,1
-1.875,-1.875,1.50439454,-184.15266419,-58.9923668,-234.5038147,1436619752.671484,1
1.6940918,1.59106446,-1.86328125,-224.2748108,-195.95419312,-0.00763359,1436619752.701598,1
