Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,time,label
-1.84814454,1.04785157,1.67016602,-249.28244019,249.11450196,-248.870224,1436619171.009438,1
-1.84765625,1.05957032,1.65771485,249.58778382,-249.22137452,244.12213135,1436619171.069604,1
-1.84814454,1.06396485,1.65356446,249.0076294,250.01527405,246.76335145,1436619171.099175,1
-1.84887696,1.06030274,1.66748047,246.82443238,-248.21374512,-240.65649415,1436619171.189899,1
-1.85009766,1.05175782,1.66601563,-218.93130494,-242.94656373,238.85496521,1436619171.220375,1
-1.84936524,1.05249024,1.6694336,-246.71755982,250,-246.30534363,1436619171.249670,1
-1.84887696,1.05566407,1.67431641,-249.17556763,249.5114441,240.58015442,1436619171.279433,1
-1.84545899,1.05981446,1.67578125,246.91603089,-249.64884949,242.5038147,1436619171.369614,1
-1.84838868,1.05664063,1.67553711,247.6335907,248.56488038,245.34350586,1436619171.373250,1
-1.84741211,1.05004883,1.67309571,246.96183777,-246.56488038,248.70228577,1436619171.400722,1
-1.85498047,1.05957032,-1.77050782,249.5114441,249.60305787,246.88549805,1436619171.459234,1
-1.8515625,1.05151368,1.67016602,244.54962159,-246.59541321,-242.67175293,1436619171.490915,1
-1.84643555,1.05834961,1.65576172,248.54962159,-248.61068726,247.19084168,1436619171.579943,1
-1.83325196,1.05957032,1.62695313,249.41984559,-249.80152894,-243.32824708,1436619171.639307,1
-1.84765625,1.04931641,1.66918946,-249.49618531,-247.41984559,248.68702698,1436619171.668927,1
-1.80590821,1.0354004,1.65869141,-219.1450348,-249.48091126,246.68702698,1436619171.673130,1
-1.85180665,1.06494141,1.65063477,-247.98472596,249.98472596,-238.59541321,1436619171.759700,1
-1.86499024,1.07470704,1.63525391,249.3740387,-246.68702698,-246.48855591,1436619171.819261,1
-1.88891602,1.07519532,1.65478516,-243.84733582,-247.95419312,-247.45037842,1436619171.821456,1
-1.87182618,1.06933594,1.6550293,-243.69465638,-246.93130494,-246.6412201,1436619171.851504,1
-1.87402344,1.07080079,1.65014649,-239.1450348,-246.07633973,-247.64884949,1436619171.909261,1
-1.8671875,1.0534668,1.66796875,-249.06869507,-247.06869507,240.93130494,1436619171.940261,1
-1.8569336,1.00219727,1.70288086,-235.93893433,-243.93893433,235.43511963,1436619171.999668,1
-1.8256836,1.01245118,1.7709961,-234.83969117,-249.46565247,219.75572205,1436619172.119507,1
-1.76293946,1.07177735,1.60791016,-248.65649415,247.22137452,196.76335145,1436619172.123642,1
-1.41308594,0.91992188,-1.76831055,-123.54198456,166.22900391,-238.22900391,1436619172.211237,1
-1.06860352,1.41796875,-1.875,-106.42748261,-234.5038147,85.28244019,1436619172.270008,1
-1.98681641,0.96679688,-1.66015625,-232.36640931,-234.5038147,203.08396912,1436619172.299390,1
-1.64746094,1.20092774,1.64672852,-228.76335145,-234.5038147,-246.82443238,1436619172.358870,1
-1.65527344,1.41748047,1.27905274,-234.07633973,-234.5038147,-234.61068726,1436619172.388523,1
-1.27685547,1.46997071,1.1850586,202.15266419,-234.5038147,243.19084168,1436619172.418039,1
-1.59667969,1.0703125,1.84033204,-184.71755982,-234.5038147,214.90075684,1436619172.448003,1
-0.8203125,1.10620118,-0.90405274,-92.18320466,-132.45800782,-234.5038147,1436619172.450759,1
-1.875,0.36523438,1.67895508,77.81679535,-236.15266419,224.2748108,1436619172.480989,1
-1.91113282,-1.80395508,1.6057129,246.04580689,237.45037842,-236.61068726,1436619172.511026,1
-1.84570313,1.09521485,1.5979004,248.94656373,249.92366028,-249.4045868,1436619172.600609,1
-1.88208008,1.04492188,1.68237305,239.49618531,-248.29006959,233.41984559,1436619172.659582,1
-1.83715821,1.07543946,1.64526368,244.91603089,249.80152894,242.71755982,1436619172.688697,1
-1.90356446,1.0900879,-1.77197266,-246.51908875,-246.29006959,-246.80915833,1436619172.692530,1
-1.84887696,1.04833985,1.66845704,-241.16030884,-243.46565247,246.06106568,1436619172.757227,1
-1.83911133,1.04467774,1.67675782,-241.0076294,-248.71755982,245.09924317,1436619172.780591,1
-1.84228516,-1.80932618,1.68872071,-244.29006959,250.10687256,242.77862549,1436619172.837888,1
-1.84179688,1.0534668,1.68847657,-245.55725098,248.54962159,-245.6335907,1436619172.930795,1
-1.8569336,-1.80957032,1.70458985,-249.7709961,-247.34350586,-248.65649415,1436619172.959579,1
-1.85620118,1.05908204,1.67333985,-247.83206177,249.3740387,-248.30534363,1436619172.989038,1
-1.79394532,1.03588868,-1.76733399,-239.17556763,-248.24427796,-241.23664856,1436619173.019140,1
-1.86132813,1.0522461,1.68554688,-233.67938233,-243.46565247,247.08396912,1436619173.049936,1
-1.88232422,1.03710938,1.69018555,-248.870224,-242.44274903,229.0076294,1436619173.082757,1
-1.8359375,1.04052735,1.70092774,-220.70228577,-230.97709656,231.1450348,1436619173.321388,1
-1.66088868,0.8803711,1.87451172,-222.19847107,-220.12213135,-214.74809266,1436619173.350733,1
-1.91088868,0.97631836,1.51293946,-105.87786103,-117.12976838,200.54962159,1436619173.379236,1
-0.89672852,0.95751954,0.10229493,-18.41221428,214.01527405,69.92366791,1436619173.386462,1
-1.47338868,0.9440918,1.29614258,198.76335145,-234.30534363,52.717556,1436619173.411332,1
-1.82177735,0.91918946,1.67309571,109.58778382,48.22900773,122.39694977,1436619173.440705,1
1.59545899,-1.83715821,-1.84545899,134.48855591,200.38168335,242.71755982,1436619173.470593,1
1.60229493,-1.83056641,-1.93847657,153.96946717,-230.90075684,-180.24427796,1436619173.500565,1
1.67871094,0.80908204,-1.9128418,-225.46565247,-240.06106568,-136.53434754,1436619173.588635,1
1.68896485,-1.8322754,-1.7890625,195.22137452,-215.06869507,-88.35114289,1436619173.592557,1
1.82934571,0.52490235,-1.88476563,-222.2748108,-196.54962159,-76.68701935,1436619173.621046,1
-1.86987305,0.9885254,-1.99609375,231.89312745,-147.48091126,-81.67938996,1436619173.650526,1
-1.58398438,-1.875,-1.49389649,146.85496521,-89.32824708,-144.07633973,1436619173.679798,1
