Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
1.60498047,1.8713379,0.98266602,-243.84733582,-219.02290345,248.42747498,1437635745.282249,1
1.60107422,-1.75756836,0.97973633,-243.28244019,249.05343628,246.21374512,1437635745.311860,1
1.6015625,1.87158204,0.97729493,-247.66412354,248.41221619,241.49618531,1437635745.341150,1
1.59741211,1.86914063,0.98120118,-248.73281861,-248.58015442,-218.93130494,1437635745.371124,1
1.59643555,1.87426758,-1.81347657,248.73281861,-246.70228577,-250.10687256,1437635745.374348,1
1.60083008,1.85766602,0.99804688,-219.0076294,-244.5038147,-248.38168335,1437635745.431132,1
1.60791016,1.87353516,0.9741211,-219.03816224,-249.6335907,-249.69465638,1437635745.491621,1
1.60400391,-1.75708008,0.97802735,245.43511963,248.870224,247.81678772,1437635745.521285,1
1.60620118,1.88256836,0.97729493,245.32824708,243.98472596,-244.90075684,1437635745.552422,1
1.58496094,1.90771485,0.98999024,242.19847107,246.77862549,-249.23664856,1437635745.584329,1
1.58447266,1.9116211,-1.81323243,-249.03816224,249.46565247,246.99237061,1437635745.642537,1
1.60253907,1.88964844,0.9765625,-238.44274903,246.51908875,-219.23664856,1437635745.763083,1
1.59350586,1.87353516,0.98266602,-233.41984559,-247.93893433,237.5114441,1437635745.793231,1
1.60205079,1.8791504,0.97875977,-223.70993042,249.09924317,242.58015442,1437635745.823537,1
-1.77416993,1.83203125,0.98095704,-248.2748108,-218.96183777,243.17556763,1437635745.852518,1
1.61303711,1.80712891,0.98901368,-248.47328187,247.11450196,-250.04580689,1437635745.912003,1
-1.77368165,1.81835938,0.98779297,238.74809266,249.09924317,-247.61831666,1437635745.916115,1
1.60253907,1.8503418,0.9897461,-219.23664856,247.92366028,248.67175293,1437635745.945059,1
1.61230469,1.8491211,0.98168946,-218.99237061,-249.38931275,-248.24427796,1437635746.002960,1
1.60131836,1.8479004,0.97436524,-249.4045868,-248.42747498,242.76335145,1437635746.034613,1
1.6225586,1.8425293,0.98022461,-249.78625489,-247.17556763,-219.0076294,1437635746.124312,1
1.63354493,1.79101563,0.95800782,238.03053284,230.77862549,-235.75572205,1437635746.154092,1
-1.76342774,1.64160157,0.66503907,184,132.30534363,-86.38167573,1437635746.183871,1
1.00512696,-1.875,0.41015625,-234.5038147,26.51908303,-234.5038147,1437635746.214728,1
-1.80981446,1.54174805,1.38964844,-234.5038147,-234.5038147,-234.5038147,1437635746.272388,1
1.39013672,-1.25732422,1.14379883,-230.06106568,45.22137452,141.34350586,1437635746.304009,1
1.35107422,-1.81640625,0.51269532,183.90840149,-159.0076294,170.90075684,1437635746.335037,1
-1.78613282,1.37353516,0.99780274,192.22900391,-193.69465638,88.73282624,1437635746.392844,1
1.87963868,-1.7397461,0.60717774,206.77862549,-164.2748108,103.81679535,1437635746.424383,1
1.53637696,-1.43896485,0.67382813,-238.47328187,-58.04580308,202.35115052,1437635746.482885,1
1.44091797,-1.52807618,0.59545899,-223.11450196,-101.12976838,214.06106568,1437635746.514537,1
1.11962891,-1.72583008,1.03759766,190.01527405,-115.74045563,-248.870224,1437635746.574676,1
-1.875,-1.79418946,-1.875,-186.97709656,-237.55725098,213.41984559,1437635746.605292,1
-1.875,-1.45678711,1.91870118,238.21374512,-84.82442475,242.12213135,1437635746.663122,1
-1.875,-0.70092774,-1.87670899,-240.80915833,174.97709656,-244.93130494,1437635746.695482,1
-1.0744629,-0.90014649,-0.00006104,-167.35877991,-234.5038147,-76.2748108,1437635746.783370,1
0.99853516,-0.99829102,-1.875,202.51908875,-102.1374054,-212.09159852,1437635746.874058,1
-1.82373047,1.94458008,0.7397461,-224.79389954,-211.74046326,245.70993042,1437635746.903370,1
1.58642579,1.89624024,0.96801758,-228.29006959,-246.07633973,-250.01527405,1437635746.932377,1
1.57250977,1.8737793,0.9831543,-244.36640931,-245.6335907,-245.57252503,1437635746.936076,1
1.56567383,1.87353516,0.98754883,249.75572205,-247.43511963,248.56488038,1437635746.992144,1
1.55786133,1.89892579,0.99682618,-243.20610047,-249.3740387,243.05343628,1437635747.022545,1
1.56372071,1.89428711,0.98876954,-239.70993042,-249.78625489,-248.83969117,1437635747.052994,1
1.56835938,1.88208008,0.99487305,-243.38931275,-243.74046326,-245.86259461,1437635747.085196,1
1.57470704,1.86254883,0.99487305,-245.60305787,-249.0076294,-247.75572205,1437635747.143075,1
1.57202149,1.85375977,1.00854493,249.57252503,-244.77862549,-248.30534363,1437635747.174740,1
1.56542969,1.85107422,-1.81225586,-219.22137452,-243.98472596,247.74046326,1437635747.232919,1
1.57641602,1.8803711,0.9921875,-248.44274903,241.48091126,239.1450348,1437635747.292741,1
1.49389649,-1.89794922,1.04150391,-197.4045868,178.88549805,245.95419312,1437635747.322854,1
1.86499024,1.75976563,0.68139649,155.32824708,96.61068726,148.65649415,1437635747.355004,1
1.47900391,-1.8022461,1.06933594,-116.56488801,-234.5038147,-205.67938233,1437635747.473577,1
1.38110352,1.7709961,-1.875,-0.00763359,-234.5038147,-0.00763359,1437635747.502996,1
0.85058594,0.49072266,-1.875,112.51908112,-147.12977601,-75.54198456,1437635747.532148,1
-1.57275391,1.06640625,1.13256836,80.85496521,-53.89313126,-236.73281861,1437635747.536573,1
1.75268555,0.54931641,0.96142579,24.51908303,-0.00763359,164.1374054,1437635747.595112,1
-1.7709961,1.45605469,1.53271485,165.16030884,-0.00763359,149.09924317,1437635747.654153,1
1.2150879,0.68847657,1.36694336,207.84733582,-51.34350968,79.1450348,1437635747.684311,1
0.36303711,0.27661133,0.92944336,164.94656373,-39.75572587,-234.5038147,1437635747.713140,1
-1.875,0.83544922,1.67626954,187.95419312,-51.90839768,-234.5038147,1437635747.773456,1
-1.875,1.69091797,1.92749024,202.68702698,-246.24427796,152.32061768,1437635747.803158,1
-1.875,-1.6760254,-0.35058594,-225.1450348,34.25954056,-227.49618531,1437635747.863181,1
1.0834961,-0.02929688,1.65893555,-170.22900391,-66.47328187,210.91603089,1437635747.893147,1
0.04907227,-1.47387696,0.02709961,222.12213135,-203.96946717,-235.98472596,1437635747.982990,1
1.58642579,1.72753907,0.94335938,248.36640931,-247.2671814,244.54962159,1437635748.011844,1
1.55859375,1.77172852,1.01660157,246.88549805,-244.51908875,237.81678772,1437635748.043193,1
1.55371094,1.77368165,-1.80981446,235.89312745,-243.38931275,248.94656373,1437635748.103052,1
1.5390625,1.8034668,1.0078125,237.29771424,-249.7709961,248.71755982,1437635748.132263,1
1.5690918,1.80297852,0.99804688,-219.32824708,-243.25190735,248.39694214,1437635748.162909,1
1.57006836,1.8203125,1.00170899,248.38168335,-242.68702698,249.3740387,1437635748.224526,1
1.55737305,1.82739258,1.01220704,-249.75572205,-249.98472596,244.870224,1437635748.254155,1
1.56762696,1.81933594,1.00366211,-244.58015442,247.20610047,241.69465638,1437635748.285021,1
1.56567383,1.82348633,0.99707032,-230.42747498,234.68702698,233.23664856,1437635748.342941,1
1.5510254,1.83056641,1.02783204,-180.41221619,187.89312745,221.17556763,1437635748.374879,1
1.86523438,1.5300293,0.69238282,206.47328187,92.42748261,204.15266419,1437635748.433133,1
1.50292969,1.26074219,1.15307618,185.22137452,-234.5038147,-163.19084168,1437635748.465328,1
1.50610352,1.30395508,-1.875,174.73281861,-234.5038147,-0.00763359,1437635748.524409,1
0.21166993,-1.875,-1.875,-234.5038147,-234.5038147,-206.99237061,1437635748.584307,1
1.7265625,1.46704102,0.94262696,67.35877991,-96.68701935,112.25954438,1437635748.614032,1
1.74194336,1.08276368,0.94262696,55.03816605,-66.99236298,181.2671814,1437635748.704242,1
1.28393555,0.94213868,1.03979493,70.1374054,-0.00763359,164.1374054,1437635748.734243,1
1.40136719,0.81347657,1.78369141,183.86259461,-2.22900773,122.16793824,1437635748.763453,1
0.41503907,0.61962891,1.26342774,222.38168335,-82.44274903,27.83206177,1437635748.792969,1
-1.875,0.82666016,1.08715821,241.81678772,-65.08396912,51.72518921,1437635748.824466,1
-1.875,-1.95141602,-1.76879883,-156.36640931,-119.32824708,124.03053284,1437635748.882952,1
-1.875,-1.23632813,-0.90332032,-190.76335145,-159.16030884,-142.85496521,1437635748.915030,1
0.43603516,1.69677735,-0.75732422,-231.35877991,-234.5038147,-99.74045563,1437635748.975472,1
-1.875,-0.00006104,-1.875,182.06106568,-0.00763359,-231.23664856,1437635749.032791,1
1.53027344,0.96704102,1.03613282,188.68702698,-187.2671814,235.87786866,1437635749.063092,1
1.50512696,1.96582032,0.94799805,235.98472596,-238.99237061,238.38168335,1437635749.095196,1
1.54467774,1.88305665,1.01831055,227.29771424,-245.34350586,242.94656373,1437635749.153627,1
1.55126954,-1.75268555,0.99853516,224.1374054,-246.58015442,239.20610047,1437635749.185003,1
1.56396485,1.94897461,0.99829102,236.09159852,-239.70993042,234.91603089,1437635749.242941,1
1.56347657,-1.75146485,0.9831543,-246.25953675,-243.11450196,248.51908875,1437635749.274753,1
1.56811524,1.9650879,0.98828125,-236.29006959,-236.01527405,-249.22137452,1437635749.332975,1
