,Axis1,Axis2,Axis3
0,-1.94848633,0.14624024,1.36914063
1,1.70214844,1.20458985,1.68188477
2,1.59619141,1.04516602,-1.75830079
3,1.60375977,1.08789063,1.8244629
4,-1.7734375,-1.80737305,1.80371094
5,-1.77392579,1.06811524,1.84692383
6,1.60302735,1.0756836,1.84716797
7,1.61254883,1.06030274,1.84985352
8,1.61059571,1.09204102,1.83105469
9,1.62060547,1.08007813,1.83813477
10,1.63867188,1.08813477,1.81176758
11,1.61743165,1.08862305,1.83422852
12,1.6159668,1.08789063,1.82324219
13,1.61840821,1.10473633,1.81958008
14,1.61791993,1.0756836,1.8425293
15,1.61914063,1.09521485,1.81591797
16,1.62646485,1.12304688,1.81420899
17,1.60498047,1.06152344,1.84545899
18,1.62622071,1.07348633,1.8503418
19,1.6237793,1.08154297,1.83154297
20,1.62475586,1.07226563,1.80786133
21,1.59497071,1.07470704,1.8322754
22,1.60473633,1.07250977,1.90478516
23,1.51293946,0.72338868,-1.96264649
24,1.13867188,0.23657227,-6.104e-05
25,0.73120118,-1.81835938,-1.13916016
26,0.16357422,-1.71289063,1.40429688
27,-1.85302735,1.50512696,1.72924805
28,1.25683594,1.11816407,1.88574219
29,1.61279297,0.96777344,-1.76391602
30,-1.99462891,0.72070313,1.58154297
31,-1.84936524,0.77075196,-1.9416504
32,1.91455079,0.6784668,1.99658204
33,1.77563477,-1.81811524,1.56518555
34,1.3737793,1.00878907,0.87329102
35,1.14453125,1.23022461,0.99536133
36,1.18530274,1.77172852,1.68310547
37,1.66528321,1.78930665,1.06616211
38,0.68286133,-1.875,-1.66772461
39,1.07299805,-1.875,-1.9584961
40,1.73657227,1.36181641,1.60449219
41,1.67578125,1.05688477,1.79394532
42,1.60864258,1.01928711,1.93066407
43,1.68432618,1.09863282,1.81542969
44,1.64233399,1.05371094,1.85888672
45,1.64331055,1.07299805,1.85083008
46,1.63574219,1.05517579,1.89868165
47,1.63476563,1.0756836,1.8737793
48,1.65917969,1.06469727,1.89770508
49,1.63769532,1.08447266,1.84204102
50,1.65136719,1.07495118,1.83251954
51,1.66064454,1.09057618,1.84985352
52,1.65551758,1.08715821,1.84326172
53,1.67553711,1.01147461,1.98681641
54,1.58447266,0.11279297,1.76904297
55,-1.97875977,-1.875,1.13232422
56,-1.63134766,1.48266602,-1.67260743
57,-1.12011719,1.11572266,-1.34106446
58,-1.57373047,1.2175293,1.4116211
59,-1.93432618,0.83691407,0.84033204
60,1.89428711,0.76928711,0.98730469
61,1.4104004,0.67382813,1.17333985
62,1.05834961,0.7109375,0.82617188
63,0.81518555,0.89428711,1.54101563
64,0.53442383,1.14990235,-1.78222657
65,0.66381836,1.82202149,1.47900391
66,0.30810547,-1.87524415,1.61328125
67,0.30761719,-1.97949219,1.87792969
68,-1.875,-1.875,-6.104e-05
69,1.40405274,0.41552735,-1.99536133
70,1.5991211,1.24316407,1.74316407
71,1.7800293,1.05615235,1.87939454
72,1.75366211,1.09082032,-1.99731446
73,1.60180665,1.04248047,1.88745118
74,1.61840821,1.03247071,1.88305665
75,1.64868165,1.06884766,1.91333008
76,1.63208008,1.06176758,1.90356446
77,1.63305665,1.07788086,1.86889649
78,1.6315918,1.0769043,1.86914063
79,1.63598633,1.06591797,1.88623047
80,1.63476563,1.08374024,1.85131836
81,1.61206055,1.07470704,1.85180665
82,1.55395508,1.04174805,1.88793946
83,1.49975586,0.70825196,-1.87817383
84,-1.77368165,1.1628418,1.68896485
85,1.45263672,-1.875,-1.8491211
86,-1.875,-1.84497071,-0.45996094
87,-1.33105469,1.18652344,-1.37329102
88,1.8791504,0.95605469,1.7932129
89,1.7944336,1.33105469,1.84301758
90,1.68237305,1.09936524,-1.98925782
91,0.71313477,0.20629883,1.97436524
92,0.99365235,0.43457032,1.6057129
93,-1.875,1.68310547,1.51098633
94,-1.875,-0.84716797,1.4909668
95,0.5053711,1.79125977,1.6225586
96,-1.875,1.30444336,1.93212891
97,1.57934571,-1.875,-1.29882813
98,1.72045899,1.18457032,1.80078125
99,1.6640625,-1.80688477,1.82641602
100,1.65600586,1.07519532,1.80810547
101,1.67993165,1.08154297,1.79907227
102,1.70239258,1.08959961,1.76171875
103,1.6628418,-1.80688477,1.79125977
104,1.59106446,-1.80786133,1.84643555
105,1.4729004,0.85205079,-1.94555665
106,1.52563477,0.79858399,1.87475586
107,0.89184571,-1.875,-1.92309571
108,-1.03613282,-1.875,-6.104e-05
109,-0.97851563,1.6628418,-1.71728516
110,-1.94018555,0.73583985,1.98608399
111,1.6628418,1.22485352,-1.70556641
112,1.34960938,1.11791993,-1.60302735
113,1.15209961,0.59887696,-1.00512696
114,0.16748047,0.46020508,-1.05712891
115,-1.875,0.18920899,-1.51464844
116,-1.875,-1.24072266,1.41625977
117,-1.875,-1.75244141,1.40283204
118,-1.875,-1.02124024,-0.62719727
119,-1.94628907,-1.68066407,1.84106446
120,1.63964844,1.02514649,1.88330079
121,1.64404297,1.06567383,1.86254883
122,1.66333008,1.0744629,-1.75854493
123,1.66210938,1.06835938,1.8413086
124,1.64819336,1.08544922,1.82592774
125,1.66528321,1.08911133,1.80688477
126,-1.77075196,1.08447266,-1.76049805
127,1.66870118,1.07421875,1.7878418
128,1.68847657,1.09765625,1.78442383
129,1.61328125,1.03442383,1.88110352
130,1.38183594,0.8178711,-1.9206543
131,1.76171875,0.82714844,1.8635254
132,0.77026368,-1.875,-1.94018555
133,1.38134766,-1.78613282,-1.15087891
134,-1.88061524,1.04614258,-1.93286133
135,1.7421875,0.93994141,1.99902344
136,1.44702149,1.33813477,-1.48291016
137,0.86572266,1.06640625,-1.5600586
138,1.15356446,1.18212891,-1.47778321
139,0.73364258,-1.875,1.15722657
140,0.47119141,-1.72827149,1.25683594
141,0.44653321,1.86108399,-1.80566407
142,0.3190918,-1.64916993,1.62890625
143,-1.875,-1.875,-1.27270508
144,-1.875,-0.07250977,1.66479493
145,1.49414063,0.68115235,-1.92822266
146,1.65063477,1.03369141,1.76171875
147,1.66259766,1.11572266,1.7487793
148,1.61865235,1.03613282,1.87353516
149,1.63867188,1.08007813,1.81469727
150,1.62402344,1.10009766,1.82275391
151,1.63012696,1.06103516,1.84057618
152,1.63867188,1.0546875,1.82666016
153,1.64624024,-1.80859375,-1.76098633
154,1.68676758,1.06713868,1.87231446
155,1.70776368,1.06591797,1.9453125
156,1.6940918,1.06640625,1.87817383
157,1.66186524,1.08984375,1.78735352
158,1.62280274,0.91235352,1.96826172
159,-1.78759766,0.67700196,1.89648438
160,-1.85546875,0.57641602,-1.8479004
161,-1.93286133,-1.875,-1.90893555
162,-0.89282227,-1.96289063,-1.74145508
163,-1.89111329,0.27905274,-1.78759766
164,-1.93798829,1.1394043,1.75122071
165,1.71704102,0.86572266,-1.75244141
166,1.57202149,0.82397461,1.66357422
167,-1.47363282,-1.875,0.37329102
168,0.88793946,1.30908204,1.52832032
169,0.54809571,1.63867188,1.68041993
170,-1.875,-1.50048829,1.59741211
171,0.37426758,1.83520508,1.59155274
172,-1.875,-1.875,0.20239258
173,1.19091797,0.0144043,1.95141602
174,1.5834961,1.11108399,1.65600586
175,1.63549805,1.0234375,1.8828125
176,1.65429688,1.05859375,1.91699219
177,1.64355469,1.09960938,1.82666016
178,1.65429688,1.09106446,1.83154297
179,1.63623047,1.07714844,1.85400391
180,1.62402344,1.08105469,1.83959961
181,1.63403321,1.10864258,1.8178711
182,1.59350586,1.09741211,1.8400879
183,1.56982422,1.04296875,1.88598633
184,1.52270508,0.93969727,1.96020508
185,1.4284668,0.53100586,-1.76831055
186,1.19360352,-1.875,-1.99707032
187,-1.0144043,-1.875,-0.63403321
188,1.6953125,-1.25805665,1.26464844
189,1.93481446,0.26025391,-1.97045899
190,1.53247071,1.06225586,-1.91918946
191,1.49194336,1.41650391,-1.81982422
192,1.06372071,0.53100586,-1.56298829
193,-1.97875977,-1.875,1.77954102
194,-1.875,-1.76293946,0.56494141
195,-1.875,-6.104e-05,0.95751954
196,0.39697266,1.80834961,1.72875977
197,-1.875,-6.104e-05,-0.15234375
198,1.63232422,0.37768555,-1.46459961
199,1.62841797,1.0222168,1.84204102
200,1.60522461,1.08374024,-1.75878907
201,1.61816407,1.08984375,1.83642579
202,1.64941407,1.08325196,1.83837891
203,1.62817383,1.11083985,1.83862305
204,1.62622071,1.11083985,1.83081055
205,-1.77392579,1.09741211,1.88647461
206,1.47265625,1.05444336,1.94482422
207,1.36645508,0.67749024,-1.98242188
208,-1.87939454,1.14233399,1.89184571
209,1.17431641,-1.875,-1.44580079
210,-1.875,0.51708985,-6.104e-05
211,1.97924805,-1.83276368,-1.49829102
212,1.41552735,0.52539063,-1.09838868
213,1.14282227,1.34179688,-1.05249024
214,0.74707032,-1.82250977,-0.56396485
215,-1.875,0.24243165,-0.60766602
216,-1.875,1.56860352,-1.35766602
217,-1.875,-1.58984375,1.52612305
218,-1.875,-0.4765625,1.4128418
219,0.94262696,-6.104e-05,0.99267579
220,-6.104e-05,-6.104e-05,-6.104e-05
221,1.74267579,0.93237305,1.88623047
222,1.6447754,1.10107422,1.79809571
223,1.62231446,1.03930665,1.86669922
224,-1.7722168,1.0847168,1.83178711
225,1.60009766,-1.80737305,1.83959961
226,1.61499024,1.07397461,-1.75903321
227,-1.77441407,1.08422852,1.8269043
228,1.62939454,1.09472657,1.80957032
229,1.58862305,1.10913086,1.81518555
230,-1.77783204,1.05297852,1.89697266
231,1.47729493,1.01269532,1.9338379
232,1.27563477,-1.83837891,-1.9506836
233,1.99438477,0.37109375,1.80444336
234,1.18457032,-1.875,-1.37109375
235,-1.875,-1.875,-1.14428711
236,-1.83251954,0.73950196,-1.7421875
237,1.74804688,1.08862305,-1.72485352
238,1.52954102,1.10888672,-1.79785157
239,1.23120118,0.68261719,-1.70043946
240,-1.60375977,-6.104e-05,-1.79589844
241,0.21362305,1.07299805,1.25439454
242,-1.875,-1.14257813,1.19604493
243,-1.875,-1.46533204,1.57763672
244,-1.76635743,-1.875,-1.875
245,0.13574219,-6.104e-05,-1.875
246,-1.77661133,0.59619141,1.89038086
247,1.65576172,1.00341797,1.89550782
248,1.65283204,1.07275391,1.86083985
249,1.63671875,1.06347657,1.85913086
250,1.61889649,-1.80737305,1.86376954
251,1.62011719,1.08715821,1.86621094
252,1.63232422,1.09667969,1.83422852
253,1.61865235,1.10668946,1.84960938
254,1.59863282,1.08325196,1.83666993
255,1.55639649,1.04418946,1.91625977
