Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
1.75244141,1.05810547,1.72802735,246.09159852,-249.45037842,247.31297303,1436435391.844068,2
1.69995118,1.06176758,1.72363282,-249.3740387,247.31297303,-244.96183777,1436435391.873631,2
1.71704102,1.07763672,1.74731446,249.84733582,248.74809266,240.74809266,1436435391.903143,2
1.71289063,1.05932618,1.73706055,248.99237061,-244.5038147,-244.54962159,1436435391.907271,2
1.69750977,-1.80761719,1.84497071,247.49618531,246.51908875,247.81678772,1436435392.625023,2
1.71435547,1.0588379,1.74560547,248.09159852,242.91603089,246.94656373,1436435392.744083,2
1.70556641,1.06542969,1.7541504,-247.25190735,250.12213135,245.81678772,1436435392.774525,2
1.70825196,1.06518555,1.75830079,247.43511963,-249.57252503,239.31297303,1436435392.833053,2
1.71191407,1.06616211,1.75390625,249.93893433,-250.07633973,248.88549805,1436435392.836848,2
1.71850586,-1.80859375,1.73876954,-248.38168335,248.88549805,245.11450196,1436435392.895091,2
1.7084961,1.06103516,1.75366211,246.48855591,248.36640931,243.41984559,1436435392.954691,2
1.70825196,-1.80810547,1.75634766,246.09159852,-250.01527405,-219.55725098,1436435393.014537,2
1.71533204,-1.80786133,1.74780274,250,249.03816224,-242.45800782,1436435393.044622,2
1.71264649,1.05737305,1.74267579,-246.70228577,-247.02290345,-245.96946717,1436435393.103652,2
1.71386719,1.06201172,1.75561524,249.17556763,-244.62596131,241.31297303,1436435393.133010,2
1.7097168,-1.80786133,1.75170899,246.39694214,247.49618531,-249.32824708,1436435393.137174,2
1.72167969,-1.80786133,1.74584961,-218.88549805,249.74046326,-244.90075684,1436435393.165759,2
1.71044922,1.05053711,1.71362305,247.93893433,-246.93130494,244.19847107,1436435393.194870,2
1.72436524,1.08520508,1.77514649,246.90075684,-218.90075684,-249.34350586,1436435393.283194,2
1.72265625,1.06958008,1.73413086,246.88549805,248.56488038,241.02290345,1436435393.286955,2
1.70800782,1.05371094,1.75952149,242.03053284,246.41221619,-245.61831666,1436435393.315690,2
1.70776368,1.06542969,1.72924805,247.25190735,-247.20610047,-245.6335907,1436435393.345474,2
1.70874024,1.05957032,1.7565918,249.06869507,-249.74046326,-249.2671814,1436435393.375789,2
1.71337891,1.06201172,1.75634766,-219.31297303,-249.25190735,-236.25953675,1436435393.495234,2
1.7109375,1.08935547,-1.76660157,245.64884949,-247.4045868,246.88549805,1436435393.523481,2
1.68041993,1.09057618,1.7397461,245.87786866,-242.94656373,229.52671814,1436435393.583208,2
1.72485352,1.05712891,1.73559571,247.16030884,-241.74046326,235.38931275,1436435393.587838,2
1.75341797,1.05688477,1.71166993,244.04580689,249.34350586,236.62596131,1436435393.673288,2
