,Axis1,Axis2,Axis3
0,1.75244141,1.05810547,1.72802735
1,1.69995118,1.06176758,1.72363282
2,1.71704102,1.07763672,1.74731446
3,1.71289063,1.05932618,1.73706055
4,1.69750977,-1.80761719,1.84497071
5,1.71435547,1.0588379,1.74560547
6,1.70556641,1.06542969,1.7541504
7,1.70825196,1.06518555,1.75830079
8,1.71191407,1.06616211,1.75390625
9,1.71850586,-1.80859375,1.73876954
10,1.7084961,1.06103516,1.75366211
11,1.70825196,-1.80810547,1.75634766
12,1.71533204,-1.80786133,1.74780274
13,1.71264649,1.05737305,1.74267579
14,1.71386719,1.06201172,1.75561524
15,1.7097168,-1.80786133,1.75170899
16,1.72167969,-1.80786133,1.74584961
17,1.71044922,1.05053711,1.71362305
18,1.72436524,1.08520508,1.77514649
19,1.72265625,1.06958008,1.73413086
20,1.70800782,1.05371094,1.75952149
21,1.70776368,1.06542969,1.72924805
22,1.70874024,1.05957032,1.7565918
23,1.71337891,1.06201172,1.75634766
24,1.7109375,1.08935547,-1.76660157
25,1.68041993,1.09057618,1.7397461
26,1.72485352,1.05712891,1.73559571
27,1.75341797,1.05688477,1.71166993
28,1.74365235,-1.80810547,-1.76684571
29,1.73754883,-1.80786133,1.7229004
30,1.72924805,-1.80786133,1.7253418
31,1.73559571,1.06372071,1.73046875
32,1.74023438,1.06201172,-1.76660157
33,1.73706055,1.05590821,1.72680665
34,1.74169922,1.06103516,1.72265625
35,1.74121094,1.06542969,1.72216797
36,1.7463379,1.05981446,1.72143555
37,1.74682618,1.05908204,1.72509766
38,1.74804688,1.05737305,1.72583008
39,1.74975586,1.05859375,1.72558594
40,1.75683594,1.05590821,1.71997071
41,1.75976563,1.06030274,1.72387696
42,1.75390625,1.0534668,1.72143555
43,1.75244141,1.05712891,1.72583008
44,1.75512696,1.05444336,-1.76684571
45,1.7565918,1.05712891,1.72070313
46,1.75512696,1.06225586,1.72192383
47,-1.76538086,1.0588379,1.72192383
48,1.75976563,1.05932618,1.71484375
49,1.7553711,1.05908204,1.72680665
50,1.75732422,1.05371094,1.71313477
51,1.7578125,1.06201172,1.72119141
52,1.76416016,1.05590821,1.71606446
53,1.75976563,1.05932618,1.71728516
54,1.75561524,1.05517579,-1.76684571
55,1.7644043,1.05566407,1.71704102
56,1.75512696,1.0600586,1.73242188
57,1.75610352,1.05834961,1.72143555
58,1.75292969,1.05712891,1.72338868
59,1.74731446,1.06079102,1.7253418
60,1.74853516,1.05566407,1.72802735
61,1.74731446,-1.80834961,1.73535157
62,1.73730469,1.06518555,1.7307129
63,1.73901368,1.06762696,1.72778321
64,1.73681641,1.06030274,1.72387696
65,1.7487793,1.05395508,1.71777344
66,1.74511719,1.05786133,1.72338868
67,1.74487305,1.06396485,1.72509766
68,1.66845704,1.07788086,1.73876954
69,1.72827149,0.94482422,1.71362305
70,1.69067383,1.07373047,1.73559571
