Label,Label,Axis1,Axis2,Axis3,date_hour,date_minute,date_second
YF,0,4.2462664,-0.45893854,8.009802,21,11,20
YF,0,5.3906946,1.49473,11.146206,21,11,20
YF,0,1.3037925,1.8371009,8.39048,21,11,19
YF,0,0.80819273,-1.5818192,9.436746,21,11,19
YF,0,2.6708817,1.173907,9.589975,21,11,19
YF,0,-3.8197992,0.7333739,9.745598,21,11,19
YF,0,-1.8182466,1.4851532,10.463859,21,11,19
YF,0,0.91593176,1.5641619,11.395203,21,11,19
YF,0,2.294992,2.622399,8.9602995,21,11,19
YF,0,0.9518448,2.22975,9.259575,21,11,19
YF,0,0.55919576,2.086098,9.491813,21,11,18
YF,0,-0.31229368,2.4260745,9.623494,21,11,18
YF,0,-0.2021604,1.4923358,9.515755,21,11,18
YF,0,0.28865093,1.9424458,9.709685,21,11,18
YF,0,-0.01062427,2.0023007,9.599552,21,11,18
YF,0,0.40117842,2.967164,9.932345,21,11,18
YF,0,1.3684359,2.8330889,9.419987,21,11,18
YF,0,2.27105,2.8378773,8.833407,21,11,18
YF,0,1.8831893,3.8218942,8.677784,21,11,18
YF,0,1.7155951,4.532972,7.9355817,21,11,18
YF,0,2.3261166,4.023007,8.163031,21,11,18
YF,0,1.7898154,4.9663224,7.4806833,21,11,18
YF,0,3.2239423,4.695778,7.9116397,21,11,18
YF,0,5.2949266,4.5042415,8.22528,21,11,17
YF,0,4.1983824,5.397279,8.024167,21,11,17
YF,0,4.1504984,4.937592,7.428011,21,11,17
YF,0,4.3085155,4.7867575,6.8893156,21,11,17
YF,0,1.8784009,5.5600843,6.5325794,21,11,17
YF,0,2.4338558,4.9663224,8.670602,21,11,17
YF,0,1.8760067,6.065261,9.860519,21,11,17
YF,0,1.5767314,4.5018473,11.402386,21,11,17
YF,0,0.7890391,1.7485155,7.973889,21,11,17
YF,0,0.9398738,2.004695,5.864597,21,11,17
YF,0,2.7067947,0.8818144,5.9771247,21,11,17
YF,0,4.3468227,0.015113398,7.2221093,21,11,17
YF,0,4.203171,1.6623242,10.904391,21,11,17
YF,0,1.9119197,4.497059,13.329718,21,11,17
YF,0,0.087538,0.84829557,11.052833,21,11,16
YF,0,-0.28356326,-0.89947164,10.660183,21,11,16
YF,0,-0.5852327,-1.4980221,9.81503,21,11,16
YF,0,2.0172646,-0.98805714,5.699397,21,11,16
YF,0,-0.6762124,-0.31768063,10.480618,21,11,16
YF,0,1.1457752,-1.9457378,9.168595,21,11,16
YF,0,0.5089175,-1.7757494,9.288305,21,11,16
