Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Timestamp,Label
0.072510,0.184326,0.846191,-0.183206,-0.564885,0.885496,1444915339.187015,0
0.071777,0.189697,0.849121,0.503817,-1.053435,3.541985,1444915339.187589,0
0.075684,0.185059,0.854004,-1.083969,-1.358779,4.793893,1444915339.187990,0
0.071289,0.013184,0.851074,0.809160,1.587786,-5.145038,1444915339.191421,0
0.072998,0.191406,0.856445,-0.519084,1.404580,-4.702290,1444915339.277009,0
0.071533,0.187256,0.853760,0.717557,1.206107,0.045802,1444915339.277528,0
0.072266,0.187012,0.857910,-2.137405,-0.167939,-2.503817,1444915339.281891,0
0.079102,0.189941,0.856689,-0.305344,2.076336,7.603054,1444915339.307702,0
0.070557,0.186279,0.853027,-0.595420,-5.160306,-3.633588,1444915339.337667,0
0.076904,0.189453,0.848877,-1.038168,4.916030,-5.664122,1444915339.396881,0
0.077637,0.190186,0.853027,0.900763,1.190840,-3.435115,1444915339.400457,0
0.071289,0.189941,0.854492,0.641221,5.404580,-2.564885,1444915339.427654,0
0.073486,0.013428,0.853760,-2.213740,-1.053435,4.091603,1444915339.457772,0
0.074463,0.185791,0.853760,31.099237,-2.030534,7.954198,1444915339.487564,0
0.080078,0.011963,0.855225,-0.030534,31.160305,-0.656489,1444915339.517821,0
0.076416,0.187256,0.853271,-1.786260,4.610687,-3.328244,1444915339.547531,0
0.080078,0.013428,0.855713,-0.916031,-3.114504,7.374046,1444915339.577587,0
0.079102,0.184814,0.859863,1.282443,1.099237,6.274809,1444915339.607854,0
0.077881,0.184814,0.857666,31.145039,4.122138,4.656488,1444915339.637482,0
0.071777,0.185547,0.851074,-0.183206,4.412214,-1.740458,1444915339.696923,0
0.077393,0.013184,0.845947,1.419847,0.992366,0.198473,1444915339.700196,0
0.077881,0.187256,0.854980,-0.335878,2.274809,0.061069,1444915339.727694,0
0.076172,0.012451,0.857666,-0.595420,3.053435,-4.793893,1444915339.757985,0
0.074707,0.011719,0.852051,3.877863,-0.564885,-2.458015,1444915339.787615,0
0.074463,0.186768,0.849854,-1.007634,-2.809160,-1.786260,1444915339.817599,0
0.076660,0.189453,0.848877,2.641221,-2.320611,-4.702290,1444915339.847586,0
0.072266,0.184814,0.852783,-0.198473,1.389313,0.748092,1444915339.877650,0
0.076904,0.186768,0.850586,-3.755725,2.564885,-0.152672,1444915339.937635,0
0.075684,0.184570,0.851807,-1.816794,31.038168,6.946565,1444915339.967751,0
0.075684,0.186523,0.859619,0.992366,1.770992,-4.335878,1444915339.997801,0
0.073975,0.011963,0.856201,1.847328,3.343511,-6.381680,1444915340.027754,0
0.076904,0.184570,0.860107,-1.435115,3.633588,7.129771,1444915340.057838,0
0.077637,0.012207,0.864502,2.564885,4.030534,4.305344,1444915340.087621,0
0.010986,0.120117,0.917725,-12.809160,11.862596,11.435115,1444915340.117977,0
0.098877,0.173096,0.900879,6.106870,1.007634,13.664123,1444915340.148016,0
0.568848,0.043945,0.957520,30.396946,-11.038168,2.320611,1444915340.177573,0
0.693359,-0.125977,0.778076,7.740458,-14.748092,-20.000000,1444915340.207703,0
0.892334,0.241211,1.035645,29.969465,-57.236641,30.183207,1444915340.237642,0
0.961426,0.295898,0.861816,14.824428,30.656488,67.404579,1444915340.267971,0
0.882324,0.132324,0.672852,-8.641221,12.641221,4.580153,1444915340.297599,0
0.691406,0.107666,0.449219,-23.267176,-25.022902,86.839691,1444915340.327679,0
0.515137,0.181641,0.521973,-16.076336,26.625954,92.381676,1444915340.357750,0
0.324707,0.307129,0.722900,-1.587786,-73.267174,80.732826,1444915340.388179,0
0.137451,0.179443,0.826904,-18.748091,13.053435,46.244274,1444915340.447598,0
0.065430,0.323730,0.913086,6.870229,-3.496183,40.671757,1444915340.477772,0
-0.290039,0.350342,0.966064,-11.816793,-34.732826,50.534351,1444915340.507957,0
0.476807,0.342773,0.841797,4.625954,30.671755,45.969467,1444915340.537742,0
-0.423340,0.015625,0.816406,-20.900763,27.618320,28.152672,1444915340.567718,0
-0.680908,0.292969,0.852051,68.656487,11.083969,6.503817,1444915340.597771,0
-0.995850,0.019287,1.011963,55.450382,117.648857,-13.374045,1444915340.628049,0
0.011719,0.287354,1.182617,47.236641,-2.717557,-14.015267,1444915340.657855,0
0.117432,0.012939,0.892578,15.419847,-3.190840,-13.969465,1444915340.687559,0
0.109619,0.192627,0.855469,-7.099236,8.916031,-2.259542,1444915340.717629,0
0.005859,0.181885,0.856201,-1.648855,11.465649,-2.732824,1444915340.747899,0
0.106689,0.012207,0.851807,3.496183,1.496183,-0.992366,1444915340.777742,0
0.102539,0.190674,0.849609,-9.648855,20.274809,-20.442749,1444915340.807739,0
0.100342,0.186768,0.852295,-2.610687,3.832061,8.061069,1444915340.837726,0
0.107910,0.185059,0.853516,-1.236641,0.702290,10.519084,1444915340.868094,0
0.107666,0.179688,0.849365,1.572519,3.160305,5.251908,1444915340.897667,0
0.103516,0.185791,0.849609,-0.229008,-1.832061,-3.648855,1444915340.927720,0
0.099854,0.180664,0.848877,0.091603,10.396947,7.511450,1444915340.957866,0
0.098633,0.186279,0.849121,1.648855,17.236641,8.183207,1444915340.987703,0
0.005859,0.186035,0.849121,31.145039,3.541985,-2.946565,1444915341.017729,0
0.087891,0.184326,0.851562,-3.251908,6.961832,4.167939,1444915341.047843,0
0.092529,0.184570,0.861572,1.343511,3.343511,8.564885,1444915341.077813,0
0.093018,0.191162,0.854004,-8.778625,4.320611,0.549618,1444915341.107759,0
0.093506,0.172119,0.850098,2.992366,-32.183205,-45.572517,1444915341.137668,0
0.197266,0.253418,1.184814,-8.946565,16.274809,-9.099236,1444915341.167720,0
0.092529,0.128906,0.819092,-37.190838,-2.610687,4.274809,1444915341.197750,0
0.071777,0.162109,0.914307,6.946565,80.961830,-11.877863,1444915341.227703,0
0.001709,0.075684,0.583008,12.305344,-3.007634,-7.145038,1444915341.257856,0
0.040527,0.009766,0.869629,6.885496,-34.229008,2.961832,1444915341.287568,0
0.193604,0.348877,2.555664,30.290077,-20.244274,16.763359,1444915341.317731,0
1.548584,0.544678,3.999878,-8.793893,239.099243,27.679390,1444915341.347700,0
3.390381,-0.027344,1.823975,35.297710,250.129776,-40.610687,1444915341.377753,0
1.166748,-0.747803,-1.477051,23.862595,201.435120,0.946565,1444915341.437860,0
1.213135,-0.753418,-1.567871,-79.694656,15.633588,124.549622,1444915341.467821,0
1.207275,-0.000244,0.218018,75.083969,15.633588,119.496185,1444915341.497667,0
1.171143,0.447510,1.141113,48.564884,15.633588,118.366409,1444915341.527793,0
0.547363,0.542725,1.295654,-30.717558,-196.000000,96.885498,1444915341.557955,0
0.338135,0.330322,1.030273,-120.137405,-110.656487,64.061066,1444915341.587694,0
0.370850,0.029785,0.945068,-131.847336,-192.763351,85.221375,1444915341.617822,0
-0.259766,0.661621,1.651123,-93.893127,15.633588,77.175575,1444915341.676967,0
-1.941895,0.042480,3.999878,19.251909,-134.656494,-55.175571,1444915341.680596,0
-1.484863,0.910156,0.804199,-34.106869,-66.717560,-180.900757,1444915341.707811,0
-2.321533,0.486328,1.914795,-6.259542,-49.709923,-111.511452,1444915341.737926,0
-2.099609,-0.254639,0.301514,163.557251,203.969467,-39.221375,1444915341.767673,0
1.142822,-0.033447,0.119141,159.633591,137.435120,-26.198473,1444915341.797756,0
0.091797,0.190430,0.888184,13.068703,10.305344,30.061069,1444915341.827787,0
0.062012,0.186279,0.872070,7.648855,2.656489,-1.374046,1444915341.857884,0
0.093262,0.183350,0.054199,2.473282,0.656489,-4.381680,1444915341.887578,0
0.097900,0.187256,0.862793,31.053434,0.900763,-4.564886,1444915341.947857,0
