Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Timestamp,Label
-0.197266,-0.082764,0.941162,-2.656489,-3.175573,-9.129771,1444915749.175147,2
-0.188232,-0.077393,0.927002,12.351145,8.305344,-9.496183,1444915749.175745,2
-0.181885,-0.041504,0.922119,15.435115,-4.625954,-5.038168,1444915749.176072,2
-0.181152,-0.034668,0.911865,0.488550,30.977098,30.946566,1444915749.205797,2
-0.184082,-0.042480,0.939697,5.587786,-9.984733,-3.389313,1444915749.236434,2
-0.179443,-0.031982,0.933838,0.412214,-20.213741,-4.671756,1444915749.295611,2
-0.174561,0.498535,0.927246,2.946565,-28.885496,5.389313,1444915749.299194,2
-0.177002,-0.037598,0.930420,-1.816794,-1.328244,-1.541985,1444915749.475158,2
-0.171387,-0.032715,0.929932,-2.778626,-10.015267,-0.320611,1444915749.475679,2
-0.169189,-0.037109,0.936279,-8.503817,4.458015,3.450382,1444915749.535423,2
-0.176514,-0.037842,0.967285,-6.625954,10.564885,4.641222,1444915749.539833,2
-0.205322,-0.064697,0.964844,1.435115,14.717557,-4.641222,1444915749.540230,2
-0.206055,-0.043213,0.911377,3.328244,14.015267,-1.648855,1444915749.540547,2
-0.216553,-0.052246,0.980957,30.381680,13.206107,-2.198473,1444915749.540857,2
-0.214111,-0.026855,0.904785,-11.358779,24.732824,-6.824428,1444915749.595102,2
-0.243408,-0.044678,0.891357,-8.045801,38.503819,3.496183,1444915749.595725,2
-0.235840,-0.041016,0.966797,-14.702291,42.916031,7.511450,1444915749.596111,2
-0.260986,0.496582,0.930176,-15.145039,33.190838,3.419847,1444915749.655883,2
-0.300537,0.496582,0.947510,4.290076,7.083970,4.595420,1444915749.685872,2
-0.279053,-0.060547,1.035156,22.824427,30.961832,4.534351,1444915749.715126,2
0.480225,-0.060303,1.316650,48.992367,74.427483,0.732824,1444915749.718935,2
-0.493164,0.204102,2.151855,90.091606,200.137405,-6.213740,1444915749.745681,2
0.482178,0.707275,3.799072,151.450378,250.129776,-116.152672,1444915749.775890,2
0.021240,-0.042969,2.877441,-149.786255,250.129776,-61.465649,1444915749.806164,2
-1.728027,0.445068,3.707031,-72.412216,250.129776,7.557252,1444915749.835785,2
0.435303,-0.020264,2.464600,21.832062,15.633588,-40.381680,1444915749.895783,2
0.176270,0.412598,1.363770,-46.931297,-33.068703,-16.030535,1444915749.955157,2
0.838379,0.567871,-0.470459,-67.969467,-237.160309,28.122137,1444915749.958745,2
0.244141,0.552979,0.992432,-45.175571,15.633588,38.458015,1444915749.985884,2
0.024658,0.352295,0.311768,-34.137405,15.633588,57.465649,1444915750.015887,2
0.007080,0.387207,1.363037,-10.595420,15.633588,2.748092,1444915750.045703,2
-0.193604,0.447998,1.589844,0.427481,15.633588,46.229008,1444915750.075789,2
-0.560303,0.584717,1.800293,39.251907,15.633588,5.908397,1444915750.105685,2
-0.933594,1.228271,2.493408,8.503817,15.633588,146.244278,1444915750.135766,2
0.250000,0.383057,2.390625,196.305344,94.763359,250.129776,1444915750.165808,2
-2.860107,1.002930,0.848877,92.412216,-25.725191,249.206100,1444915750.195830,2
0.318359,0.446045,-0.006104,36.183205,8.763359,178.305344,1444915750.255152,2
-2.314209,0.249268,0.037842,-23.007633,69.679390,39.312977,1444915750.258696,2
-2.608643,-2.855469,0.676514,15.633588,90.946564,29.664122,1444915750.285811,2
-0.368896,0.481934,1.810059,-14.961832,65.038170,-17.160305,1444915750.316074,2
-0.197266,-0.074219,0.916504,11.175572,29.908398,-0.198473,1444915750.435100,2
-0.168213,-0.011719,0.057617,16.793894,30.625954,-0.687023,1444915750.465425,2
-0.167236,-0.010742,0.914795,7.679389,-6.656488,-0.244275,1444915750.465986,2
-0.177734,-0.019775,0.941162,5.480916,2.687023,-6.351145,1444915750.466404,2
-0.173096,-0.009521,0.935303,3.511450,1.648855,-5.465649,1444915750.495313,2
-0.166504,-0.012207,0.948486,-1.740458,-13.175572,-6.366412,1444915750.525303,2
-0.156494,-0.014160,0.956543,-8.274809,-11.435115,-2.335878,1444915750.644770,2
-0.147217,-0.028076,0.983643,-13.526717,26.473282,14.259542,1444915750.645091,2
-0.150635,-0.000977,0.984619,3.511450,32.488548,3.618321,1444915750.647232,2
-0.198975,-0.011475,0.900635,4.290076,43.526718,4.732824,1444915750.647465,2
-0.192139,0.036377,0.877686,-8.381680,30.748091,-5.419847,1444915750.675438,2
-0.200439,-0.033203,0.914307,-8.885496,20.992367,-8.167939,1444915750.734835,2
-0.227295,-0.034912,0.945312,-8.488549,16.870230,-5.664122,1444915750.737980,2
-0.239014,0.499268,0.928223,-10.946565,30.473282,-3.374046,1444915750.765574,2
-0.257080,-0.045654,0.927734,-10.778625,31.007633,-6.564886,1444915750.825552,2
-0.245850,0.498535,0.861816,-10.564885,18.702290,-0.946565,1444915750.826059,2
0.483154,-0.055176,0.063965,1.358779,7.145038,-2.946565,1444915750.855932,2
-0.322021,-0.054932,1.153076,26.519083,3.374046,31.022902,1444915750.915919,2
-0.324463,0.041016,1.348145,55.618320,97.587784,6.183206,1444915750.945208,2
-0.662354,1.022705,2.919434,126.015266,232.396942,-29.419847,1444915750.948314,2
-0.006592,-0.987549,3.778809,56.259541,250.129776,-128.167938,1444915750.975840,2
0.396240,-0.159180,2.989502,-166.580154,250.129776,-65.175575,1444915751.005755,2
2.324463,0.729736,2.333496,-167.557251,250.129776,20.000000,1444915751.035801,2
1.983887,0.822754,-2.260986,-191.816788,-142.732819,-83.816795,1444915751.065810,2
0.023438,1.048584,0.963623,-75.679390,-114.396950,-61.374046,1444915751.095641,2
