Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,time,label
1.8413086,0.52026368,1.40942383,215.45037842,235.84733582,8.18320656,1436947516.316398,6
1.62719727,1.03491211,-1.82275391,-248.56488038,226.36640931,-234.1374054,1436947516.347870,6
1.26147461,1.1940918,-1.7788086,-170.53434754,192.21374512,4.4274807,1436947516.376921,6
1.04003907,0.9584961,1.6640625,-244.07633973,247.23664856,31.16030503,1436947516.434876,6
0.92041016,0.97241211,1.18237305,-88.82442475,231.38931275,137.72518921,1436947516.467498,6
-1.83935547,-1.77563477,0.52197266,-79.37404633,-246.94656373,134.99237061,1436947516.524866,6
-1.875,-1.95434571,0.60864258,-193.25190735,-241.74046326,209.49618531,1436947516.557109,6
0.08447266,-1.92700196,0.71020508,-144.44274903,-210.77862549,-23.19083977,1436947516.614885,6
0.07543946,0.14624024,-0.00006104,106.36640931,-190.82443238,-241.19084168,1436947516.646929,6
1.7385254,-1.12304688,-1.2631836,216.45800782,247.98472596,-220.21374512,1436947516.707325,6
1.48876954,1.06982422,1.97070313,232.01527405,247.70993042,227.02290345,1436947516.736974,6
1.55957032,1.06494141,1.83032227,-219.5114441,247.55725098,-246.2748108,1436947516.794818,6
1.48291016,1.11669922,1.87182618,246.39694214,-250.09159852,243.6335907,1436947516.827292,6
1.52001954,1.09838868,1.91186524,250.10687256,-247.25190735,-249.80152894,1436947516.884834,6
1.52734375,1.12792969,1.86499024,244.10687256,-243.35877991,-239.3740387,1436947516.917016,6
1.51928711,1.13378907,1.8322754,242.54962159,-246.36640931,-218.67175293,1436947516.975096,6
1.48925782,1.12646485,1.85620118,-250.01527405,248.54962159,-189.08396912,1436947517.005472,6
1.47607422,1.14990235,-1.76147461,-228.99237061,240.5038147,-136.93130494,1436947517.065048,6
1.42773438,1.22729493,1.8569336,-192.58015442,238.65649415,-67.19084168,1436947517.095374,6
1.60253907,0.73706055,1.92651368,-168.74809266,221.09924317,-0.00763359,1436947517.156649,6
1.10058594,0.17016602,1.67309571,-109.54198456,-244.07633973,-0.00763359,1436947517.184781,6
1.52368165,-1.875,-1.52685547,-212.01527405,-71.83206177,218.48855591,1436947517.245270,6
1.94677735,0.55737305,-1.37060547,-241.43511963,-174.6412201,8.36641217,1436947517.274854,6
1.94238282,1.26367188,1.86132813,-185.08396912,-187.43511963,-234.5038147,1436947517.335731,6
1.53222657,1.32250977,1.77563477,-149.87786866,-196.6412201,-234.5038147,1436947517.365013,6
0.9675293,1.19360352,-1.97753907,-122.12213898,-222.96183777,19.86259461,1436947517.397503,6
-1.875,-1.81738282,1.58398438,-97.52671814,192.77862549,-184.32061768,1436947517.455166,6
-1.875,1.44213868,-0.83959961,221.64884949,231.19084168,-0.00763359,1436947517.487604,6
-1.875,-0.43432618,-1.875,215.23664856,-208.58015442,-234.5038147,1436947517.544721,6
-1.86157227,0.5053711,-1.09716797,216.38168335,-226.30534363,-231.81678772,1436947517.576513,6
1.62060547,1.09887696,1.66137696,239.12977601,-247.86259461,244.79389954,1436947517.636781,6
1.47851563,1.15747071,1.85107422,245.89312745,-245.83206177,-219.17556763,1436947517.666789,6
-1.78027344,-1.80444336,1.87963868,247.67938233,-247.23664856,243.2671814,1436947517.724911,6
1.49536133,1.1447754,1.85229493,249.38931275,-249.98472596,238.58015442,1436947517.758233,6
1.50488282,1.13549805,1.85351563,247.4045868,-249.87786866,-245.11450196,1436947517.814935,6
1.51269532,1.12036133,1.87866211,247.4045868,249.72518921,-249.20610047,1436947517.845292,6
-1.78027344,1.12280274,1.87597657,246.51908875,-242.70228577,-249.57252503,1436947517.904839,6
1.50341797,1.1328125,1.84692383,250,-247.16030884,243.70993042,1436947517.935293,6
1.50756836,1.13793946,1.83618165,-246.77862549,246.44274903,243.80152894,1436947517.995103,6
1.51806641,1.13891602,1.89697266,246.35115052,-247.05343628,-245.87786866,1436947518.024557,6
1.50976563,1.13793946,1.87158204,248.71755982,-248.24427796,-245.29771424,1436947518.084891,6
1.49829102,1.13720704,1.89575196,247.22137452,-246.59541321,-249.49618531,1436947518.114831,6
1.50390625,1.13793946,1.85400391,-249.19084168,-243.67938233,243.92366028,1436947518.174939,6
1.47900391,1.12988282,1.85644532,-246.48855591,-226.12213135,225.32824708,1436947518.206304,6
1.4350586,1.13256836,1.77026368,-228.67175293,-169.89312745,216.22900391,1436947518.237271,6
-1.78979493,1.17041016,1.71386719,-209.69465638,-94.42748261,-220.29006959,1436947518.296333,6
1.12353516,1.33154297,-1.78344727,-185.69465638,-68.2748108,-247.86259461,1436947518.327212,6
1.11059571,1.33911133,1.69042969,-187.05343628,-238.22900391,-241.75572205,1436947518.385701,6
1.28979493,1.21191407,-1.75878907,-206.48855591,-91.66412354,-234.65649415,1436947518.416907,6
1.65405274,1.3088379,1.87792969,-218.18321229,-110.80915833,-227.3740387,1436947518.475500,6
1.76953125,1.11962891,1.93237305,-210.70228577,-153.31297303,-218.25953675,1436947518.506142,6
-1.94360352,0.78710938,-1.7775879,-186.73281861,-229.60305787,-231.0076294,1436947518.564986,6
