Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Timestamp,Label
-0.091309,0.023682,0.931885,31.251909,11.465649,-0.900763,1444916171.014277,3
-0.091309,0.021240,0.928711,-2.106870,-1.083969,-3.129771,1444916171.041625,3
-0.090576,0.025879,0.942139,1.068702,7.236641,-0.137405,1444916171.071079,3
-0.093994,0.023926,0.058838,-0.152672,1.129771,-2.687023,1444916171.101108,3
-0.091309,0.024170,0.932129,-2.290076,5.511450,2.580153,1444916171.131045,3
-0.090088,0.024658,0.936523,-3.190840,-3.145038,-3.740458,1444916171.160824,3
-0.094482,0.018066,0.936035,-3.358779,-7.832061,1.862595,1444916171.191098,3
-0.088867,0.020020,0.933594,-2.671756,-6.992366,-1.251908,1444916171.250323,3
-0.095459,0.021240,0.933350,-2.885496,-2.351145,0.259542,1444916171.253752,3
-0.091553,0.020752,0.935547,-3.190840,4.656488,5.190840,1444916171.281589,3
-0.089844,0.020264,0.937012,-0.809160,7.435114,-2.076336,1444916171.311134,3
0.495361,0.016602,0.934570,-0.458015,-0.519084,-5.603054,1444916171.370651,3
0.495850,0.023682,0.939697,-0.381679,3.648855,-5.282443,1444916171.373826,3
0.494385,0.021484,0.931641,-2.244275,-3.038168,-3.633588,1444916171.401121,3
-0.093994,0.018066,0.936279,-2.259542,-5.526718,-3.236641,1444916171.431194,3
-0.093994,0.018799,0.932129,-5.526718,2.198473,30.992367,1444916171.461172,3
-0.096680,0.017090,0.932129,-3.633588,-1.633588,-1.175573,1444916171.521176,3
0.495605,0.020264,0.931885,-0.396947,2.671756,-7.221374,1444916171.551060,3
0.495605,0.017090,0.935791,-0.458015,1.832061,1.007634,1444916171.580978,3
-0.090088,0.022705,0.941895,0.137405,-0.641221,0.671756,1444916171.611009,3
-0.093994,0.023438,0.936279,0.259542,-5.221374,-3.480916,1444916171.641418,3
-0.090820,0.027588,0.934326,-0.992366,10.213740,-1.664122,1444916171.670962,3
0.495361,0.031006,0.939941,0.885496,5.740458,-0.885496,1444916171.701113,3
-0.088867,0.034180,0.931396,0.198473,4.381680,-7.221374,1444916171.731147,3
-0.089111,0.002686,0.924805,-2.091603,5.175572,-6.625954,1444916171.761400,3
-0.086426,0.030762,0.934814,-8.854961,0.137405,-5.297710,1444916171.791115,3
-0.097656,0.022217,0.966309,-26.778625,-1.465649,0.290076,1444916171.821013,3
-0.132080,-0.043213,1.226562,-55.557251,20.671755,18.290077,1444916171.851484,3
-0.344482,-0.178711,0.811035,-121.969467,174.977097,23.251909,1444916171.881327,3
0.037842,0.316895,0.487061,3.129771,12.396947,10.732824,1444916171.911024,3
1.073730,2.301270,2.614502,-67.541985,113.496185,-126.702293,1444916171.941193,3
0.693115,0.481445,1.517822,-55.450382,250.129776,108.167938,1444916171.970983,3
1.270020,0.245117,1.549072,35.603054,12.549619,-7.038168,1444916172.001210,3
0.551758,0.087891,1.286377,52.488548,-77.236641,-28.534351,1444916172.031101,3
0.168213,-0.071533,1.443848,80.854965,25.251909,-28.656488,1444916172.061082,3
-0.133301,0.488037,1.363525,65.664124,-91.312981,-6.885496,1444916172.091079,3
-0.296875,-0.319824,1.294678,64.290077,-70.381676,15.786260,1444916172.121139,3
-0.402100,-0.390381,1.149414,4.198473,-74.809158,25.755726,1444916172.151181,3
-0.587402,-0.652344,0.955566,30.442749,-70.381676,-1.206107,1444916172.181134,3
-0.913086,-0.298584,0.137207,-36.259541,-50.396946,-18.748091,1444916172.211153,3
-1.314209,-0.331787,0.560303,-65.755722,-25.572519,-19.404581,1444916172.241241,3
-1.345947,-0.250244,0.553955,-99.343513,3.709924,-20.839695,1444916172.271045,3
-0.277832,-0.286865,2.408447,13.648855,240.732819,-14.778625,1444916172.301075,3
-0.127441,-0.047119,1.204590,-2.748092,66.015266,-7.083970,1444916172.331238,3
-0.104004,-0.011719,0.971924,23.312977,-16.809160,-8.503817,1444916172.361351,3
-0.096680,0.031006,0.959961,36.732826,-14.931297,-6.015267,1444916172.391098,3
-0.084473,0.044189,0.962402,20.763359,-25.648855,3.679389,1444916172.421107,3
-0.072754,0.052002,0.940430,14.274809,-2.152672,0.503817,1444916172.451127,3
-0.066406,0.065430,0.932129,0.320611,3.053435,-3.312977,1444916172.511089,3
-0.068115,0.065918,0.934570,-0.580153,8.503817,-2.137405,1444916172.750537,3
-0.068115,0.062012,0.941895,-0.641221,2.641221,-4.122138,1444916172.751093,3
-0.068604,0.065430,0.059814,-0.732824,2.992366,-2.824427,1444916172.751421,3
-0.070801,0.067383,0.932617,-3.206107,0.625954,0.442748,1444916172.780473,3
-0.064941,0.066895,0.926270,2.427481,-4.442748,-7.496183,1444916172.781014,3
-0.067871,0.065430,0.928223,3.068702,-6.519084,-4.625954,1444916172.781418,3
-0.068604,0.066650,0.933838,4.625954,-0.702290,1.770992,1444916172.784651,3
0.496582,0.075684,0.059814,9.129771,-12.916031,-0.870229,1444916172.785055,3
0.497559,0.077393,0.946045,12.290076,-1.358779,4.320611,1444916172.785775,3
-0.057617,0.080078,0.947510,-10.839695,7.954198,31.160305,1444916172.811004,3
-0.072266,0.072266,0.951416,-32.000000,23.694656,30.732824,1444916172.841253,3
-0.077148,0.049561,0.973145,-77.007637,58.076336,4.412214,1444916172.871351,3
-0.225098,0.053223,0.946045,-19.083969,2.931298,28.091602,1444916172.901110,3
-0.189941,-0.010742,1.477539,-2.488550,85.725189,9.908397,1444916172.931125,3
-0.094971,0.097168,0.148682,-32.580154,107.755722,4.778626,1444916172.961144,3
-0.387939,0.080322,3.139648,-6.244275,160.793900,-7.435114,1444916173.021069,3
0.023193,0.647461,2.425781,-179.496185,250.129776,27.725191,1444916173.051083,3
-0.285889,0.787109,3.999878,-136.610687,250.129776,-109.007637,1444916173.081220,3
2.410400,0.940186,0.204102,15.633588,250.129776,-103.435112,1444916173.111036,3
2.715332,-0.932373,0.250000,-196.610687,15.633588,-13.740458,1444916173.141263,3
0.928223,0.793457,0.775146,17.190840,15.877863,59.053436,1444916173.171041,3
0.627197,-0.167480,1.295654,29.068703,-191.190842,-3.450382,1444916173.201161,3
0.383789,0.252441,0.672607,44.595421,-190.366409,-47.175571,1444916173.231159,3
0.382568,0.243652,0.575928,86.778625,15.633588,-24.519083,1444916173.261152,3
0.105957,0.024170,1.121826,109.282440,15.633588,-19.557251,1444916173.291119,3
-0.184570,-0.084961,1.903809,138.091599,15.633588,-16.061069,1444916173.321265,3
-0.524658,-0.353027,2.209717,177.358780,-206.045807,41.175571,1444916173.351100,3
-0.739014,0.474609,2.066162,173.389313,-242.961838,70.030533,1444916173.381320,3
0.380859,-1.934082,2.584961,154.366409,-246.381683,94.366409,1444916173.411143,3
0.435059,-0.564209,0.478027,30.809160,15.633588,14.763359,1444916173.441235,3
-2.363281,0.072266,0.066162,92.748093,-167.709930,22.458015,1444916173.471022,3
-2.538086,-1.227295,0.923340,-114.809158,133.480911,27.648855,1444916173.501140,3
0.133301,-0.460449,0.228516,-166.244278,250.129776,5.816794,1444916173.531179,3
0.495850,-0.015625,2.040771,5.450382,196.809158,-50.091602,1444916173.561112,3
-0.043457,0.023193,1.097412,0.732824,28.595419,3.175573,1444916173.591180,3
-0.059326,0.066895,0.963135,28.366413,-44.458015,-30.488550,1444916173.860925,3
-0.049072,0.066162,0.965576,23.938931,-29.557251,3.480916,1444916173.865202,3
-0.036133,0.091309,0.962158,15.206107,-8.442748,-7.358778,1444916173.868612,3
-0.027100,0.099121,0.945312,-1.740458,-8.351145,30.564886,1444916173.869023,3
-0.025391,0.104492,0.939453,5.343512,7.206107,0.610687,1444916173.869343,3
-0.027588,0.103027,0.926758,-2.290076,7.770992,-0.687023,1444916173.891412,3
0.499023,0.104492,0.928223,-2.641221,31.145039,3.343511,1444916173.891947,3
-0.034180,0.107422,0.920166,-5.358778,10.213740,6.442748,1444916173.892400,3
-0.028564,0.100342,0.933594,-2.961832,7.694656,-4.427481,1444916173.892729,3
-0.034912,0.103271,0.932129,-1.496183,-3.755725,-1.404580,1444916173.893037,3
-0.032471,0.101562,0.932373,-0.595420,-6.824428,-4.748092,1444916173.921127,3
-0.029297,0.102783,0.928955,0.259542,1.816794,-2.320611,1444916173.951108,3
0.498291,0.103760,0.934570,-4.412214,11.923664,-0.870229,1444916174.011172,3
