Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Timestamp,Label
0.066406,0.198975,0.855225,-4.488550,2.870229,-5.664122,1444915043.724894,1
0.065674,0.196045,0.848877,-1.297710,4.717557,-6.167939,1444915043.754708,1
0.064453,0.197754,0.848389,-3.053435,5.786260,6.839694,1444915043.784913,1
0.059814,0.198486,0.053711,-1.480916,8.625955,7.068702,1444915043.814564,1
0.056885,0.196289,0.853516,-3.328244,2.854962,3.267176,1444915043.874315,1
0.055420,0.191650,0.850586,-0.778626,3.541985,8.702291,1444915043.877346,1
0.051025,0.196045,0.847900,1.160305,7.450382,11.083969,1444915043.904830,1
0.049561,0.192383,0.851318,2.595420,11.557252,1.282443,1444915043.934783,1
0.044434,0.196533,0.852783,-0.061069,5.801527,1.099237,1444915043.964826,1
0.049561,0.198486,0.852051,-1.236641,12.732824,4.213740,1444915043.994687,1
0.043945,0.195557,0.847656,-4.656488,2.473282,4.687023,1444915044.024845,1
0.042236,0.192627,0.857178,-4.076336,8.824428,-7.282443,1444915044.054833,1
0.035400,0.195557,0.858887,-5.053435,8.137404,-9.175572,1444915044.084893,1
0.031006,0.180664,0.871094,-6.152672,8.045801,-13.145039,1444915044.144754,1
0.027588,0.160645,0.880859,9.343512,-1.145038,-5.679389,1444915044.174870,1
0.017090,0.195557,0.825928,-2.564885,-29.618320,1.526718,1444915044.204780,1
0.052490,0.229492,0.878906,-47.160305,-9.954199,2.381679,1444915044.234742,1
0.041504,0.008057,0.805664,4.488550,70.870232,-11.358779,1444915044.264790,1
-0.020020,0.084717,0.548584,19.297710,-20.442749,7.160306,1444915044.294766,1
0.084229,0.197021,1.231445,-25.786259,-46.763359,13.007633,1444915044.324854,1
0.713135,0.575928,3.999878,-123.847328,75.969467,20.152672,1444915044.354924,1
3.510986,0.091797,3.185303,-111.053436,250.129776,27.267176,1444915044.384910,1
2.158203,0.819580,-0.260986,2.809160,250.129776,-80.961830,1444915044.414806,1
1.268311,-0.015381,-0.369629,83.954201,157.572525,-42.702290,1444915044.444878,1
0.965820,-0.257812,-0.267578,5.664122,-135.343506,22.320610,1444915044.504100,1
0.898682,-0.236816,0.488525,43.251907,-191.801529,0.793893,1444915044.507322,1
0.856445,-0.263672,0.827881,34.503819,-172.717560,-30.396946,1444915044.534867,1
0.449951,-0.399170,0.852783,11.129771,-165.083969,-74.809158,1444915044.564868,1
0.283203,-0.809570,0.859619,11.221375,-216.259537,27.022902,1444915044.595045,1
0.015381,-1.189209,1.295166,-41.893131,15.633588,-105.969467,1444915044.654809,1
-0.201904,-0.966064,2.050293,-66.091606,-244.732819,-152.595413,1444915044.684878,1
-0.835205,-0.875732,2.003906,-77.389313,-76.412216,-127.038170,1444915044.714855,1
-1.022949,0.466553,0.454834,-13.893129,-154.213745,-73.038170,1444915044.744813,1
-1.809570,0.746582,1.448975,-81.068703,-149.312973,-77.511452,1444915044.774849,1
0.317871,0.459229,0.675049,1.755725,-39.709923,-66.992363,1444915044.804853,1
-1.847412,0.170410,1.147217,80.366409,122.641220,-20.000000,1444915044.835046,1
-1.356201,-0.181641,0.888428,124.625954,248.488556,-41.083969,1444915044.864695,1
0.202393,0.015869,0.973389,113.633591,-157.893127,15.633588,1444915044.894840,1
0.003418,0.184326,0.923340,-2.427481,19.679390,0.427481,1444915044.924868,1
0.086426,0.182373,0.840820,0.366412,6.183206,-2.549618,1444915044.984149,1
0.088379,0.181396,0.842529,-1.282443,12.351145,-6.000000,1444915044.987430,1
0.086426,0.182129,0.830322,-3.709924,10.198473,4.305344,1444915045.014808,1
0.078369,0.183594,0.852051,-3.984733,31.236641,-0.519084,1444915045.044870,1
0.072754,0.177979,0.867432,-9.022901,14.702291,-4.427481,1444915045.104158,1
0.069092,0.171875,0.863525,-5.587786,0.641221,8.702291,1444915045.107353,1
0.065186,0.169922,0.856934,-7.679389,11.267176,-1.129771,1444915045.134819,1
0.004150,0.161377,0.862793,-7.648855,2.366412,10.946565,1444915045.164829,1
0.052490,0.168457,0.859619,-8.595420,7.160306,5.312977,1444915045.195262,1
0.055176,0.162598,0.854736,-9.343512,12.748092,1.297710,1444915045.254109,1
0.047607,0.149658,0.865723,-11.954199,6.091603,-21.083969,1444915045.257340,1
0.053955,0.145020,0.863525,-4.839694,-0.458015,28.137405,1444915045.284929,1
0.056641,0.149902,0.869385,10.870229,-1.358779,-10.442748,1444915045.314849,1
0.042725,0.144531,0.833984,17.786259,-6.625954,12.992367,1444915045.344855,1
0.002930,0.164307,0.755127,-13.816793,8.748092,-18.809160,1444915045.374881,1
0.043945,0.160156,0.966064,-22.167938,21.938931,6.519084,1444915045.404910,1
0.041992,0.116455,0.863525,5.389313,55.312977,-17.419847,1444915045.435051,1
-0.011963,0.087158,0.624268,15.267176,16.946566,31.160305,1444915045.465003,1
-0.000244,0.105225,0.871582,14.519084,-22.778625,-0.503817,1444915045.494878,1
0.061768,0.223389,1.554932,-4.290076,-17.984734,12.259542,1444915045.524911,1
0.065186,0.383545,3.999878,-60.030533,183.938934,-0.992366,1444915045.554794,1
3.999878,0.076172,2.559326,-20.977098,250.129776,-60.809162,1444915045.584912,1
