Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,time,label
1.81054688,1.02368165,1.96240235,246.61068726,-245.19084168,245.58778382,1436944870.429804,1
1.81201172,1.03100586,-1.75170899,-247.7709961,-249.58778382,248.97709656,1436944870.462043,1
1.81347657,1.02807618,1.97265625,246.91603089,246.35115052,-247.57252503,1436944870.550158,1
1.81469727,1.02929688,1.96777344,249.46565247,236.91603089,-249.45037842,1436944870.639166,1
1.81030274,1.02685547,1.96362305,-249.98472596,244.16793824,245.22137452,1436944870.701637,1
1.81225586,1.03051758,-1.75146485,249.3740387,245.20610047,-246.76335145,1436944870.761321,1
1.81225586,1.02978516,-1.75170899,248.96183777,-247.84733582,-248.01527405,1436944870.819940,1
1.81396485,1.02587891,1.9650879,-247.35877991,242.76335145,-249.89312745,1436944870.879087,1
-1.76123047,1.02954102,-1.75170899,246.77862549,-242.45800782,245.58778382,1436944870.909661,1
1.81445313,1.02929688,1.96533204,245.06869507,-249.72518921,242.67175293,1436944870.941952,1
-1.76098633,1.03076172,1.97143555,-248.21374512,245.2671814,-249.43511963,1436944870.999076,1
-1.76123047,1.0288086,-1.75122071,-246.35115052,241.12977601,-248.73281861,1436944871.031020,1
-1.76171875,1.02490235,1.9609375,250.12213135,244.42747498,-248.29006959,1436944871.060686,1
-1.76123047,1.02929688,1.9675293,-249.89312745,243.28244019,-248.96183777,1436944871.089899,1
-1.76147461,1.02954102,1.96069336,-248.73281861,-247.19084168,-245.45037842,1436944871.119399,1
1.80615235,1.02587891,1.9663086,-246.42747498,241.19084168,248.88549805,1436944871.151773,1
1.81567383,1.03051758,-1.75170899,246.70228577,-245.87786866,-249.89312745,1436944871.210173,1
1.81396485,1.02978516,1.95874024,-247.70993042,246.18321229,248.90075684,1436944871.270552,1
1.81445313,1.0288086,1.96777344,-249.31297303,243.31297303,248.77862549,1436944871.329147,1
1.81176758,1.02929688,1.96997071,250.12213135,-245.03816224,248.870224,1436944871.359409,1
1.81494141,-1.80981446,1.9609375,247.80152894,248.15266419,-246.70228577,1436944871.365299,1
1.81445313,1.02661133,1.96533204,247.32824708,-240.74809266,248.07633973,1436944871.392201,1
1.81542969,1.03393555,1.96826172,247.2671814,-247.2671814,242.58015442,1436944871.449866,1
1.81542969,1.02636719,1.96386719,-245.6335907,249.57252503,-249.96946717,1436944871.481801,1
1.80981446,1.02807618,1.97143555,-249.90840149,-248.83969117,249.95419312,1436944871.539841,1
-1.76098633,1.02685547,1.96411133,248.35115052,-248.96183777,-249.54199219,1436944871.572322,1
-1.76171875,1.03051758,1.9675293,249.09924317,-241.03816224,243.90840149,1436944871.629817,1
1.81445313,1.0275879,1.97314454,247.67938233,-249.86259461,-247.49618531,1436944871.663891,1
1.80957032,1.03100586,1.96777344,248.33587647,-243.09924317,247.83206177,1436944871.719306,1
1.81347657,1.02905274,1.96997071,-248.38168335,-240.76335145,248.79389954,1436944871.752117,1
1.81079102,1.0275879,1.96484375,247.90840149,-248.91603089,247.2671814,1436944871.781641,1
1.81542969,1.03100586,-1.75122071,-247.98472596,248.48855591,-247.6335907,1436944871.871822,1
-1.76147461,1.03076172,1.96679688,249.6335907,242.70228577,248.62596131,1436944871.900885,1
1.81445313,1.03027344,1.97094727,248.68702698,244.09159852,-247.12977601,1436944871.930339,1
1.81420899,1.03076172,1.96704102,249.2671814,247.03816224,-249.6335907,1436944871.962599,1
-1.76171875,1.0275879,1.96411133,-249.98472596,-249.87786866,247.46565247,1436944872.019902,1
1.81201172,1.02783204,-1.75195313,249.84733582,239.75572205,-242.76335145,1436944872.052197,1
1.80981446,1.03222657,1.97314454,-248.56488038,-239.81678772,243.83206177,1436944872.109989,1
1.81176758,1.02392579,1.96850586,247.81678772,249.75572205,240.70228577,1436944872.141901,1
1.81225586,1.03222657,1.97363282,247.31297303,247.4045868,246.73281861,1436944872.199925,1
-1.76171875,1.02612305,1.9675293,-248.90075684,243.87786866,-248.45800782,1436944872.260179,1
1.81518555,1.02709961,-1.75195313,-247.84733582,250.07633973,-248.44274903,1436944872.290407,1
1.80908204,-1.8100586,1.96386719,249.61831666,245.61831666,246.82443238,1436944872.321790,1
-1.76123047,1.03100586,1.97216797,246.61068726,-249.12977601,245.25190735,1436944872.381836,1
1.81445313,1.03100586,1.96386719,-249.98472596,-243.1450348,-248.62596131,1436944872.413873,1
1.81152344,1.02539063,1.97070313,247.57252503,-238.24427796,-245.45037842,1436944872.500504,1
1.80957032,1.02416993,1.96582032,-248.38168335,245.16030884,244.88549805,1436944872.529891,1
1.81103516,1.02954102,1.96704102,-249.6335907,-219.54199219,249.49618531,1436944872.559176,1
1.81347657,1.02465821,1.96704102,248.83969117,246.07633973,248.06106568,1436944872.592460,1
1.81030274,-1.8100586,1.9729004,-248.80915833,-249.7709961,249.60305787,1436944872.621865,1
1.81469727,1.03100586,1.96679688,247.61831666,248.85496521,-245.35877991,1436944872.680356,1
1.80908204,1.02954102,1.97143555,-249.98472596,240.06106568,249.84733582,1436944872.711545,1
1.81103516,1.02832032,1.97314454,244.91603089,245.03816224,243.3740387,1436944872.770088,1
1.81494141,1.02783204,1.96850586,-248.79389954,241.45037842,-248.53434754,1436944872.802099,1
1.81494141,1.02832032,1.97045899,249.08396912,-246.56488038,-245.89312745,1436944872.861449,1
1.81518555,1.0288086,1.96606446,-248.29006959,-249.19084168,247.09924317,1436944872.891959,1
1.8100586,-1.8100586,1.96484375,249.92366028,-249.54199219,245.60305787,1436944872.949692,1
1.81079102,1.02832032,1.97607422,-247.11450196,-248.82443238,-249.5114441,1436944872.982005,1
1.81640625,1.0275879,1.9819336,-246.77862549,245.20610047,248.80915833,1436944873.071866,1
1.81420899,-1.8100586,1.97216797,-248.85496521,243.34350586,249.23664856,1436944873.100853,1
1.8112793,1.03051758,1.97509766,247.3740387,239.96946717,245.60305787,1436944873.130391,1
1.81420899,1.03100586,1.96972657,245.72518921,-241.78625489,243.11450196,1436944873.161750,1
1.80981446,1.02709961,1.9729004,249.02290345,245.06869507,-247.11450196,1436944873.219273,1
1.81030274,1.02978516,1.96484375,248.73281861,-245.45037842,-245.95419312,1436944873.252387,1
1.81494141,1.03051758,1.96459961,-248.870224,245.35877991,-249.80152894,1436944873.309130,1
1.80981446,-1.81054688,1.96655274,247.72518921,-250.09159852,240.62596131,1436944873.348403,1
1.81372071,1.02783204,1.9729004,248.33587647,-241.06869507,248.96183777,1436944873.374748,1
