Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Timestamp,Label
-0.072510,0.492188,-1.111816,1.022901,3.053435,0.503817,1443687658.655369,1
-0.071289,-0.122559,-1.107910,-1.282443,1.480916,-3.969466,1443687658.659746,1
-0.069824,-0.127930,-1.105225,-0.320611,-0.259542,-1.297710,1443687658.685512,1
-0.070801,-0.129639,-1.111572,-0.488550,-1.511450,3.679389,1443687658.715530,1
-0.068848,-0.127197,-1.109619,-1.511450,4.839694,6.061069,1443687658.745487,1
-0.067139,-0.130127,-1.108643,-0.366412,0.045802,5.007634,1443687658.775735,1
-0.068848,-0.129639,-1.103760,-3.236641,-0.274809,-0.030534,1443687658.894921,1
-0.072021,-0.128418,-1.107178,0.625954,31.251909,-0.213740,1443687658.895669,1
-0.074707,0.493408,-1.104004,-4.900764,1.740458,3.603053,1443687658.896022,1
-0.070068,-0.125732,-1.100830,-3.618321,-3.343511,3.038168,1443687658.925605,1
-0.069824,-0.126953,-1.107178,-2.274809,-0.839695,30.748091,1443687658.955567,1
-0.069580,-0.125488,-1.107178,0.320611,-1.511450,0.641221,1443687658.985715,1
-0.066895,-0.128906,-1.108398,-2.274809,4.717557,-6.717557,1443687659.015592,1
-0.070801,-0.129639,-1.107178,31.145039,-3.786260,3.297710,1443687659.045454,1
-0.074463,-0.127686,-1.108154,1.175573,-4.946565,4.610687,1443687659.075517,1
-0.075195,0.492920,-1.104736,0.595420,3.648855,9.129771,1443687659.134899,1
-0.072998,-0.129883,-1.111328,1.435115,31.221375,0.122137,1443687659.138174,1
-0.071289,-0.127686,-1.108154,1.587786,-1.236641,-0.961832,1443687659.165560,1
-0.072510,-0.126709,-1.112305,-1.129771,31.251909,-8.091603,1443687659.224997,1
-0.074951,-0.128418,-1.106201,2.900763,2.793893,0.198473,1443687659.228891,1
-0.070068,-0.130371,-1.107178,0.030534,-0.305344,-0.702290,1443687659.255566,1
-0.070312,-0.125732,-1.107666,-1.832061,-0.030534,5.160306,1443687659.285634,1
-0.072754,0.492676,-1.104004,-0.992366,-1.786260,2.625954,1443687659.315579,1
-0.070312,-0.134033,-1.111328,-0.717557,4.458015,8.656488,1443687659.345627,1
-0.068604,-0.126465,-1.109375,1.587786,1.114504,5.740458,1443687659.375647,1
-0.071777,-0.127197,-1.106689,0.442748,-1.389313,-8.229008,1443687659.405589,1
-0.073242,-0.128418,-1.104980,0.473282,2.305344,7.725191,1443687659.435564,1
-0.070557,-0.126465,-1.109619,0.824427,1.221374,-5.221374,1443687659.495266,1
-0.070557,-0.126953,-1.111084,-3.267176,3.725191,5.297710,1443687659.498433,1
-0.073975,0.493408,-1.113281,-1.511450,2.488550,1.709924,1443687659.525414,1
-0.073242,0.492432,-1.110352,-0.748092,2.809160,9.664123,1443687659.555683,1
-0.071045,0.492432,-1.104248,-3.175573,-1.740458,-6.458015,1443687659.585607,1
-0.070312,-0.128418,-1.111084,0.274809,0.229008,7.236641,1443687659.615633,1
0.516602,0.459473,-1.459473,-118.687019,250.129776,-92.671753,1443687671.286045,1
0.693604,-0.696777,0.366699,-103.984734,250.129776,-100.076332,1443687671.316054,1
-1.078857,-0.813232,0.250000,-123.526718,11.908397,15.633588,1443687671.346147,1
-1.303955,-1.449951,-0.952637,65.801529,100.305344,-210.503815,1443687671.376083,1
-1.825684,-0.410400,-0.599121,-120.519081,173.206100,15.633588,1443687671.406101,1
-3.002686,-1.050537,-1.059814,-93.984734,-6.335878,8.427481,1443687671.436046,1
-3.132568,-1.380127,-0.332031,151.480911,-186.000000,3.770992,1443687671.465940,1
-0.045898,-0.260010,-1.696289,141.847336,-183.740463,-67.511452,1443687671.496184,1
0.491455,-0.140625,-1.156494,117.496185,-12.839695,85.664124,1443687671.525985,1
-0.088379,0.493164,-1.072021,6.793893,30.671755,-12.687023,1443687671.556103,1
-0.079346,-0.120850,-1.108887,2.778626,-3.236641,-29.007633,1443687671.586078,1
-0.083252,-0.126465,-1.118164,4.183206,-1.984733,12.320611,1443687671.616102,1
-0.072266,-0.132812,-1.103760,0.061069,-2.259542,-4.061069,1443687671.646202,1
-0.083252,-0.137695,-1.114502,-1.541985,1.832061,-3.541985,1443687671.706029,1
-0.078125,-0.138184,-1.101562,5.816794,-1.480916,4.763359,1443687671.735994,1
-0.086182,-0.137207,-1.111816,-1.129771,-4.687023,5.160306,1443687671.766085,1
-0.081055,-0.134033,-1.102539,2.717557,1.114504,5.572519,1443687671.796173,1
-0.075684,-0.137695,-1.110840,-9.496183,-1.236641,9.206107,1443687671.885992,1
-0.095703,0.493164,-1.106201,12.610687,0.091603,8.931297,1443687671.916123,1
-0.088867,-0.130371,-1.113525,-4.778626,-2.977099,12.916031,1443687671.946106,1
-0.088135,-0.120605,-1.121826,-25.923664,14.427481,85.312981,1443687671.976106,1
-0.090576,-0.115723,-1.090576,-18.564886,-0.335878,19.954199,1443687672.006129,1
-0.094971,-0.104004,-1.098633,-43.068703,-5.267176,0.595420,1443687672.036000,1
-0.088867,-0.086182,-1.078613,-13.175572,-6.045802,11.282443,1443687672.065996,1
-0.096924,-0.081543,-1.130127,-4.488550,3.709924,-4.625954,1443687672.125762,1
-0.091553,-0.082764,-1.099121,-1.312977,12.458015,8.854961,1443687672.126262,1
-0.162598,0.023926,-1.149902,-16.992367,3.236641,17.221375,1443687672.156121,1
-1.140869,0.094482,-1.729736,45.938931,19.267176,-97.480919,1443687672.186043,1
1.571777,-0.585693,0.250000,-81.511452,-85.145035,-194.335876,1443687672.216076,1
3.701416,-0.082275,-3.518555,33.862595,15.633588,-122.900764,1443687672.246309,1
2.140137,0.010254,-0.157471,-68.580154,15.633588,-207.603058,1443687672.276213,1
1.554443,-0.022705,0.358887,-75.114502,15.633588,-207.267181,1443687672.306174,1
1.110352,0.078125,0.050537,-90.396950,250.129776,-151.984726,1443687672.336108,1
0.731201,0.065430,-1.333984,-142.244278,250.129776,-54.000000,1443687672.396150,1
0.034180,-0.509277,-1.676514,-162.748093,179.068695,-91.328247,1443687672.426032,1
0.659668,-0.904297,-1.309082,-156.045807,148.412216,-124.320610,1443687672.456226,1
0.430664,-0.774902,-1.141602,-122.595421,250.129776,-139.954193,1443687672.486164,1
0.463867,-0.626221,-1.639648,-109.526718,250.129776,-159.251907,1443687672.545406,1
0.677002,-2.438232,-0.238037,15.633588,-43.618320,248.519089,1443687672.548698,1
-0.508301,-1.641846,-1.078857,53.404579,4.030534,-115.572517,1443687672.576500,1
-1.435059,0.426270,-1.338135,-8.656488,102.931297,-208.702286,1443687672.606123,1
-1.751709,-0.035156,-0.571289,49.083969,43.312977,-118.961830,1443687672.636110,1
-1.848877,-0.675537,-1.146240,-67.480919,-44.290077,-204.656494,1443687672.666109,1
-2.049072,-1.326416,0.476318,174.519089,-125.083969,-51.679390,1443687672.696145,1
0.112061,0.009033,-1.341309,137.969467,27.099237,-51.114502,1443687672.725973,1
-0.072510,-0.195068,-1.070068,123.312981,-18.137405,-123.312981,1443687672.756196,1
-0.051514,-0.113037,-1.102295,14.442748,-5.465649,-1.221374,1443687672.786283,1
-0.079346,0.493896,-1.109619,27.938931,-10.198473,-41.190838,1443687672.816173,1
-0.079102,-0.127441,-1.114746,5.221374,0.183206,26.900763,1443687672.846133,1
-0.081055,-0.140137,-1.103760,-5.480916,0.335878,18.778625,1443687672.876536,1
-0.080322,-0.140381,-1.115234,0.274809,1.847328,8.595420,1443687672.906165,1
-0.084473,-0.136719,-1.104492,31.145039,-0.351145,2.229008,1443687672.936146,1
-0.085693,-0.140137,-1.106689,1.664122,-8.000000,-17.282442,1443687672.966160,1
0.494873,-0.140869,-1.105957,1.755725,1.603053,-3.450382,1443687672.996191,1
-0.097412,-0.139893,-1.106201,0.213740,-13.297709,-2.274809,1443687673.055468,1
-0.102783,-0.143311,-1.106445,4.030534,-6.961832,1.679389,1443687673.058944,1
-0.098145,-0.148193,-1.098877,10.030535,-11.282443,-32.091602,1443687673.086314,1
-0.107666,-0.148438,-1.103760,7.755725,-7.587786,-5.877862,1443687673.116132,1
-0.115234,-0.149902,-1.104980,3.877863,-5.908397,-34.839695,1443687673.146129,1
-0.115723,-0.131836,-1.100586,8.061069,1.480916,12.946565,1443687673.176111,1
-0.115234,-0.159180,-1.100586,0.091603,-5.099236,14.564885,1443687673.206113,1
-0.119141,-0.163818,-1.105713,-24.290077,4.977099,17.511450,1443687673.236136,1
-0.114990,-0.140137,-1.099365,-43.862595,1.374046,28.335878,1443687673.266177,1
-0.113770,-0.116211,-1.114746,-85.847328,36.213741,19.740458,1443687673.325687,1
-0.096680,-0.079102,-1.118652,16.229008,30.396946,153.893127,1443687673.328958,1
