Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Timestamp,Label
0.038818,-0.299561,-1.073975,-3.648855,-1.297710,-3.618321,1443758771.625129,1
0.038086,-0.296631,-1.072754,31.129770,-7.404580,-1.022901,1443758771.654861,1
0.037598,-0.296875,-1.071045,0.412214,2.809160,1.145038,1443758771.685081,1
0.040283,-0.302734,-1.070312,-0.732824,-3.083969,-4.259542,1443758771.715580,1
0.035645,-0.296631,-1.072266,-0.885496,-1.328244,-3.145038,1443758771.745340,1
0.037354,-0.295654,-1.077148,-0.259542,-1.664122,-4.244275,1443758771.775729,1
0.003418,-0.294189,-1.069824,0.641221,-2.351145,0.961832,1443758771.804962,1
0.003418,-0.293457,-1.078613,-0.854962,-3.343511,-7.511450,1443758771.835265,1
0.002441,-0.293213,-1.074707,3.206107,1.694656,4.870229,1443758771.865897,1
0.034180,-0.294678,-1.068115,1.267176,-1.282443,1.557252,1443758771.895325,1
0.035645,-0.290527,-1.077393,3.435115,2.732824,10.870229,1443758771.955100,1
0.034912,-0.291992,-1.067139,0.809160,4.335878,-4.809160,1443758771.984980,1
0.043457,-0.300049,-1.072998,0.290076,3.557252,4.106870,1443758772.015336,1
0.035645,-0.300293,-1.070801,1.038168,0.778626,-4.916030,1443758772.045561,1
0.042725,-0.297119,-1.065186,2.458015,2.442748,7.114504,1443758772.075019,1
0.039307,-0.300049,-1.069092,3.740458,4.045802,-7.129771,1443758772.104982,1
0.040039,-0.305908,-1.069092,5.282443,3.557252,1.282443,1443758772.135078,1
0.040283,-0.304932,-1.065430,5.557252,2.137405,-7.038168,1443758772.165033,1
0.043701,-0.307129,-1.062744,2.610687,0.748092,4.809160,1443758772.195621,1
0.046875,-0.316650,-1.064209,9.969465,8.519084,-8.198473,1443758772.226032,1
0.047363,-0.317871,-1.066406,8.045801,0.137405,0.167939,1443758772.254877,1
0.050293,-0.322021,0.433594,6.183206,23.801527,-77.954201,1443758772.285119,1
0.045898,-0.330078,-1.066650,10.549619,1.129771,3.206107,1443758772.315719,1
0.049072,-0.330078,-1.065674,9.648855,6.335878,-7.465649,1443758772.345312,1
0.048584,-0.334717,-1.057129,7.358778,1.465649,-0.198473,1443758772.375115,1
0.047852,-0.334717,0.434326,0.717557,-0.641221,-10.595420,1443758772.405050,1
0.050293,-0.335449,-1.062988,-2.519084,-0.503817,1.664122,1443758772.465067,1
0.051270,-0.334473,-1.060303,-4.198473,3.099237,4.778626,1443758772.495682,1
0.046387,-0.330566,0.435059,-1.770992,1.832061,3.068702,1443758772.525074,1
0.046143,-0.329834,-1.059814,-0.625954,-1.129771,3.618321,1443758772.555278,1
0.046143,-0.325195,-1.060303,0.167939,5.419847,-1.679389,1443758772.585070,1
0.051025,-0.326172,-1.070801,-6.549618,-2.671756,1.389313,1443758772.615022,1
