Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Timestamp,Label
-0.032959,-0.169678,-1.100342,-0.335878,-1.587786,5.770992,1443757700.710387,1
0.499268,-0.171631,-1.104004,31.068703,2.503817,4.641222,1443757700.740134,1
-0.031982,-0.176025,-1.099365,-2.366412,-0.167939,1.694656,1443757700.770083,1
-0.028320,-0.173340,-1.105469,1.709924,1.862595,-2.641221,1443757700.800013,1
0.499756,-0.176025,-1.101562,1.541985,1.236641,4.290076,1443757700.830100,1
0.498779,-0.173584,-1.098389,-1.053435,1.419847,4.442748,1443757700.860279,1
0.498535,-0.171143,-1.100098,0.274809,0.885496,8.687023,1443757700.890270,1
0.499756,-0.173828,-1.102783,-1.816794,0.503817,0.152672,1443757700.919991,1
0.499023,-0.174805,-1.103760,-0.946565,1.648855,-5.328244,1443757700.950065,1
-0.028076,-0.170410,-1.101318,0.167939,1.480916,-2.580153,1443757700.979985,1
-0.027344,-0.175781,-1.097900,-1.465649,0.320611,-5.022901,1443757701.009989,1
-0.029053,-0.171631,-1.101807,-0.473282,31.160305,-0.213740,1443757701.040560,1
0.498535,-0.171875,-1.103516,2.580153,0.595420,-4.473282,1443757701.070093,1
-0.026855,-0.169678,-1.097900,-1.007634,2.839695,-0.564885,1443757701.100180,1
-0.028564,-0.170410,-1.099609,3.114504,-0.961832,-0.793893,1443757701.130047,1
-0.028076,-0.172363,-1.100830,0.778626,3.664122,6.229008,1443757701.190119,1
0.499756,-0.172363,-1.101562,-0.458015,-0.381679,-2.229008,1443757701.220029,1
0.498779,-0.175049,-1.105713,1.770992,-0.473282,8.366412,1443757701.249980,1
-0.033203,-0.175293,-1.101074,1.801527,-0.259542,-2.885496,1443757701.280076,1
0.499268,-0.173828,-1.105225,0.778626,0.748092,0.625954,1443757701.310019,1
-0.031982,-0.173096,-1.099854,3.312977,-3.740458,-0.122137,1443757701.340121,1
-0.037354,-0.175537,-1.101074,-0.885496,-5.404580,-1.755725,1443757701.370007,1
-0.031982,-0.173828,-1.101318,1.908397,-1.832061,4.519084,1443757701.400027,1
-0.031982,-0.173340,-1.096191,-2.519084,-2.259542,-2.076336,1443757701.430011,1
0.498779,-0.177734,-1.099365,-5.664122,3.099237,1.236641,1443757701.460067,1
-0.032471,-0.178467,-1.105225,-1.786260,3.206107,-1.358779,1443757701.490167,1
-0.033691,-0.174561,-1.103271,-2.000000,3.328244,3.099237,1443757701.520119,1
-0.027588,-0.176514,-1.106934,0.488550,-0.335878,1.175573,1443757701.550074,1
-0.033691,-0.178223,-1.101807,-2.015267,2.564885,1.343511,1443757701.580105,1
-0.031494,-0.175781,-1.101807,-1.465649,-2.213740,-7.908397,1443757701.610051,1
-0.032227,-0.175537,-1.097656,0.366412,-0.961832,0.870229,1443757701.640175,1
0.499756,-0.170654,-1.103271,-1.816794,0.137405,4.549618,1443757701.670083,1
-0.032471,-0.175293,-1.095703,-1.587786,0.992366,1.832061,1443757701.700055,1
0.498047,-0.176025,-1.105957,-1.236641,0.503817,-0.305344,1443757701.730009,1
-0.034668,-0.175293,-1.099854,0.809160,0.732824,-1.770992,1443757701.760309,1
-0.033203,-0.172607,-1.104248,-1.206107,0.274809,0.305344,1443757701.790074,1
-0.034668,-0.178711,-1.099609,-1.374046,1.725191,3.877863,1443757701.820276,1
-0.028564,-0.179932,-1.098145,0.045802,31.160305,-8.656488,1443757701.850096,1
-0.034912,-0.176758,-1.099854,1.541985,0.305344,3.358779,1443757701.880121,1
-0.032471,-0.176514,-1.102295,31.099237,-1.145038,-6.076336,1443757701.910070,1
-0.036133,-0.178467,-1.105225,-0.824427,2.122137,0.381679,1443757701.940208,1
-0.034424,-0.179199,-1.097900,-3.603053,3.816794,-3.435115,1443757701.970056,1
-0.034424,-0.175537,-1.102539,-2.610687,1.664122,2.519084,1443757702.000078,1
-0.032227,-0.177490,-1.101807,2.961832,-2.381679,-7.068702,1443757702.030066,1
-0.031494,-0.175049,-1.099121,-1.175573,1.755725,6.702290,1443757702.060136,1
-0.034668,-0.177002,-1.107666,0.045802,0.961832,-2.122137,1443757702.090190,1
-0.034912,-0.176514,-1.105469,0.198473,4.244275,10.992367,1443757702.120044,1
0.498291,-0.176514,-1.099121,1.236641,2.549618,0.137405,1443757702.180109,1
-0.036133,-0.176758,-1.100098,-1.786260,1.236641,4.687023,1443757702.210092,1
0.498535,-0.178955,-1.098145,-2.610687,0.015267,4.473282,1443757702.240178,1
0.498291,-0.182617,-1.102783,-3.251908,0.931298,-1.251908,1443757702.270356,1
-0.032715,-0.178467,-1.102295,-2.366412,0.045802,-5.480916,1443757702.300158,1
-0.025391,-0.176514,-1.099121,-2.977099,-2.229008,-2.748092,1443757702.330074,1
0.498291,-0.181396,-1.103271,2.122137,3.007634,-11.267176,1443757702.360132,1
0.499268,-0.179932,-1.104248,-0.503817,-1.038168,-0.229008,1443757702.390192,1
-0.025879,-0.177002,-1.108643,1.618321,5.572519,-1.709924,1443757702.420143,1
-0.029297,-0.180908,-1.104004,-3.160305,2.763359,-5.358778,1443757702.450125,1
0.499268,-0.180664,-1.101318,3.816794,0.473282,3.603053,1443757702.480146,1
-0.032471,-0.180176,-1.106201,2.229008,1.816794,-2.000000,1443757702.510118,1
-0.033447,-0.181885,-1.099121,2.580153,2.763359,0.900763,1443757702.540297,1
0.498291,-0.184570,-1.107178,-1.435115,0.427481,-2.687023,1443757702.570078,1
-0.028809,-0.182617,-1.098633,-2.961832,-1.389313,8.824428,1443757702.600448,1
0.499756,-0.185303,-1.099854,31.221375,2.442748,0.519084,1443757702.630102,1
-0.031494,-0.179688,-1.100830,-1.374046,-1.526718,-10.229008,1443757702.690256,1
0.499268,-0.175537,-1.097900,-1.206107,1.694656,0.335878,1443757702.720214,1
-0.032715,-0.180176,-1.102051,-3.572519,-0.564885,-7.374046,1443757702.750124,1
0.499268,-0.181152,-1.102051,-1.648855,0.748092,11.450381,1443757702.780351,1
0.498047,-0.178223,-1.099121,-1.267176,31.022902,-8.641221,1443757702.810114,1
0.499268,-0.181641,-1.096924,-2.335878,3.603053,3.343511,1443757702.840208,1
-0.032959,-0.176758,-1.101318,-1.725191,0.687023,-0.916031,1443757702.870174,1
-0.029053,-0.178467,-1.094727,0.305344,-0.854962,-4.045802,1443757702.900072,1
-0.026855,-0.177002,-1.100830,31.160305,1.923664,1.328244,1443757702.930158,1
-0.028076,-0.181152,-1.105469,1.480916,-1.770992,-5.618320,1443757702.960137,1
-0.028564,-0.173584,-1.107910,-8.763359,3.755725,31.114504,1443757702.990248,1
-0.033447,-0.175537,-1.104492,-14.702291,0.167939,-14.732824,1443757703.020223,1
0.499512,-0.164062,-1.113525,-24.625954,12.015267,-26.198473,1443757703.050156,1
0.498291,-0.145752,-1.113281,-32.000000,-3.175573,-45.740459,1443757703.080192,1
-0.041992,-0.125977,-1.097656,-22.778625,-14.519084,13.404580,1443757703.110167,1
-0.025146,-0.131592,-1.154053,-12.381680,-0.305344,14.839695,1443757703.169543,1
0.498535,0.493652,-1.114990,-3.679389,7.251908,-1.343511,1443757703.170384,1
-0.022705,-0.127441,-1.114258,31.099237,0.580153,4.564886,1443757703.200148,1
0.048584,-0.268066,-2.346924,123.587784,39.358780,-10.213740,1443757703.230094,1
2.597656,0.114502,-3.639893,125.908394,-176.839691,98.045799,1443757703.260175,1
1.574219,0.260254,-1.403320,16.473282,15.633588,228.335876,1443757703.290237,1
0.972412,0.020996,0.006836,-1.145038,15.633588,220.274811,1443757703.320149,1
0.579346,0.027344,0.193604,7.480916,-84.229004,143.496185,1443757703.350130,1
0.241455,1.026611,1.048828,74.916031,135.282440,30.610687,1443757703.380491,1
0.501953,0.381104,-0.705078,-13.541985,250.129776,-19.725191,1443757703.410196,1
0.641357,0.077148,-1.019043,31.160305,250.129776,0.244275,1443757703.440277,1
0.555908,0.010742,-1.706787,-32.671757,250.129776,31.847328,1443757703.470142,1
0.019531,0.225586,-1.787842,-71.832062,154.580154,94.549622,1443757703.500384,1
0.119385,0.228271,-1.537109,24.641222,113.587784,87.740456,1443757703.530411,1
-0.382324,-0.135254,-1.495117,-84.351143,18.885496,41.740459,1443757703.560186,1
-0.281494,-0.315186,-1.189941,-43.694656,25.572519,-13.770992,1443757703.590229,1
-0.495605,-0.321289,-1.338867,125.221375,121.694656,-137.618317,1443757703.620122,1
-1.210449,-0.328125,-0.668457,-53.526718,94.000000,-86.610687,1443757703.680153,1
-1.552734,-0.599121,-1.055420,11.541985,20.839695,-10.366412,1443757703.710176,1
-1.505127,-0.337158,-1.038086,71.435112,-98.351143,14.381680,1443757703.740237,1
-1.203125,-0.356201,-0.714600,85.389313,15.633588,167.664124,1443757703.770168,1
-0.052734,-0.222168,-1.336914,75.923668,-170.244278,42.122139,1443757703.800287,1
0.002441,-0.079834,-1.354004,54.992367,-86.778625,11.160305,1443757703.830218,1
0.341064,0.494873,0.447021,32.732826,-29.404581,2.824427,1443757703.860139,1
-0.005371,-0.175537,-1.193115,-2.641221,-2.519084,-1.465649,1443757703.890306,1
-0.051758,-0.181396,-1.091553,1.832061,-3.419847,7.328244,1443757703.920209,1
-0.055908,-0.176758,-1.109375,3.816794,-5.038168,0.335878,1443757703.950184,1
-0.056641,0.489014,-1.084717,0.076336,-2.030534,31.175573,1443757703.980221,1
-0.053711,-0.183594,-1.095459,-4.564886,3.770992,-8.687023,1443757704.010179,1
-0.051758,-0.178223,-1.098633,-5.282443,9.282443,6.427481,1443757704.040277,1
-0.052490,-0.185303,0.433105,-3.740458,5.038168,-8.732824,1443757704.070128,1
