Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Timestamp,Label
0.083496,0.160156,0.856445,0.763359,9.312977,7.328244,1444892090.649302,1
0.077637,0.154053,0.857666,-0.748092,2.473282,0.259542,1444892090.679230,1
0.078857,0.160156,0.855957,-1.419847,4.824428,5.832061,1444892090.709297,1
0.079346,0.159912,0.853027,-1.007634,7.557252,-0.717557,1444892090.739203,1
0.075928,0.155518,0.856445,-0.061069,3.053435,1.175573,1444892090.769544,1
0.091064,0.158936,0.849854,-50.137405,0.854962,221.236649,1444892090.799290,1
0.079346,0.159180,0.859863,-7.496183,9.603053,4.458015,1444892090.829257,1
0.077148,0.153809,0.860352,-5.099236,6.778626,-12.229008,1444892090.859464,1
0.061035,0.135742,0.861816,4.473282,11.877863,11.709924,1444892090.889351,1
0.075684,0.147705,0.849609,-3.480916,2.274809,-1.435115,1444892090.919297,1
0.072021,0.139893,0.862793,-4.977099,8.625955,30.366413,1444892090.949610,1
0.064453,0.145020,0.863037,1.022901,9.526717,8.503817,1444892090.979470,1
0.058350,0.141113,0.841309,-0.015267,2.076336,-6.992366,1444892091.009387,1
0.056885,0.140869,0.856201,1.740458,3.648855,-2.442748,1444892091.069369,1
0.057861,0.141113,0.856689,0.671756,1.679389,-4.076336,1444892091.099624,1
0.059082,0.142822,0.864014,1.160305,-1.343511,8.748092,1444892091.129345,1
0.054932,0.141357,0.857178,-1.786260,0.152672,-2.839695,1444892091.159491,1
0.052002,0.141357,0.857422,3.389313,2.167939,11.465649,1444892091.189295,1
0.051514,0.143799,0.865234,7.603054,-12.900764,37.389313,1444892091.219356,1
0.059082,0.139160,0.862061,3.633588,6.870229,6.809160,1444892091.249372,1
0.052734,0.142334,0.858398,-0.320611,-5.251908,-1.633588,1444892091.279629,1
0.054199,0.143066,0.858398,-0.931298,-0.564885,4.992366,1444892091.309373,1
0.052734,0.137207,0.854736,3.816794,-7.511450,-5.236641,1444892091.339222,1
0.060791,0.137695,0.855469,0.458015,-9.847328,-2.580153,1444892091.369325,1
0.055176,0.127930,0.833496,5.709924,3.343511,-7.618320,1444892091.399683,1
0.066650,0.150391,0.852539,-1.480916,0.793893,6.335878,1444892091.429367,1
-0.154053,-0.559570,1.097412,-12.778625,2.366412,23.633587,1444892091.459422,1
1.193604,-0.239990,0.553955,-10.122137,24.793894,-30.625954,1444892091.489374,1
0.820312,-0.009521,0.855713,-38.351147,-63.786259,-153.740463,1444892091.519930,1
0.556641,0.377930,0.054688,-10.229008,-39.221375,-78.244278,1444892091.549306,1
0.129150,-0.221924,0.748047,-40.854961,-18.381680,-137.435120,1444892091.579416,1
-0.118652,0.897705,1.827881,-12.106871,10.198473,-190.580154,1444892091.609380,1
-0.245850,0.432373,1.208740,-2.961832,45.587788,-164.671753,1444892091.639259,1
-0.577881,0.274170,1.049561,66.641220,56.137405,-140.335876,1444892091.669987,1
-1.930176,0.131592,0.795654,98.916031,29.190840,-31.984734,1444892091.699333,1
0.049561,0.067383,0.748535,19.022902,-36.091602,4.671756,1444892091.730471,1
0.110352,0.175293,0.858154,8.793893,25.740458,-42.763359,1444892091.759516,1
0.105957,0.169189,0.856201,-4.259542,1.679389,13.572519,1444892091.788522,1
0.007080,0.159668,0.859131,-5.480916,3.343511,10.641221,1444892091.818487,1
0.102295,0.158936,0.861816,-2.259542,3.160305,-0.320611,1444892091.848444,1
0.105957,0.161621,0.847412,-1.343511,3.648855,-4.641222,1444892091.879440,1
0.102539,0.158447,0.857422,-7.312977,7.175572,-1.297710,1444892091.909412,1
0.102539,0.159180,0.853027,0.977099,1.694656,30.992367,1444892091.939374,1
0.101318,0.159668,0.850098,2.763359,-4.091603,-2.809160,1444892091.969269,1
0.100098,0.158936,0.853516,2.824427,2.473282,-2.977099,1444892091.999249,1
0.096680,0.161621,0.849854,-0.656489,0.274809,-4.198473,1444892092.058460,1
0.101807,0.161133,0.854980,1.450382,-3.694656,-5.450382,1444892092.089376,1
0.099121,0.163818,0.855469,1.038168,2.473282,-7.038168,1444892092.119010,1
0.007080,0.158203,0.857422,1.419847,1.206107,0.290076,1444892092.149305,1
0.098877,0.163818,0.853516,-0.595420,6.183206,-6.687023,1444892092.178421,1
0.090820,0.156006,0.855469,-5.496183,4.519084,3.862595,1444892092.209390,1
0.092773,0.158203,0.852539,-6.732824,4.030534,-2.351145,1444892092.239253,1
0.087646,0.010742,0.851074,-6.274809,13.816793,3.862595,1444892092.269400,1
0.086670,0.148438,0.856689,-4.503817,-3.312977,-5.389313,1444892092.299642,1
0.084961,0.156006,0.865234,1.648855,1.099237,-15.450381,1444892092.329413,1
0.079590,0.146729,0.859863,-3.206107,-1.541985,-4.290076,1444892092.359437,1
0.084717,0.149414,0.851318,-12.274809,14.412213,7.435114,1444892092.389418,1
0.039062,0.136719,0.817139,-8.916031,5.206107,30.854961,1444892092.419428,1
0.060059,0.128662,0.921631,-14.534351,85.648857,-7.679389,1444892092.449565,1
0.001953,0.052734,0.603271,2.137405,41.221375,-9.511451,1444892092.480692,1
0.017334,0.106934,0.708740,13.053435,-60.763359,17.175573,1444892092.509427,1
-0.560059,-2.075684,3.999878,99.633591,-59.862595,102.229004,1444892092.569287,1
0.210693,0.078613,1.548096,104.534348,202.992371,-87.603050,1444892092.599371,1
0.147705,-0.082031,0.992920,1.862595,250.129776,17.664122,1444892092.629437,1
0.178955,-1.117920,0.505127,2.702290,227.267181,-71.450378,1444892092.659438,1
0.491211,-0.360352,0.257324,-16.977098,116.595421,-25.480917,1444892092.689474,1
0.042969,-0.042725,0.301514,-6.854962,39.358780,-35.816795,1444892092.720460,1
0.743652,-0.027832,0.422852,-4.045802,22.137405,-24.290077,1444892092.749520,1
0.051758,0.142822,0.336914,-3.236641,5.603054,-14.564885,1444892092.779441,1
0.772461,0.007568,0.011230,-26.106871,-43.633587,-55.755726,1444892092.809576,1
0.604004,-0.115234,0.304199,-61.389313,-117.816795,-63.725189,1444892092.839287,1
0.648193,0.054932,0.841797,-56.015266,-225.648849,-42.213741,1444892092.869448,1
0.319824,0.155518,1.272949,-67.160309,-209.221375,28.671755,1444892092.899429,1
0.216064,0.037109,1.140137,-88.625954,-214.793900,-33.435116,1444892092.929427,1
-0.062744,0.132324,1.650635,-82.732826,-199.526718,-57.206108,1444892092.959389,1
-0.320312,0.086426,1.636475,-51.786259,-173.694656,28.732824,1444892092.989351,1
-0.708740,0.133301,1.390869,2.427481,-43.541985,-41.954197,1444892093.020472,1
-0.927246,0.729004,1.247803,90.702293,-29.450382,-54.824429,1444892093.049419,1
-1.330322,0.420898,0.904053,67.633591,-30.671755,31.236641,1444892093.079371,1
-1.609131,0.017090,0.909668,-5.587786,231.786255,-194.931305,1444892093.109443,1
-3.133789,-0.128174,0.064941,80.030533,-38.244274,-51.648853,1444892093.139324,1
0.081543,0.158691,0.957275,8.412213,1.496183,-35.694656,1444892093.169417,1
0.092285,0.181396,0.838379,-5.648855,1.007634,6.427481,1444892093.199585,1
0.096680,0.174805,0.852783,-1.404580,31.175573,-8.137404,1444892093.229354,1
0.098145,0.176025,0.053223,30.763359,-2.137405,7.099236,1444892093.259516,1
0.100098,0.172363,0.846191,-8.839695,4.427481,-0.748092,1444892093.289516,1
0.100830,0.165771,0.853271,-2.335878,-0.366412,-9.862596,1444892093.319312,1
0.100586,0.166260,0.851807,-2.793893,5.984733,-8.595420,1444892093.349438,1
0.098145,0.163330,0.855469,-1.282443,2.854962,-8.427481,1444892093.379378,1
0.103027,0.169189,0.852539,1.572519,31.038168,-3.358779,1444892093.409425,1
0.095703,0.161621,0.850342,0.702290,0.396947,-0.656489,1444892093.439374,1
0.097412,0.161865,0.851318,2.946565,3.160305,0.290076,1444892093.469610,1
0.092773,0.161377,0.849609,-0.870229,6.870229,7.145038,1444892093.499427,1
0.091309,0.163330,0.849609,4.198473,2.854962,-2.198473,1444892093.559444,1
0.007568,0.160889,0.852783,0.122137,5.007634,-5.679389,1444892093.589491,1
0.093262,0.165039,0.850342,1.007634,6.870229,6.732824,1444892093.620093,1
0.087646,0.165527,0.853760,1.877863,7.465649,-3.160305,1444892093.649426,1
0.089844,0.165771,0.852783,-0.961832,7.450382,5.175572,1444892093.679491,1
0.085205,0.165039,0.855469,0.824427,6.091603,-0.503817,1444892093.709479,1
0.079834,0.162598,0.859131,-5.251908,0.519084,9.206107,1444892093.739350,1
0.083984,0.158691,0.856689,-6.351145,9.908397,-1.740458,1444892093.769499,1
0.077148,0.167725,0.848877,-5.496183,0.763359,5.328244,1444892093.799452,1
0.071289,0.160156,0.862305,-5.282443,-4.580153,-18.732824,1444892093.829555,1
0.097656,0.015381,0.972900,-10.244275,61.282444,-6.076336,1444892093.859381,1
0.088135,0.092529,0.926758,-21.099237,32.900764,-49.694656,1444892093.889435,1
-0.004883,0.119141,0.678467,0.625954,18.213741,-4.106870,1444892093.919485,1
-0.063232,-0.820068,1.768555,-89.343513,-39.221375,47.908398,1444892093.949418,1
1.744873,-0.942139,3.999878,121.343513,250.129776,195.801529,1444892093.979382,1
2.632080,-0.085938,1.675781,152.183212,250.129776,111.908394,1444892094.009558,1
1.741943,-0.224365,2.002441,-228.213745,15.633588,15.038168,1444892094.069528,1
0.547852,-0.337402,0.342285,-47.419846,-139.038162,91.328247,1444892094.099433,1
0.777344,0.523438,1.012207,-26.152672,29.877863,161.267181,1444892094.130438,1
0.828857,0.940186,0.271240,-97.068703,-38.244274,99.954201,1444892094.159503,1
0.778320,0.755859,1.166016,-76.366409,15.633588,82.610687,1444892094.189494,1
