Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Timestamp,Label
-0.097168,-0.094238,-1.107910,-1.038168,8.610687,-16.732824,1443091244.442419,1
-0.097168,-0.099365,-1.106689,-3.664122,-1.923664,0.732824,1443091244.472287,1
-0.098389,-0.100342,-1.109863,-2.503817,8.732824,-5.740458,1443091244.502285,1
-0.100830,-0.100830,-1.107910,-2.961832,5.282443,6.687023,1443091244.532342,1
0.494629,-0.097168,-1.107178,-1.679389,10.900764,-8.916031,1443091244.562237,1
-0.101318,-0.102539,-1.109619,2.045802,-5.465649,5.068702,1443091244.592247,1
-0.097656,-0.100830,-1.107910,-2.015267,-2.259542,-8.641221,1443091244.622258,1
-0.099854,-0.104004,-1.112305,-2.717557,10.229008,26.625954,1443091244.652334,1
-0.095703,-0.101074,-1.108643,3.572519,3.694656,-10.167939,1443091244.682258,1
-0.097168,-0.098877,-1.107422,62.473282,1.740458,4.824428,1443091244.712265,1
-0.100098,-0.105957,-1.109863,0.885496,-6.809160,0.885496,1443091244.742402,1
-0.096924,-0.105713,-1.112793,14.992367,5.343512,-22.839695,1443091244.772273,1
-0.098877,-0.107910,-1.108398,3.389313,-3.633588,5.740458,1443091244.802358,1
-0.103516,-0.107910,-1.105713,6.778626,-3.541985,7.083970,1443091244.832390,1
-0.098877,-0.107178,-1.108887,0.305344,-1.740458,5.160306,1443091244.862388,1
-0.098877,-0.110352,-1.110596,3.114504,-1.496183,-2.198473,1443091244.892217,1
-0.100098,-0.108154,-1.111084,-2.717557,7.664122,-1.893130,1443091244.951534,1
-0.101318,-0.109375,-1.111084,-0.916031,0.549618,-12.091603,1443091244.954692,1
-0.099609,-0.105225,-1.114258,-1.618321,7.786260,-17.312977,1443091244.982282,1
-0.101807,-0.107666,-1.106201,-14.748092,6.717557,0.977099,1443091245.012341,1
-0.097656,-0.100586,-1.112549,-20.183207,-2.931298,3.175573,1443091245.042381,1
-0.095703,0.495605,-1.114990,-32.946564,0.946565,-18.015266,1443091245.072359,1
-0.086426,-0.083008,-1.100342,-41.618320,10.290076,158.198471,1443091245.102345,1
0.353760,0.847900,-1.227783,-6.167939,-17.496183,232.274811,1443091245.132355,1
0.028320,0.138428,-1.570557,9.587787,-32.946564,-7.297710,1443091245.222337,1
0.493408,0.182861,-1.308838,-35.969467,-128.030533,52.763359,1443091245.252361,1
0.570557,0.074219,-1.006104,-59.083969,-143.236649,33.862595,1443091245.282372,1
0.664795,0.315918,-0.470947,-142.412216,198.870224,44.671757,1443091245.312177,1
0.437012,0.006348,-1.226807,-66.534348,6.259542,85.435112,1443091245.342374,1
0.292236,0.139893,-0.465088,-98.900764,141.526718,69.312981,1443091245.372338,1
0.206055,-0.228027,-1.289062,-90.290077,122.656487,90.503815,1443091245.402238,1
0.114502,0.489990,-1.238525,-75.450378,119.541985,148.183212,1443091245.432428,1
-0.036377,-0.182617,-1.057373,-49.038166,150.778625,139.816788,1443091245.462319,1
0.005859,-0.144775,-1.430176,-62.045803,327.083984,125.984734,1443091245.492124,1
-0.578369,0.035400,-0.011230,-159.450378,66.290077,171.297714,1443091245.522246,1
-1.075684,-0.049561,-0.607178,-44.488548,2.442748,52.427483,1443091245.552394,1
-1.346436,-0.558838,-0.929199,52.396946,-56.213741,11.389313,1443091245.582396,1
-1.578857,-0.020264,-0.716553,11.267176,-236.916031,60.152672,1443091245.612272,1
-0.821045,-0.031494,-2.047119,216.061066,-430.198486,-132.152664,1443091245.642317,1
-0.131348,-0.101074,-1.116455,75.938934,-110.595421,121.618324,1443091245.702393,1
-0.082275,-0.095947,-1.137939,38.198475,-53.832062,125.526718,1443091245.732286,1
-0.120117,-0.091064,-1.149902,35.419846,-25.190840,51.267174,1443091245.762396,1
-0.120605,-0.111084,-1.109619,84.000000,5.954198,-33.282444,1443091245.792267,1
-0.115967,-0.123047,-1.115967,81.190842,-0.458015,-439.175568,1443091245.822367,1
-0.114990,-0.140869,0.432617,28.122137,-5.893130,127.206108,1443091245.852302,1
-0.108643,-0.144287,-1.100830,-7.389313,0.580153,-33.832062,1443091245.882400,1
-0.108154,-0.143066,-1.108154,-7.328244,1.068702,34.442749,1443091245.912295,1
-0.113037,-0.140869,-1.106445,-5.526718,3.419847,5.251908,1443091245.942348,1
-0.112061,-0.142090,-1.099365,-4.610687,-4.671756,0.885496,1443091245.972393,1
-0.109375,-0.135498,-1.105713,-10.534351,-0.702290,-20.183207,1443091246.002299,1
-0.117188,-0.132812,-1.104248,-14.381680,-4.824428,13.557252,1443091246.032426,1
-0.113770,-0.136475,-1.109619,-20.916031,-2.839695,-30.290077,1443091246.062354,1
-0.113525,0.492188,-1.106934,-11.083969,4.335878,40.977100,1443091246.092308,1
-0.112793,-0.126953,-1.106445,-17.496183,1.404580,81.129768,1443091246.122332,1
-0.116943,-0.115723,-1.115234,-14.290076,0.396947,1.282443,1443091246.152333,1
0.492432,-0.096680,-1.110107,22.656488,-13.465649,-82.229004,1443091246.182327,1
-0.127930,-0.080566,-1.094971,-38.534351,-15.725191,-293.282440,1443091246.212293,1
-0.068848,-0.165527,-1.071045,-57.374046,61.587788,7.389313,1443091246.271695,1
-0.122314,-0.076904,-1.105469,2.106870,28.244274,0.488550,1443091246.274840,1
-0.130127,-0.071045,-1.168945,-10.656488,-26.290077,30.229008,1443091246.302448,1
0.493652,-0.055908,-1.024414,-11.358779,0.122137,-10.442748,1443091246.332366,1
-0.139404,-0.047607,-1.205811,60.213741,35.755726,12.061069,1443091246.362453,1
-0.143799,-0.210938,-3.226318,0.305344,-86.534348,14.412213,1443091246.392453,1
0.677246,-0.172607,0.250000,58.748093,31.267176,56.091602,1443091246.422602,1
1.387451,0.106689,-2.798340,-131.328247,31.267176,18.595419,1443091246.452386,1
2.557617,0.260498,-1.726807,-364.519073,31.267176,-190.748093,1443091246.482455,1
1.535889,0.995850,0.574463,500.259552,31.267176,-497.984741,1443091246.512315,1
0.947998,0.715576,-1.113770,-290.687012,500.259552,-150.320618,1443091246.571739,1
0.630371,0.133301,-0.863037,271.389313,481.343506,-153.801529,1443091246.575127,1
0.446533,0.493164,-1.255859,59.541985,318.809174,55.786259,1443091246.602413,1
0.331543,0.184082,-0.612061,-71.022903,332.152679,60.244274,1443091246.632425,1
