Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Timestamp,Label
0.499512,0.059082,0.934570,-3.114504,-0.702290,-2.641221,1444892815.501069,1
-0.029053,0.061279,0.931641,-0.320611,2.274809,-6.381680,1444892815.502140,1
-0.024902,0.058838,0.935059,-3.297710,8.595420,-4.213740,1444892815.531672,1
-0.026367,0.057129,0.932861,-3.007634,7.038168,0.076336,1444892815.562209,1
-0.026367,0.060791,0.930908,-0.778626,0.000000,-0.412214,1444892815.591880,1
-0.023193,0.061035,0.932861,-3.679389,7.007634,5.572519,1444892815.650999,1
0.498535,0.058350,0.929199,31.251909,0.961832,1.312977,1444892815.681063,1
-0.024902,0.057861,0.930420,-0.473282,-2.687023,-1.679389,1444892815.682004,1
0.499512,0.054688,0.935547,31.068703,-3.709924,-4.381680,1444892815.741391,1
0.499268,0.057861,0.930908,0.122137,0.198473,-2.442748,1444892815.742840,1
-0.027832,0.059082,0.932617,-0.916031,7.557252,-7.618320,1444892815.771609,1
0.499756,0.059326,0.933838,-2.625954,4.793893,-0.931298,1444892815.831086,1
0.499512,0.056885,0.926514,31.129770,-1.664122,-2.732824,1444892815.832127,1
0.499268,0.060059,0.933105,-1.236641,-5.328244,-3.572519,1444892815.861668,1
-0.025635,0.060303,0.933838,-0.351145,-5.160306,-0.931298,1444892815.891803,1
0.499756,0.058350,0.930420,-0.595420,-3.740458,-1.984733,1444892815.921793,1
-0.026855,0.057129,0.925049,0.183206,2.076336,-1.740458,1444892815.951693,1
-0.026123,0.057617,0.931885,-2.946565,1.526718,-6.030534,1444892815.981665,1
-0.027344,0.059326,0.932373,31.251909,-8.885496,1.557252,1444892816.011642,1
0.499512,0.059326,0.929199,-1.129771,-0.732824,-0.305344,1444892816.041616,1
-0.027100,0.056152,0.934326,-2.122137,0.229008,-1.419847,1444892816.101085,1
-0.028320,0.054199,0.928955,-1.190840,-3.236641,-6.839694,1444892816.102223,1
-0.027100,0.004150,0.932129,-3.206107,2.381679,-0.061069,1444892816.131544,1
0.499512,0.057861,0.936279,-0.396947,1.419847,-0.778626,1444892816.191602,1
-0.027832,0.059082,0.935791,1.160305,-0.992366,-0.244275,1444892816.281290,1
-0.027100,0.004395,0.936279,-3.786260,-0.122137,-1.664122,1444892816.282274,1
-0.023682,0.060059,0.932617,-0.045802,0.412214,1.770992,1444892816.282998,1
0.498291,0.060059,0.929199,-3.007634,-6.870229,-0.916031,1444892816.340920,1
0.498291,0.061279,0.930420,1.221374,-4.687023,-3.038168,1444892816.371033,1
0.498291,0.004395,0.933350,-2.687023,9.221375,-4.167939,1444892816.372172,1
0.498779,0.062256,0.058594,-3.984733,0.152672,-3.114504,1444892816.401708,1
-0.026611,0.004395,0.931396,-1.404580,-3.251908,-8.931297,1444892816.461099,1
-0.025635,0.061035,0.931641,-3.160305,-4.259542,-2.564885,1444892816.462246,1
