Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Timestamp,Label
-0.034180,-0.000977,0.937012,-31.541985,0.335878,6.381680,1444892511.711482,1
-0.033447,0.003418,0.059570,0.381679,-7.511450,-6.519084,1444892511.712617,1
-0.038574,-0.001221,0.059082,-1.099237,0.854962,-1.969466,1444892511.742718,1
-0.035889,0.000488,0.059814,-2.396947,6.137404,30.931297,1444892511.801559,1
-0.035400,0.001953,0.941406,0.900763,3.618321,1.664122,1444892511.802504,1
-0.034912,-0.000977,0.934326,0.076336,4.351145,3.557252,1444892511.832091,1
-0.037598,-0.000488,0.059082,-3.053435,3.465649,-3.587786,1444892511.862423,1
-0.034668,0.002197,0.059082,-6.488550,6.473282,-0.549618,1444892511.892791,1
-0.035889,-0.004150,0.936523,-7.343512,-4.992366,-0.198473,1444892511.922310,1
-0.036377,-0.004639,0.058838,-6.229008,-7.450382,-7.526718,1444892512.011466,1
-0.040283,-0.006104,0.940430,-10.778625,8.641221,-6.030534,1444892512.041581,1
-0.033447,-0.012695,0.940186,-18.137405,-0.977099,7.633588,1444892512.071663,1
-0.026855,-0.032959,0.952393,-21.022902,-10.702291,0.748092,1444892512.072930,1
-0.003418,-0.042236,1.020020,-26.396946,-13.389313,30.320610,1444892512.076453,1
-0.026123,0.013916,1.064697,12.412213,26.045801,5.358778,1444892512.102154,1
-0.047607,-0.028809,1.086182,17.969465,59.206108,6.259542,1444892512.132101,1
0.079590,-0.044678,1.946289,250.129776,46.839695,22.000000,1444892512.221532,1
0.471191,-0.491455,0.366699,250.129776,49.328243,-91.664124,1444892512.222550,1
0.329834,-0.282959,0.822021,35.038166,-9.877863,-135.526718,1444892512.252262,1
0.277588,-0.174561,0.739990,-16.549618,-6.793893,-161.679382,1444892512.282128,1
0.300293,-0.079346,0.737061,-57.251907,-13.709924,-146.870224,1444892512.312516,1
0.028809,-0.078613,0.711670,-83.221375,-24.198473,-143.206100,1444892512.342178,1
0.381348,-0.071533,0.891602,26.763359,-36.473282,-159.221375,1444892512.372334,1
0.395264,-0.077148,0.773682,-66.183205,-61.832062,-162.259537,1444892512.402126,1
0.317139,-0.108398,0.749512,-54.152672,-82.809158,-174.198471,1444892512.432147,1
0.235840,-0.094238,0.812012,-73.328247,-80.534348,-173.587784,1444892512.462317,1
0.083984,-0.090576,0.947998,-89.206108,-91.709923,-170.335876,1444892512.492027,1
0.005127,-0.086182,1.116699,-62.961834,-84.977097,-160.473282,1444892512.522360,1
-0.261719,-0.174072,1.082275,-28.641222,-69.083969,-161.664124,1444892512.581563,1
-0.641357,-0.173340,0.880371,0.595420,-7.160306,-147.648849,1444892512.582654,1
-0.819336,-0.156982,1.010986,12.122137,46.778625,-118.793892,1444892512.612153,1
-0.989502,-0.283691,0.398682,48.778625,94.839691,-81.465652,1444892512.642293,1
-1.771973,-0.309814,0.675293,25.221375,-4.503817,-56.687023,1444892512.732443,1
-0.043701,0.498047,0.847412,2.916031,2.000000,-9.145039,1444892512.733384,1
-0.002686,-0.023193,0.972168,17.893129,3.160305,-10.503817,1444892512.733988,1
-0.026367,-0.017578,0.935303,8.076336,14.152672,-18.381680,1444892512.762211,1
0.498535,-0.008301,0.937256,24.396946,-5.633588,61.450382,1444892512.792103,1
-0.027588,0.000977,0.934570,17.770992,4.427481,-4.610687,1444892512.822369,1
0.499268,0.005127,0.936279,9.587787,31.175573,-2.122137,1444892512.852332,1
-0.031738,0.016846,0.929443,3.694656,65.587784,17.725191,1444892512.882112,1
-0.028564,0.020508,0.931885,16.503817,0.671756,-9.419847,1444892512.912168,1
-0.034912,0.023438,0.930420,2.977099,10.167939,3.343511,1444892512.942197,1
-0.036377,0.001953,0.059814,6.900764,4.396946,31.206106,1444892512.972416,1
-0.039307,0.036377,0.932861,10.961832,15.938931,0.183206,1444892513.031541,1
-0.037109,0.034912,0.943115,31.160305,-2.625954,-1.282443,1444892513.032643,1
-0.041016,0.039551,0.059814,0.335878,7.007634,0.351145,1444892513.062171,1
-0.041504,0.042969,0.927979,-0.778626,7.526718,-0.793893,1444892513.092304,1
-0.043945,0.040283,0.934082,-3.511450,2.717557,-1.770992,1444892513.122297,1
-0.042969,0.041992,0.927246,31.099237,0.992366,-0.961832,1444892513.182156,1
-0.044922,0.040283,0.929688,1.648855,7.664122,3.587786,1444892513.212195,1
-0.045654,0.041260,0.059570,-1.801527,-2.671756,3.664122,1444892513.271480,1
-0.044678,0.040039,0.060059,0.030534,-0.458015,0.885496,1444892513.275480,1
-0.046387,0.040771,0.934082,0.351145,4.305344,-4.488550,1444892513.331519,1
-0.048096,0.041016,0.931641,-0.961832,1.312977,-1.389313,1444892513.332467,1
