Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
-0.056641,-0.146484,-1.103516,-0.351145,0.519084,6.885496,1443681675.283358,1
-0.056641,-0.143555,-1.112305,1.664122,-1.282443,1.251908,1443681675.313310,1
-0.056641,-0.143066,-1.103271,-1.832061,1.572519,-0.641221,1443681675.343215,1
-0.059814,-0.140625,-1.094238,-1.740458,31.236641,2.564885,1443681675.373319,1
-0.053223,-0.144043,-1.105225,1.908397,2.320611,-0.229008,1443681675.403444,1
-0.055664,-0.146729,-1.108643,-1.007634,3.816794,-2.091603,1443681675.433281,1
-0.053955,-0.148926,-1.111084,3.587786,2.992366,3.419847,1443681675.492763,1
-0.055664,-0.146484,-1.101318,3.206107,4.488550,5.725191,1443681675.495985,1
-0.051514,-0.145020,-1.104736,1.175573,-0.412214,2.870229,1443681675.523341,1
-0.055908,-0.146240,-1.096680,0.290076,-2.977099,-6.076336,1443681675.553216,1
-0.053223,-0.145020,-1.106201,1.282443,4.061069,9.114504,1443681675.583582,1
-0.052979,-0.145996,-1.102051,-0.290076,1.236641,-0.274809,1443681675.613410,1
-0.057373,-0.148438,-1.104980,-1.282443,1.816794,-2.732824,1443681675.672963,1
-0.055420,-0.145264,-1.104980,-2.885496,6.458015,-3.633588,1443681675.676333,1
-0.053711,-0.144775,-1.104248,-1.038168,1.114504,10.076336,1443681675.703500,1
-0.056641,-0.148438,-1.104980,0.244275,-2.061069,31.190840,1443681675.763378,1
-0.054443,-0.147461,-1.100586,-1.740458,-1.740458,5.740458,1443681675.793343,1
-0.052490,-0.148193,-1.100586,0.091603,1.603053,2.122137,1443681675.823595,1
-0.054688,-0.145752,-1.105713,-1.770992,-3.190840,-1.603053,1443681675.853441,1
-0.059082,-0.146729,-1.104980,2.900763,3.679389,7.297710,1443681675.883375,1
-0.055908,-0.147217,-1.103760,-1.221374,2.732824,7.358778,1443681675.913312,1
-0.052002,-0.146240,-1.103516,-0.488550,-1.282443,-0.519084,1443681675.943566,1
-0.052734,-0.146484,-1.103760,-1.709924,5.541985,8.290076,1443681675.973366,1
-0.056396,-0.148682,-1.105713,1.465649,-7.572519,-1.740458,1443681676.003457,1
-0.054443,-0.145264,-1.103271,0.916031,0.824427,0.732824,1443681676.033176,1
-0.055664,-0.149414,-1.099854,-1.038168,1.633588,5.755725,1443681676.063575,1
-0.054688,-0.150391,-1.101807,1.603053,-2.778626,31.206106,1443681676.093305,1
-0.054443,-0.150146,-1.104492,0.564885,1.435115,1.709924,1443681676.123383,1
-0.054199,-0.148438,-1.107910,31.206106,3.343511,-4.854962,1443681676.153312,1
-0.055420,-0.146240,-1.101318,31.206106,3.358779,-0.992366,1443681676.183775,1
-0.054443,-0.149170,-1.102539,-0.045802,-0.198473,-5.083970,1443681676.213438,1
-0.055908,-0.146484,-1.103027,-0.458015,1.908397,0.000000,1443681676.243375,1
-0.055176,-0.149170,-1.105225,-0.030534,-1.786260,5.526718,1443681676.273386,1
-0.056152,-0.149902,-1.109619,1.022901,1.404580,-1.190840,1443681676.303796,1
-0.052734,-0.147461,-1.110352,-1.312977,-2.809160,-4.091603,1443681676.333260,1
-0.055176,-0.147705,-1.103271,-3.496183,-0.534351,2.503817,1443681676.363413,1
-0.055420,-0.147705,-1.108643,1.633588,-1.832061,4.595420,1443681676.393411,1
-0.052979,-0.147461,-1.105469,-1.007634,2.656489,-0.564885,1443681676.423320,1
-0.058105,-0.150879,-1.107666,-1.129771,-0.381679,0.961832,1443681676.453333,1
-0.058105,-0.143555,-1.106445,-0.458015,0.931298,-9.572519,1443681676.483429,1
-0.054932,-0.153320,-1.102539,0.732824,3.633588,7.526718,1443681676.513280,1
-0.057617,-0.147705,-1.110840,-2.442748,0.625954,1.374046,1443681676.543313,1
-0.058838,-0.149658,-1.102051,1.816794,2.351145,1.816794,1443681676.573230,1
-0.053955,-0.145264,-1.103516,-3.282443,3.251908,-7.450382,1443681676.603363,1
-0.055908,-0.149170,-1.104004,-0.030534,0.992366,9.557252,1443681676.633144,1
-0.056396,-0.146729,-1.112793,-1.282443,-0.564885,2.641221,1443681676.663311,1
-0.056641,-0.144043,-1.108643,-2.534351,1.938931,11.618320,1443681676.693268,1
-0.052979,-0.143066,-1.104248,-2.564885,0.366412,3.389313,1443681676.753436,1
-0.052979,-0.140625,-1.104492,-1.358779,1.251908,0.442748,1443681676.783466,1
-0.055420,-0.140625,-1.105225,-0.870229,-0.473282,-7.618320,1443681676.813340,1
-0.055664,-0.140625,-1.108643,-1.770992,0.045802,4.274809,1443681676.843425,1
-0.054932,-0.140625,-1.107422,-1.511450,3.267176,-0.763359,1443681676.873423,1
-0.052490,-0.139160,-1.103516,-2.320611,6.900764,2.778626,1443681676.903478,1
-0.054932,-0.141602,-1.106689,-5.267176,2.320611,3.526718,1443681676.933346,1
-0.055176,-0.134033,-1.113525,-7.832061,1.450382,2.854962,1443681676.993374,1
-0.052246,-0.129639,-1.121338,-15.007633,-5.496183,-17.129770,1443681677.023282,1
-0.054688,-0.127686,-1.104248,-15.770992,0.534351,-4.824428,1443681677.053287,1
-0.052246,-0.121826,-1.115723,-18.274809,4.977099,-13.954199,1443681677.083263,1
-0.067871,-0.074951,-1.118652,-9.129771,7.969466,8.030535,1443681677.113349,1
-0.053223,-0.150879,0.407227,45.236641,15.496183,-4.564886,1443681677.143506,1
0.004395,-0.067383,-2.025879,133.633591,21.801527,-5.694656,1443681677.173347,1
0.562256,-0.278564,-0.335205,241.877869,1.297710,136.427475,1443681677.203654,1
0.070312,0.320557,-0.882812,23.190840,75.603050,250.129776,1443681677.263361,1
0.101074,0.024658,-1.260010,-11.099236,4.229008,250.129776,1443681677.293716,1
0.009521,0.108398,-1.073486,6.916030,68.091606,250.129776,1443681677.323469,1
0.097168,0.008301,-1.083008,-6.351145,55.694656,250.129776,1443681677.353435,1
0.152100,0.105957,-1.097412,-3.786260,38.992367,250.129776,1443681677.383356,1
0.308594,0.084717,-1.139648,5.755725,3.190840,250.129776,1443681677.413461,1
0.337158,0.101807,-1.138428,2.137405,62.519085,250.129776,1443681677.443439,1
0.306641,0.172852,0.427490,1.404580,66.045799,250.129776,1443681677.473394,1
