Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
-0.078613,-0.145264,-1.104492,0.977099,3.633588,7.709924,1443681938.919170,1
-0.077881,-0.144043,-1.106934,0.931298,-3.374046,-0.885496,1443681938.949061,1
-0.075928,-0.144775,-1.106445,-3.709924,31.022902,-6.763359,1443681938.979007,1
-0.075928,-0.143066,-1.107910,-0.305344,1.190840,3.251908,1443681939.008877,1
-0.074707,-0.143066,-1.106201,-0.183206,1.755725,-2.778626,1443681939.039101,1
-0.073975,-0.140137,-1.111816,-1.145038,-0.809160,5.404580,1443681939.068999,1
-0.073975,-0.141602,-1.109375,-2.198473,-1.511450,3.068702,1443681939.099092,1
-0.078613,-0.140137,-1.106934,-2.167939,2.274809,6.320611,1443681939.129089,1
-0.074463,-0.139648,-1.102539,-3.633588,-2.458015,0.366412,1443681939.158874,1
-0.075195,-0.138184,-1.099609,1.893130,0.229008,-2.030534,1443681939.189108,1
-0.074707,-0.142578,-1.099121,-0.366412,1.587786,1.190840,1443681939.219071,1
-0.073730,-0.139893,-1.106445,0.687023,-1.404580,-5.664122,1443681939.279090,1
-0.075928,-0.141113,-1.104492,1.129771,-1.282443,6.290076,1443681939.309402,1
-0.073486,-0.148438,-1.117920,1.709924,2.748092,-4.793893,1443681939.339217,1
-0.074219,-0.142090,-1.110840,-1.297710,-1.343511,0.152672,1443681939.369022,1
-0.072998,-0.146484,-1.107910,31.221375,0.442748,-8.183207,1443681939.399058,1
-0.077637,-0.146484,-1.112549,-3.740458,1.908397,0.137405,1443681939.429019,1
-0.078857,-0.143799,-1.108398,-7.236641,-2.427481,-0.061069,1443681939.459050,1
-0.077637,-0.144531,-1.111816,-12.320611,3.541985,10.473283,1443681939.488997,1
-0.079590,-0.132080,-1.116699,-19.633587,-9.251908,0.839695,1443681939.519002,1
-0.099365,-0.083008,-1.037109,-19.175573,-5.297710,30.305344,1443681939.549028,1
-0.075684,-0.108398,-1.108643,30.290077,7.236641,5.740458,1443681939.579063,1
-0.070068,-0.112061,-1.119873,-11.435115,20.305344,8.549619,1443681939.608969,1
1.819580,1.287598,-3.073242,55.022900,57.587788,29.969465,1443681939.639110,1
0.873779,-0.192139,-1.340088,-1.206107,-102.641220,100.000000,1443681939.668939,1
1.151123,-0.016113,-1.086914,18.183207,-123.908394,8.854961,1443681939.699001,1
0.804932,0.462402,-0.668457,-4.992366,-88.106873,95.725189,1443681939.759975,1
0.585938,0.522949,0.483154,-59.877861,5.603054,4.396946,1443681939.789096,1
0.453369,0.334473,-0.598145,-72.015266,177.603058,18.946566,1443681939.819348,1
0.298584,0.299316,-1.506348,26.351145,191.648849,1.786260,1443681939.849238,1
0.093018,0.021729,-2.006104,-80.610687,6.717557,-0.351145,1443681939.879115,1
-0.334229,-0.344727,-1.815186,-38.916031,5.129771,-20.015266,1443681939.908958,1
-0.355469,-0.415283,-1.508301,14.106871,-35.236641,-36.061069,1443681939.939247,1
-0.366943,-0.389893,-1.095459,9.145039,101.954201,7.328244,1443681939.969160,1
0.476074,-0.626465,-1.940186,64.213737,68.778625,53.099236,1443681939.999072,1
-0.777100,-0.239014,-0.636475,25.160305,100.778625,75.801529,1443681940.029097,1
-1.050293,-0.122070,-0.286621,84.671753,-21.236641,79.236641,1443681940.059049,1
-1.013672,0.152344,-1.014648,51.557251,-80.717560,37.923664,1443681940.089844,1
-1.142578,0.131348,0.438965,13.022901,-137.389313,2.122137,1443681940.119041,1
-0.028076,-0.156494,0.417969,127.404579,-179.648849,-32.412212,1443681940.149009,1
-0.168701,-0.199219,-1.216553,65.206108,-14.198473,82.503815,1443681940.179107,1
-0.081299,-0.170166,-1.107666,32.687023,30.366413,-11.832061,1443681940.209362,1
-0.079590,-0.175781,-1.101318,12.473283,-8.900764,-25.496183,1443681940.268516,1
-0.077148,-0.184570,-1.082764,7.160306,-2.152672,30.916031,1443681940.271844,1
-0.081787,-0.182861,-1.105469,0.198473,-0.641221,-9.496183,1443681940.299141,1
-0.085938,-0.182373,-1.100830,0.687023,0.854962,4.717557,1443681940.329573,1
-0.081787,-0.184814,-1.099854,-2.839695,-0.290076,10.152672,1443681940.359078,1
-0.081543,-0.180664,-1.099609,-4.274809,-3.450382,8.534351,1443681940.389115,1
-0.082275,-0.179199,-1.101074,-3.419847,-0.473282,-6.290076,1443681940.419176,1
-0.083008,-0.179443,-1.102295,-4.183206,-0.992366,10.137404,1443681940.449346,1
-0.085205,-0.182861,-1.105469,-12.900764,31.022902,-4.992366,1443681940.479062,1
-0.086182,-0.169678,-1.106445,-13.984733,0.198473,10.122137,1443681940.509140,1
0.495117,-0.160889,-1.107178,-14.625955,-6.519084,3.053435,1443681940.539237,1
-0.091309,0.490479,-1.112549,-19.862595,-4.412214,19.297710,1443681940.569314,1
-0.096680,-0.147217,-1.114014,-19.664122,-2.488550,34.473282,1443681940.599075,1
-0.091309,-0.141846,-1.108398,-29.587786,4.931298,14.519084,1443681940.628997,1
-0.104736,-0.117920,-1.086182,-18.381680,4.946565,6.519084,1443681940.659192,1
-0.100342,-0.116455,-1.098145,-17.007633,8.625955,11.389313,1443681940.689482,1
-0.087891,-0.107910,-1.110352,-18.229008,20.900763,-56.229008,1443681940.719135,1
-0.086426,-0.099854,-1.106934,-5.083970,30.290077,6.244275,1443681940.779168,1
-0.098633,-0.078125,-1.060059,-5.603054,2.213740,6.503817,1443681940.809885,1
-0.103027,-0.203857,-2.118408,31.832062,25.709923,-6.641222,1443681940.839268,1
0.328125,-0.526367,0.250000,142.015274,-226.366409,44.290077,1443681940.869098,1
