Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Label,Timestamp
0.103027,0.169922,0.863037,1.832061,2.152672,5.572519,0,1445409204.619299
0.105225,0.170410,0.859375,-1.740458,1.862595,2.549618,0,1445409204.709190
0.099854,0.166992,0.864502,0.900763,1.572519,3.328244,0,1445409204.739585
0.102295,0.173584,0.861572,-5.557252,0.793893,1.435115,0,1445409204.769569
0.101807,0.171387,0.868164,2.885496,-2.442748,5.541985,0,1445409204.803492
0.102051,0.172852,0.861572,-1.312977,1.572519,-1.160305,0,1445409204.829691
0.103516,0.171875,0.868408,0.870229,3.129771,4.717557,0,1445409204.858562
0.102539,0.172363,0.864990,0.366412,31.129770,-2.534351,0,1445409204.889449
0.101074,0.170410,0.867188,-2.900763,3.038168,0.198473,0,1445409204.919496
0.101807,0.168945,0.864258,1.251908,-2.625954,-0.854962,0,1445409204.949369
0.104492,0.170166,0.871582,-3.770992,-1.648855,2.122137,0,1445409204.979676
0.104980,0.172119,0.862305,1.160305,0.106870,4.290076,0,1445409205.009557
0.102295,0.174561,0.865479,-3.770992,0.595420,-7.328244,0,1445409205.039359
0.101074,0.173340,0.861084,1.099237,5.389313,5.984733,0,1445409205.069981
0.099121,0.172852,0.864502,-1.572519,-1.267176,-2.916031,0,1445409205.129666
0.106934,0.172852,0.865967,31.068703,2.839695,7.022901,0,1445409205.159070
0.101318,0.171387,0.864258,1.358779,-4.091603,8.625955,0,1445409205.189622
0.101807,0.169678,0.869141,0.503817,3.328244,-3.954198,0,1445409205.219661
0.104492,0.171631,0.860840,0.870229,3.038168,2.885496,0,1445409205.249546
0.099121,0.168701,0.863770,-1.038168,1.572519,-4.656488,0,1445409205.279732
0.101318,0.170166,0.867432,-2.137405,-0.183206,-0.320611,0,1445409205.309358
0.101318,0.169434,0.864502,31.206106,4.213740,0.885496,0,1445409205.339391
0.103760,0.170654,0.861572,0.916031,2.839695,6.137404,0,1445409205.369546
0.106689,0.167969,0.862549,-1.435115,0.000000,4.259542,0,1445409205.399482
0.119873,0.162842,0.866699,-2.198473,-4.687023,4.076336,0,1445409205.429476
0.101807,0.170410,0.866455,-1.114504,4.793893,7.480916,0,1445409205.459361
0.102295,0.168945,0.865479,-2.167939,0.305344,1.633588,0,1445409205.489433
0.096680,0.162354,0.866699,-1.496183,2.458015,0.183206,0,1445409205.519659
0.103760,0.165771,0.862305,0.534351,-2.442748,1.328244,0,1445409205.549504
0.098633,0.168945,0.863281,-0.030534,-3.419847,3.022901,0,1445409205.736071
0.101562,0.168701,0.865479,0.000000,2.351145,0.473282,0,1445409205.814230
0.100098,0.166992,0.868408,-1.572519,3.816794,6.213740,0,1445409205.827009
0.099854,0.168457,0.868164,1.160305,1.862595,2.320611,0,1445409205.827511
0.102783,0.166016,0.865234,3.893130,3.725191,3.328244,0,1445409205.850472
0.099609,0.167725,0.862793,-0.793893,0.793893,-1.435115,0,1445409205.878667
0.098633,0.163574,0.861572,-1.465649,0.106870,7.557252,0,1445409205.909486
0.101562,0.165771,0.859131,-2.427481,6.564886,4.167939,0,1445409205.941172
0.095703,0.167480,0.860840,-0.839695,2.946565,6.198473,0,1445409205.969129
0.099365,0.165771,0.867676,-0.549618,-2.152672,-2.274809,0,1445409205.999490
0.098145,0.167236,0.865234,-1.053435,7.435114,0.198473,0,1445409206.030454
