Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Label,Timestamp
0.121582,0.119385,0.866943,0.641221,1.480916,6.748092,0,1445409694.817557
0.121582,0.114502,0.868652,-1.236641,-3.511450,-0.045802,0,1445409695.117991
0.126953,0.114014,0.856689,31.206106,8.809160,-1.236641,0,1445409695.147779
0.123535,0.115234,0.872559,0.916031,-0.381679,7.633588,0,1445409695.177711
0.119629,0.114502,0.867920,-0.717557,-4.961832,-1.816794,0,1445409695.237161
0.124268,0.112061,0.857666,-1.435115,-7.129771,4.091603,0,1445409695.241904
0.122070,0.112549,0.868408,0.229008,-2.809160,-3.068702,0,1445409695.327209
0.120117,0.111084,0.864258,-1.419847,2.549618,5.664122,0,1445409695.331629
0.122070,0.114014,0.871338,1.664122,1.083969,5.190840,0,1445409695.332089
0.009521,0.115234,0.861572,1.053435,2.167939,0.137405,0,1445409695.357697
0.126953,0.113037,0.054688,0.503817,2.854962,2.885496,0,1445409695.387728
0.009277,0.114990,0.882568,-2.625954,31.145039,1.770992,0,1445409695.417761
0.128662,0.111572,0.908691,10.274809,13.129771,-17.389313,0,1445409695.447627
0.009033,0.122314,0.886230,26.381680,-4.778626,-19.282442,0,1445409695.477687
0.107666,0.102539,1.029541,17.206106,53.068703,-11.053435,0,1445409695.537117
0.164551,-0.073730,1.260986,27.908398,6.748092,12.000000,0,1445409695.567533
1.834717,-0.167969,1.731689,241.328247,16.946566,-92.717560,0,1445409695.571578
0.081787,-0.553467,1.537109,-1.038168,47.694656,-108.335876,0,1445409695.597812
1.058350,-0.326172,-2.299316,-95.404579,-113.114502,-55.068703,0,1445409695.657739
0.760742,-0.202637,0.663574,-72.335876,-112.534348,-4.610687,0,1445409695.687660
0.707520,0.271729,0.045166,-56.931297,-68.763359,-16.030535,0,1445409695.717711
0.443848,0.085205,0.492432,27.251909,-113.511452,-50.427483,0,1445409695.747742
0.279053,-0.087158,0.981445,-82.870232,-143.068695,-34.931297,0,1445409695.777705
-0.067871,0.077881,1.055664,-64.625954,-102.931297,-15.847328,0,1445409695.807709
-1.016357,0.197266,1.079590,-113.908394,37.114502,-25.251909,0,1445409695.837775
-1.171143,-0.185303,0.011719,-2.000000,84.580154,-49.374046,0,1445409695.867762
-1.119385,0.322510,0.992676,-22.625954,3.160305,-20.183207,0,1445409695.897792
-1.292480,0.603516,0.958252,-68.213737,102.442749,6.244275,0,1445409695.927715
-1.215332,0.732666,0.263916,53.923664,-8.106871,41.740459,0,1445409695.957797
-0.096924,0.239014,1.061035,59.709923,-48.045803,6.152672,0,1445409695.987838
0.102051,0.087402,0.911133,-20.931297,-36.961834,39.374046,0,1445409696.047048
0.172119,0.145264,0.945557,14.641221,-5.145038,-1.358779,0,1445409696.051284
0.131104,0.147461,0.853516,-0.778626,-0.167939,-11.206107,0,1445409696.077707
0.120605,0.143311,0.839844,-3.679389,3.450382,0.580153,0,1445409696.108035
0.124756,0.132568,0.861572,0.030534,-0.854962,9.175572,0,1445409696.167792
0.124023,0.136475,0.858887,2.274809,9.603053,-13.114504,0,1445409696.197808
0.124512,0.133057,0.874023,5.847328,5.206107,16.931297,0,1445409696.227715
0.115479,0.136475,0.863770,1.206107,6.854962,20.641222,0,1445409696.257789
0.114746,0.143311,0.864258,6.748092,2.183206,9.251908,0,1445409696.287738
0.117432,0.143311,0.870850,4.167939,7.251908,9.221375,0,1445409696.318051
0.118408,0.142090,0.870361,6.442748,-5.251908,3.877863,0,1445409696.377195
0.119873,0.146729,0.860840,0.488550,1.862595,31.053434,0,1445409696.381972
0.116211,0.148438,0.847412,4.671756,4.992366,-14.580153,0,1445409696.407793
0.115479,0.151855,0.851807,2.870229,7.358778,11.877863,0,1445409696.437712
0.119873,0.152832,0.854736,-0.381679,5.984733,-6.122138,0,1445409696.467784
0.113525,0.150146,0.857910,-0.519084,7.236641,8.870229,0,1445409696.497761
0.112305,0.153076,0.868896,2.396947,0.702290,-7.053435,0,1445409696.528127
0.112061,0.153076,0.856689,-2.702290,2.076336,8.916031,0,1445409696.557813
0.114746,0.011230,0.897949,0.702290,-1.557252,-1.083969,0,1445409696.587802
0.107666,0.150879,0.872070,-2.198473,7.358778,-0.641221,0,1445409696.617847
0.106689,0.148926,0.864258,1.160305,8.610687,9.603053,0,1445409696.647760
0.107422,0.148438,0.877197,-4.748092,2.152672,6.717557,0,1445409696.677830
0.104492,0.150879,0.898682,-9.114504,15.557252,8.412213,0,1445409696.707763
0.087158,0.134033,0.923584,-4.167939,31.007633,-5.603054,0,1445409696.738353
0.185791,0.042480,1.265625,-14.519084,2.396947,-6.061069,0,1445409696.767767
0.082031,0.039307,0.609131,-5.083970,49.740459,-3.603053,0,1445409696.797777
0.052734,0.007568,0.739502,15.969465,-43.328243,-0.854962,0,1445409696.827686
0.360596,-0.533203,2.982666,45.862595,-126.137405,45.816795,0,1445409696.857756
2.203125,0.080322,3.416748,186.488556,250.129776,-14.503817,0,1445409696.887728
1.511719,-0.572266,-0.135986,-33.312977,250.129776,-10.396947,0,1445409696.917834
1.607178,-0.546387,0.745117,-131.496185,-175.267181,8.549619,0,1445409696.947863
0.074463,-0.352783,1.071289,-75.068703,-129.358780,-22.030535,0,1445409696.977825
0.840820,-0.042725,0.057129,-123.435112,-59.282444,-20.183207,0,1445409697.007833
0.419678,0.242920,0.584229,-124.641220,-89.526718,-13.236641,0,1445409697.037831
0.016602,0.586426,0.050537,-114.961830,-67.709923,24.519083,0,1445409697.067820
0.387207,0.914307,0.037109,-31.679390,24.351145,57.984734,0,1445409697.097782
0.310791,0.257568,0.923340,-5.496183,-184.167938,25.786259,0,1445409697.157969
0.056152,0.015137,1.007324,-15.419847,-158.717560,12.106871,0,1445409697.187754
-0.149414,0.360840,0.830322,8.442748,-111.740456,-12.045801,0,1445409697.217891
-0.692627,0.415771,3.370361,-20.183207,83.572517,-30.351145,0,1445409697.247795
-0.416260,0.399658,0.352051,-8.061069,44.748093,-48.534351,0,1445409697.277906
-1.920410,1.636475,3.223633,-21.755726,29.374046,47.282444,0,1445409697.307703
-1.403809,-0.276367,1.702393,-18.381680,67.343513,100.259544,0,1445409697.337773
-2.151611,0.278809,0.805176,92.381676,53.053436,85.343513,0,1445409697.368009
-0.408936,0.151123,0.926758,40.793892,21.938931,45.969467,0,1445409697.397865
0.331543,0.164307,0.724365,-15.709924,-29.038168,-36.625954,0,1445409697.427762
0.142822,0.130859,0.872559,13.893129,8.213740,-8.702291,0,1445409697.457891
0.121094,0.130615,0.873047,-3.328244,1.374046,-13.160305,0,1445409697.487798
0.127197,0.124268,0.872803,-2.213740,3.343511,-3.129771,0,1445409697.517888
