Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Label,Timestamp
0.061768,0.154053,0.867188,-0.671756,30.671755,-5.496183,1,1445427376.152178
0.003906,0.155029,0.870117,-0.152672,-5.648855,4.122138,1,1445427376.392273
0.064941,0.158203,0.868164,-0.717557,8.137404,7.404580,1,1445427376.422124
0.064941,0.011230,0.859375,2.259542,-2.030534,5.557252,1,1445427376.482220
0.067139,0.153564,0.858887,2.732824,2.961832,-1.832061,1,1445427376.511998
0.065430,0.010498,0.867920,-1.694656,-7.221374,0.595420,1,1445427376.543317
0.067871,0.153809,0.865479,-4.076336,1.786260,7.206107,1,1445427376.572600
0.064697,0.158203,0.866211,-1.679389,-1.160305,0.366412,1,1445427376.602389
0.004639,0.011230,0.870117,-1.465649,0.412214,1.419847,1,1445427376.632173
0.067139,0.010498,0.863525,-1.603053,12.641221,9.725191,1,1445427376.662244
0.068604,0.011230,0.872314,-0.549618,8.732824,30.916031,1,1445427376.692158
0.064697,0.158691,0.861328,-1.740458,-2.335878,-7.877862,1,1445427376.722212
0.067139,0.154053,0.872070,-1.679389,3.633588,-0.961832,1,1445427376.752812
0.005615,0.154297,0.859131,1.068702,6.977099,4.839694,1,1445427376.782483
0.004395,0.009766,0.864014,0.274809,0.213740,-0.870229,1,1445427376.812129
0.005615,0.158691,0.860107,-0.473282,8.045801,4.732824,1,1445427376.842287
0.060303,0.010498,0.864502,1.450382,-9.465649,-1.465649,1,1445427376.872671
0.067139,0.153564,0.862549,0.732824,-2.320611,1.511450,1,1445427376.902100
0.064697,0.010254,0.865967,-1.206107,0.610687,4.763359,1,1445427376.932196
0.064697,0.155762,0.870850,-1.343511,-2.229008,3.435115,1,1445427376.992508
0.004150,0.156006,0.865967,0.702290,8.732824,-7.114504,1,1445427377.022485
0.005127,0.011230,0.870850,-1.709924,-0.473282,-5.374046,1,1445427377.052347
0.069336,0.010254,0.867432,2.198473,-4.763359,-2.824427,1,1445427377.082298
0.070068,0.158691,0.860107,-1.083969,-2.717557,-4.671756,1,1445427377.112069
0.061523,0.010010,0.862061,-2.442748,3.236641,5.664122,1,1445427377.142292
0.067139,0.154297,0.859375,0.229008,2.961832,9.053435,1,1445427377.172853
0.065674,0.009766,0.867432,31.129770,0.106870,0.763359,1,1445427377.202323
0.064697,0.011230,0.870605,1.206107,-9.465649,8.000000,1,1445427377.232212
0.065918,0.010986,0.863037,-3.419847,-2.335878,4.167939,1,1445427377.262286
0.068848,0.009766,0.867920,3.068702,-0.366412,5.801527,1,1445427377.292240
0.005615,0.158203,0.865234,31.221375,1.389313,-0.152672,1,1445427377.322524
