Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
-1.79272461,-1.99902344,0.98730469,249.3740387,-247.48091126,-249.87786866,1441090120.428458,1
-1.78149415,1.99902344,0.98168946,-248.94656373,248,247.45037842,1441090120.458231,1
-1.76049805,1.99267579,1.02832032,246.80915833,245.1450348,-249.34350586,1441090120.520381,1
-1.84497071,1.84179688,1.02270508,248.59541321,-244.58015442,-212.45800782,1441090120.547946,1
-1.71166993,1.94970704,1.01806641,240.77862549,247.6335907,-209.98472596,1441090120.608232,1
-1.85595704,-1.97314454,0.97265625,233.02290345,247.3740387,-215.92366028,1441090120.639015,1
-1.79760743,-1.93164063,0.94799805,239.81678772,-247.32824708,240.48855591,1441090120.698233,1
-1.87719727,-1.97265625,1.03710938,248.16793824,-236.06106568,242.01527405,1441090120.728789,1
-1.75952149,-1.99658204,0.99560547,249.45037842,-245.72518921,-249.60305787,1441090120.787232,1
-1.76025391,1.98168946,0.98901368,249.45037842,-247.58778382,-246.6412201,1441090120.818992,1
-1.77832032,1.98876954,0.97998047,-245.96946717,-243.87786866,-235.41984559,1441090120.877831,1
-1.77050782,1.98999024,0.99169922,-242.56488038,-239.86259461,-249.86259461,1441090120.907806,1
-1.79833985,1.97094727,0.97387696,249.95419312,-246.38168335,-239.49618531,1441090120.968210,1
-1.73046875,1.97119141,0.98657227,244.41221619,-249.28244019,-248.42747498,1441090121.000319,1
-1.7578125,1.96850586,0.99707032,247.23664856,246.18321229,-247.31297303,1441090121.029966,1
-1.75854493,1.98266602,0.9909668,243.57252503,245.87786866,-249.2671814,1441090121.088390,1
-1.78247071,1.97216797,0.99267579,242.90075684,248.6412201,-247.29771424,1441090121.120252,1
-1.78198243,1.98022461,0.98242188,244.85496521,-248.22900391,246.85496521,1441090121.178560,1
-1.76000977,1.97827149,0.98779297,245.45037842,246.58015442,244.39694214,1441090121.210469,1
-1.7644043,-1.75073243,0.98754883,242.12213135,247.23664856,-244.5038147,1441090121.268167,1
-1.79272461,1.98925782,0.98925782,246.90075684,-246.42747498,-219.20610047,1441090121.299020,1
-1.78198243,1.99462891,0.98706055,249.45037842,-247.05343628,247.46565247,1441090121.358515,1
-1.73779297,1.99487305,0.99243165,249.87786866,250.09159852,-250.10687256,1441090121.388590,1
-1.98461915,1.98339844,0.99414063,248.07633973,-248.53434754,-246.61068726,1441090121.448266,1
-1.79931641,1.96557618,1.00512696,243.32824708,245.57252503,-246.53434754,1441090121.478891,1
-1.98950196,1.9831543,0.99243165,-219.03816224,-249.28244019,-247.03816224,1441090121.538643,1
-1.82128907,1.98144532,0.99047852,249.45037842,-242.870224,247.45037842,1441090121.569902,1
-1.79760743,1.9897461,-1.81445313,-244.53434754,-239.86259461,-248.83969117,1441090121.628855,1
-1.77856446,1.98120118,0.9494629,-245.20610047,-230.74809266,-241.52671814,1441090121.658213,1
-1.75512696,1.98339844,0.98144532,-231.67938233,-233.09924317,247.6335907,1441090121.718318,1
-1.83251954,1.98168946,0.94238282,-245.80152894,-194.22900391,218.53434754,1441090121.777988,1
-1.96118165,-1.82714844,0.86230469,213.92366028,-133.34350586,244.90075684,1441090121.808435,1
1.77612305,-1.83081055,0.59985352,166.32061768,227.5114441,-248.36640931,1441090121.838975,1
1.7631836,-1.64526368,-1.82543946,152.35115052,202.48855591,-162.42747498,1441090121.899500,1
-1.99560547,-1.74365235,0.96704102,169.03816224,180.62596131,-243.09924317,1441090121.929998,1
-1.65283204,-1.79272461,1.11962891,184.47328187,208.90075684,-243.46565247,1441090121.988728,1
-1.41186524,-1.97021485,1.25976563,199.89312745,-220.94656373,-188.6412201,1441090122.048620,1
-1.49047852,1.80590821,1.19213868,-223.43511963,248.53434754,-174.870224,1441090122.077700,1
-1.89526368,1.52001954,1.20996094,-216.93130494,230.45800782,-96.10687256,1441090122.108729,1
-1.88623047,0.93872071,1.39428711,225.25190735,176.33587647,204.96183777,1441090122.138337,1
-1.48925782,-1.75195313,1.14794922,-172.6412201,-221.12977601,-221.29771424,1441090122.198488,1
-1.93554688,1.91772461,0.6447754,-231.92366028,-239.96946717,197.08396912,1441090122.229009,1
-1.8635254,-1.9572754,0.99609375,-248.88549805,-248.03053284,202.5038147,1441090122.288832,1
-1.82495118,-1.93774415,0.98925782,-244.71755982,-244.36640931,214.870224,1441090122.318026,1
-1.87573243,1.98120118,-1.81567383,-245.96946717,-247.23664856,231.67938233,1441090122.378335,1
-1.8515625,-1.98535157,0.9753418,-247.16030884,-247.12977601,236.41221619,1441090122.408194,1
-1.8334961,-1.98535157,0.98168946,247.57252503,-241.41984559,-248.24427796,1441090122.471898,1
-1.98681641,-1.94995118,0.99340821,242.04580689,-218.18321229,-239.86259461,1441090122.558517,1
-1.72436524,1.84570313,0.19433594,241.61831666,247.28244019,-238.24427796,1441090122.589361,1
