Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
-1.53173829,1.89868165,1.02539063,248.35115052,247.16030884,-246.07633973,1441090536.783799,0
-1.53442383,-1.75585938,1.02734375,-249.69465638,246.6412201,-246.25953675,1441090536.786878,0
-1.53417969,1.89794922,1.02514649,249.48091126,-250.04580689,-248.88549805,1441090536.846575,0
-1.53515625,1.89526368,1.02319336,-249.49618531,247.55725098,-249.28244019,1441090536.875873,0
-1.52954102,1.89648438,1.02612305,-250.06106568,246.82443238,245.02290345,1441090536.935604,0
-1.5354004,1.89965821,1.02197266,-248.56488038,-248.30534363,-249.72518921,1441090536.996529,0
-1.5378418,1.89526368,1.02172852,-248.29006959,248.36640931,246.41221619,1441090537.025967,0
-1.53588868,1.89379883,1.0234375,249.58778382,247.90840149,-247.05343628,1441090537.085330,0
-1.53491211,1.90161133,1.0222168,-249.98472596,246.71755982,-248.67175293,1441090537.114771,0
-1.5378418,1.89819336,1.0300293,249.28244019,-247.93893433,244.82443238,1441090537.118883,0
-1.52734375,1.8959961,1.01904297,-250.03053284,248.71755982,248.99237061,1441090537.147489,0
-1.53442383,1.89355469,1.0300293,-248.54962159,-248.36640931,-246.73281861,1441090537.237956,0
-1.53515625,1.8984375,1.02539063,-248.58015442,-246.62596131,243.87786866,1441090537.267484,0
-1.53393555,1.89697266,1.03100586,-246.51908875,249.78625489,246.74809266,1441090537.296994,0
-1.55151368,1.88769532,1.02319336,-249.34350586,246.10687256,249.46565247,1441090537.324775,0
-1.52026368,1.89941407,1.03247071,-246.90075684,247.05343628,246.59541321,1441090537.356048,0
-1.54858399,1.89257813,1.02124024,-246.25953675,-218.99237061,-242.59541321,1441090537.385584,0
-1.54418946,1.88989258,1.02319336,-249.86259461,-249.75572205,-249.55725098,1441090537.448776,0
-1.54541016,1.88989258,1.01831055,244.76335145,-234.22900391,-241.80152894,1441090537.505963,0
-1.57348633,1.86962891,1.00708008,236.36640931,-222.41221619,249.92366028,1441090537.595824,0
-1.36914063,-1.96679688,1.04272461,241.25190735,-175.2671814,244.62596131,1441090537.625765,0
-1.90844727,-1.90869141,1.12963868,135.98472596,-216,-246.12213135,1441090537.655939,0
-1.5209961,-1.64575196,0.80126954,146.25953675,215.31297303,-243.06869507,1441090537.685852,0
-1.67578125,-1.63500977,1.17285157,144.58015442,-248.68702698,-131.35877991,1441090537.747852,0
-1.55737305,-1.91479493,1.19750977,127.66412354,-228.88549805,-131.61831666,1441090537.805289,0
-1.09033204,1.9272461,0.62329102,194.83969117,-222.94656373,-242.03053284,1441090537.836141,0
-1.51000977,1.56835938,1.26391602,198.51908875,209.32824708,-169.78625489,1441090537.866651,0
-1.97338868,0.9116211,-1.76953125,-113.98473359,236.73281861,-225.92366028,1441090537.895929,0
-1.21972657,-1.97387696,0.97631836,-241.6335907,240.870224,-244,1441090537.955390,0
-1.43115235,1.88964844,-1.8112793,-241.52671814,244.44274903,239.25190735,1441090537.985289,0
-1.5744629,1.88476563,1.00146485,245.03816224,-249.89312745,240.21374512,1441090538.045546,0
-1.52050782,1.94116211,1.0222168,246.53434754,-239.7709961,248.06106568,1441090538.075466,0
-1.57470704,1.92309571,1.00488282,244.83969117,-226.94656373,239.48091126,1441090538.105743,0
-1.61206055,1.92944336,1.01342774,235.16030884,-214.99237061,241.96946717,1441090538.165737,0
-1.45385743,1.9650879,1.06811524,238.90075684,-222.04580689,-246.93130494,1441090538.195748,0
-1.44726563,1.97875977,1.06542969,241.80152894,-248.71755982,-246.2748108,1441090538.225861,0
-1.41064454,1.96215821,1.06347657,-248.83969117,-238.76335145,-249.98472596,1441090538.285826,0
-1.43041993,1.95458985,1.05981446,-247.0076294,250.12213135,-237.09924317,1441090538.347038,0
-1.41528321,1.95922852,1.07153321,-245.41984559,237.74046326,-239.72518921,1441090538.375863,0
-1.43896485,1.92358399,1.06811524,-249.46565247,224.870224,-233.19084168,1441090538.405561,0
-1.9584961,1.95288086,1.07324219,-243.09924317,202.39694214,-225.78625489,1441090538.465663,0
-1.61230469,1.89233399,1.01708985,-243.95419312,224.56488038,-242.19847107,1441090538.495366,0
-1.49584961,1.97705079,1.04174805,246.53434754,229.06869507,-226.44274903,1441090538.555641,0
-1.54199219,1.94702149,0.96337891,-235.61831666,-236.21374512,-218.73281861,1441090538.586038,0
-1.41455079,1.9453125,0.88061524,-44.65649033,-206.45800782,-187.92366028,1441090538.705809,0
-1.03808594,1.78613282,0.82177735,-0.00763359,-38.47328187,-157.69465638,1441090538.736004,0
-1.34082032,-1.76684571,0.55932618,231.17556763,-229.12977601,-0.00763359,1441090538.742727,0
1.81640625,-0.46459961,0.8557129,-234.5038147,204.77862549,163.02290345,1441090538.768549,0
1.08203125,-0.19628907,-1.875,82.32061005,-231.28244019,111.34351349,1441090538.800307,0
1.54931641,-1.79785157,0.82373047,65.23664094,-244.80915833,243.54199219,1441090538.855861,0
1.60522461,1.64526368,1.01782227,-234.5038147,-248.29006959,-182.58015442,1441090538.885696,0
1.96069336,1.08789063,-1.82055665,56.54961777,-120.38167573,-155.02290345,1441090538.945773,0
-1.95874024,0.8635254,0.77563477,175.09924317,189.1450348,-245.64884949,1441090538.975657,0
-0.29858399,0.2854004,-1.94873047,195.4045868,-230.10687256,-102.7022934,1441090539.096194,0
-0.00006104,0.30834961,-1.15454102,210.74809266,235.60305787,-219.31297303,1441090539.125533,0
-1.46582032,-1.9753418,1.93359375,231.43511963,248.77862549,209.28244019,1441090539.155598,0
-1.47192383,1.90844727,0.97143555,247.09924317,-249.74046326,240.54962159,1441090539.157931,0
-1.61010743,1.94213868,1.00805665,247.09924317,-237.60305787,-242.12213135,1441090539.249600,0
-1.45825196,1.91748047,1.02709961,-218.99237061,-244.56488038,-248.90075684,1441090539.276167,0
-1.52075196,1.93432618,-1.81079102,249.87786866,-249.70993042,242.06106568,1441090539.305840,0
-1.54516602,1.9260254,1.02441407,247.02290345,-243.38931275,-241.1450348,1441090539.336230,0
-1.97070313,1.9453125,1.0197754,217.5114441,-247.17556763,-236.94656373,1441090539.401347,0
-1.5378418,1.93237305,1.09521485,-237.72518921,-244.58015442,-238.90075684,1441090539.455788,0
-1.47827149,1.86645508,1.1538086,-249.61831666,-247.74046326,-249.03816224,1441090539.485953,0
-1.54467774,1.91381836,1.0444336,247.19084168,-248.77862549,-226.01527405,1441090539.515848,0
-1.55932618,1.87841797,1.03247071,-235.87786866,-249.28244019,-235.89312745,1441090539.574971,0
-1.54882813,1.81469727,1.03344727,-209.61831666,249.0076294,-240.68702698,1441090539.605634,0
-0.19750977,-1.875,1.30639649,205.45037842,188.71755982,244.96183777,1441090539.635733,0
-1.64453125,1.97094727,1.03344727,-211.31297303,240.82443238,-234.58015442,1441090539.696075,0
-1.48901368,1.87890625,0.97973633,-183.80152894,246.76335145,-247.43511963,1441090539.755744,0
-1.3713379,1.88745118,0.95532227,-104.53434754,-219.61831666,-205.54199219,1441090539.786023,0
-1.69824219,1.84619141,0.9519043,-45.34350968,-172.04580689,-141.74046326,1441090539.818055,0
-0.96411133,1.71777344,-1.82421875,-82.44274903,176.04580689,-44.3511467,1441090539.875794,0
-0.50170899,1.21997071,-1.84521485,-23.48091698,-234.5038147,-0.00763359,1441090539.908454,0
-1.88867188,1.32763672,-1.82153321,-0.00763359,159.95419312,139.70993042,1441090539.965669,0
1.40747071,0.95751954,-1.72583008,-219.31297303,223.54199219,191.89312745,1441090539.995617,0
-1.99243165,-1.4284668,0.09521485,-180.51908875,227.78625489,-247.54199219,1441090540.057077,0
-1.81323243,-1.39648438,0.95019532,-234.5038147,199.09924317,166.01527405,1441090540.086639,0
-1.32397461,-1.32617188,1.06225586,30.91603089,145.6335907,104.35114289,1441090540.145796,0
-1.57299805,-1.70483399,0.97265625,-234.5038147,198,54.8549614,1441090540.175514,0
-1.4650879,1.96484375,0.69091797,-234.5038147,212.77862549,86.83969117,1441090540.237534,0
-1.19018555,1.3503418,-1.85473633,-234.5038147,-248.01527405,147.61831666,1441090540.267371,0
-0.47436524,1.12792969,0.72729493,73.64885712,-130.65649415,108.42748261,1441090540.325826,0
-0.05639649,0.25830079,0.37231446,129.5114441,-124.33587647,94.30534363,1441090540.356141,0
-1.86450196,-1.875,0.05981446,175.34350586,205.41984559,-249.96946717,1441090540.421798,0
-1.56396485,0.00097657,-1.68432618,-0.00763359,-218.30534363,-138.03053284,1441090540.448779,0
-0.00006104,-1.875,-1.875,-185.16030884,4.29007626,-82.87023163,1441090540.505930,0
1.45703125,1.09741211,0.24511719,228.04580689,188.29006959,200.870224,1441090540.535634,0
-1.69799805,1.86499024,0.91333008,-248.38168335,250.06106568,248.79389954,1441090540.595770,0
-1.58837891,-1.75439454,1.00610352,-239.58778382,-249.92366028,-242.82443238,1441090540.625592,0
-1.57006836,1.93920899,1.01342774,-245.60305787,-237.49618531,-235.98472596,1441090540.718408,0
-1.4897461,1.90844727,1.03076172,-224.99237061,-242.74809266,-239.78625489,1441090540.755637,0
-1.50268555,1.8803711,1.05175782,-228.68702698,-218.93130494,-242.1374054,1441090540.776302,0
-1.55810547,1.8869629,-1.8100586,-234.56488038,238.67175293,-243.46565247,1441090540.806229,0
-1.49707032,1.90893555,1.11303711,-233.75572205,237.86259461,-239.2671814,1441090540.870473,0
-1.58251954,1.83007813,0.9963379,-248.01527405,249.09924317,-241.4045868,1441090540.899728,0
-1.48583985,1.80273438,1.00830079,-218.70228577,245.70993042,-222.45800782,1441090540.955920,0
-1.4416504,1.76733399,1.02392579,-159.74046326,-248.36640931,-203.98472596,1441090540.985700,0
-1.31958008,-1.9663086,0.77783204,-0.00763359,-154.24427796,-116.80915833,1441090541.046694,0
-0.85986329,-1.91259766,1.12890625,-0.00763359,-162.71755982,-0.00763359,1441090541.075776,0
-0.00006104,-1.76074219,-1.875,-0.00763359,-234.5038147,-0.00763359,1441090541.137381,0
-0.00006104,-1.68652344,0.60205079,-234.5038147,-234.5038147,-234.5038147,1441090541.195817,0
-1.4663086,-1.32910157,1.53247071,12.61068726,-173.20610047,42.41221238,1441090541.226111,0
-0.9597168,-1.89892579,0.99438477,51.9236641,111.58778382,30.03053475,1441090541.255786,0
