Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
-1.68066407,1.6081543,1.10473633,-249.69465638,241.69465638,246.51908875,1441162239.922358,1
-1.6838379,1.61108399,-1.80493165,-250.04580689,248.80915833,-248.80915833,1441162239.979937,1
-1.67651368,1.61108399,1.11083985,244.96183777,246.10687256,245.86259461,1441162240.039159,1
-1.6796875,1.60595704,1.10644532,245.38931275,249.92366028,-248.39694214,1441162240.099957,1
-1.68237305,1.61132813,1.11254883,247.34350586,-247.3740387,248.39694214,1441162240.129492,1
-1.67944336,1.61254883,1.11157227,244.88549805,-247.64884949,-247.54199219,1441162240.190248,1
-1.68017579,-1.77416993,1.11547852,246.48855591,247.20610047,-250.09159852,1441162240.219400,1
-1.67431641,1.61328125,1.1147461,244.54962159,-249.25190735,249.4045868,1441162240.249716,1
-1.68139649,-1.77441407,1.10864258,245.89312745,246.5038147,-245.75572205,1441162240.279923,1
-1.67578125,1.61132813,1.1159668,244.53434754,-247.60305787,-247.54199219,1441162240.341323,1
-1.6772461,1.61230469,1.10717774,245.55725098,-249.19084168,248.30534363,1441162240.369959,1
-1.6760254,1.61376954,1.10546875,248.38168335,247.16030884,-249.49618531,1441162240.429990,1
-1.67675782,1.61376954,1.11181641,-248.58015442,245.46565247,246.870224,1441162240.490619,1
-1.67895508,1.61376954,1.11206055,246.91603089,-249.5114441,248.30534363,1441162240.519570,1
-1.6760254,-1.77441407,-1.80541993,-219.11450196,-246.59541321,249.93893433,1441162240.550112,1
-1.67651368,1.61108399,1.11450196,246.65649415,-249.05343628,248.74809266,1441162240.580488,1
-1.67749024,1.61132813,-1.80517579,249.74046326,-248.35115052,-249.49618531,1441162240.640382,1
-1.67797852,1.61108399,1.11523438,-218.88549805,249.55725098,247.96946717,1441162240.670557,1
-1.6784668,1.61499024,1.11083985,247.86259461,-244.94656373,245.17556763,1441162240.730101,1
-1.67529297,1.61303711,1.11083985,243.69465638,-246.39694214,245.2671814,1441162240.760659,1
-1.67993165,1.61425782,1.10888672,248.10687256,246.70228577,246.70228577,1441162240.820149,1
-1.97924805,1.61645508,1.11108399,247.09924317,-248.25953675,-244.74809266,1441162240.850736,1
-1.67480469,1.61523438,1.1081543,-248.24427796,249.02290345,-248.30534363,1441162240.914107,1
-1.67431641,1.61547852,1.10131836,247.34350586,244.96183777,247.22137452,1441162240.942237,1
-1.67285157,1.61840821,1.09814454,245.72518921,-245.49618531,246.44274903,1441162241.000426,1
-1.67333985,1.61401368,1.11206055,-249.54199219,-249.89312745,246.85496521,1441162241.030608,1
-1.67700196,1.6171875,1.11303711,247.67938233,249.12977601,249.84733582,1441162241.090756,1
-1.68066407,1.61499024,1.11206055,-249.2671814,-243.03816224,249.5114441,1441162241.120775,1
-1.67358399,1.61108399,1.11083985,246.67175293,-249.5114441,243.22137452,1441162241.182081,1
-1.68139649,-1.77368165,1.11035157,248.870224,248.71755982,248.39694214,1441162241.241591,1
-1.67529297,1.61450196,1.10522461,248.94656373,248.58015442,248.48855591,1441162241.270991,1
-1.67944336,1.60839844,1.11669922,-248.94656373,248.61068726,247.90840149,1441162241.300945,1
-1.67675782,1.61035157,1.10327149,-248.85496521,247.87786866,248.65649415,1441162241.360965,1
-1.67529297,-1.77416993,1.1057129,-248.74809266,244.47328187,-247.28244019,1441162241.392316,1
-1.67993165,-1.77441407,1.10498047,249.29771424,244.41221619,246.77862549,1441162241.423123,1
-1.68334961,1.60375977,1.10742188,-249.61831666,244.07633973,-249.57252503,1441162241.481755,1
-1.68334961,1.60083008,1.11499024,-247.06869507,245.3740387,-248.30534363,1441162241.514918,1
-1.68896485,1.59960938,1.11499024,-246.97709656,-245.34350586,250,1441162241.570891,1
-1.68652344,1.59863282,1.11889649,-219.02290345,-244.54962159,249.06869507,1441162241.602690,1
-1.68237305,1.59960938,1.11791993,-219.35877991,-248,-219.19084168,1441162241.692078,1
-1.6850586,1.59814454,1.12109375,243.75572205,249.61831666,244.65649415,1441162241.750184,1
-1.68017579,1.60180665,1.10888672,245.87786866,-249.60305787,249.83206177,1441162241.753609,1
-1.67895508,1.60253907,1.1147461,247.0076294,246.61068726,248.04580689,1441162241.782815,1
-1.68334961,1.6081543,1.11962891,243.2671814,-244.94656373,244.06106568,1441162241.842140,1
-1.67553711,1.60595704,1.12109375,239.49618531,-249.38931275,-250,1441162241.871528,1
-1.67871094,1.61181641,1.11572266,-219.1450348,249.66412354,243.48091126,1441162241.932721,1
-1.66479493,1.62451172,1.12280274,234.65649415,-243.34350586,243.48091126,1441162241.963429,1
-1.67431641,1.62622071,1.11108399,238.83969117,-243.69465638,239.90840149,1441162242.020623,1
-1.64965821,-1.77319336,1.11425782,236.44274903,-247.80152894,247.80152894,1441162242.053234,1
-1.67236329,-1.77246094,1.1159668,234.73281861,-218.90075684,238.97709656,1441162242.112998,1
-1.64575196,1.63403321,1.11181641,228.53434754,-219.32824708,249.34350586,1441162242.141797,1
-1.62695313,1.66308594,1.06616211,248.51908875,245.60305787,-249.84733582,1441162242.201294,1
-1.64233399,1.66845704,1.08740235,246.15266419,236.90075684,-248.65649415,1441162242.230985,1
-1.68774415,1.6628418,1.1147461,243.7709961,242.61068726,245.86259461,1441162242.291910,1
-1.67993165,1.66796875,-1.80712891,238.24427796,245.35877991,245.32824708,1441162242.350962,1
-1.67895508,1.67333985,1.08398438,243.93893433,244.90075684,245.86259461,1441162242.382232,1
-1.67993165,1.67626954,1.0769043,245.87786866,242.59541321,248.56488038,1441162242.441511,1
-1.67016602,1.67285157,1.08691407,247.84733582,244.5038147,244.67175293,1441162242.471332,1
-1.69018555,1.68041993,1.08642579,246.48855591,247.61831666,248.80915833,1441162242.501183,1
-1.67944336,1.6772461,1.07763672,247.75572205,247.72518921,-246.94656373,1441162242.564429,1
-1.67944336,1.67578125,1.0756836,249.55725098,249.2671814,246.70228577,1441162242.591424,1
-1.67944336,1.6796875,1.08691407,246.67175293,-247.29771424,-247.35877991,1441162242.651184,1
-1.68554688,1.67944336,-1.80737305,248.71755982,249.81678772,247.80152894,1441162242.682101,1
-1.68334961,1.68237305,1.08618165,247.23664856,-248.83969117,246.19847107,1441162242.740206,1
-1.67993165,1.68164063,1.07666016,245.72518921,248.61068726,-249.16030884,1441162242.771052,1
-1.6862793,1.68237305,1.08276368,246.1374054,-245.64884949,-248.99237061,1441162242.800954,1
-1.68457032,1.69091797,1.07153321,248.870224,-246.35115052,247.6335907,1441162242.863871,1
-1.68115235,1.68212891,-1.80761719,247.19084168,-246.10687256,246.19847107,1441162242.891218,1
-1.67529297,1.69189454,1.07788086,-249.17556763,-246.74809266,-250.09159852,1441162242.950989,1
-1.66113282,1.68579102,-1.80737305,-244.5038147,-248.65649415,-248.39694214,1441162242.982726,1
-1.68237305,1.68115235,1.08105469,-240.09159852,-242.54962159,-247.80152894,1441162243.041513,1
-1.6694336,1.6838379,1.08325196,-227.3740387,-237.67938233,-248.58015442,1441162243.070810,1
-1.64624024,1.64648438,1.07763672,-230.44274903,-242.82443238,-238.88549805,1441162243.132122,1
-1.64794922,1.64379883,1.09179688,-218.96183777,-242.39694214,-236.68702698,1441162243.163353,1
-1.66577149,1.59204102,1.17822266,241.22137452,218.15266419,-231.7709961,1441162243.221303,1
-1.73681641,1.63500977,1.08935547,245.12977601,-249.61831666,-238.88549805,1441162243.250964,1
-1.75878907,1.60888672,1.10595704,245.83206177,-225.38931275,-243.38931275,1441162243.314443,1
-1.68481446,1.62231446,1.1604004,233.96946717,-194.54962159,-239.38931275,1441162243.340722,1
-1.71264649,1.58569336,1.12280274,190.04580689,-126.51908112,-222.10687256,1441162243.401110,1
-1.87768555,1.66723633,0.88403321,112.10687256,-248.76335145,-139.58778382,1441162243.433537,1
1.99975586,1.55493165,0.69604493,122.59542084,-169.0076294,-122.12213898,1441162243.491816,1
-1.97265625,1.55590821,1.17895508,140.2748108,-195.19084168,-96.16793824,1441162243.521646,1
-1.95214844,1.4831543,0.9819336,146.94656373,-220,-77.09923554,1441162243.583791,1
-1.81469727,1.58447266,1.06494141,159.89312745,-232.73281861,-98.88549805,1441162243.616265,1
-1.61181641,1.73681641,-1.80078125,188.65649415,244.90075684,-144.33587647,1441162243.671026,1
-1.57910157,1.84960938,1.06152344,-221.20610047,225.46565247,-174.42747498,1441162243.701834,1
-1.64624024,1.72241211,1.00976563,209.3740387,231.23664856,-181.16030884,1441162243.761155,1
-1.68139649,1.73730469,1.06469727,201.54199219,234.15266419,-175.03816224,1441162243.791044,1
-1.64892579,1.83007813,1.12060547,210.90075684,242.59541321,-183.0076294,1441162243.823204,1
-1.46142579,1.67529297,-1.80029297,223.67938233,-229.80152894,-194.70228577,1441162243.882056,1
-1.55444336,1.69433594,1.28417969,238.80915833,-171.46565247,-204.21374512,1441162243.916646,1
-1.5834961,1.51928711,1.25708008,249.89312745,-113.75572205,-206.76335145,1441162244.001262,1
-1.94067383,0.96289063,1.70507813,-192.2748108,-223.75572205,228.82443238,1441162244.032096,1
-0.67358399,1.15527344,0.65991211,-174.24427796,-217.29771424,-235.84733582,1441162244.062868,1
-1.40405274,1.68017579,1.35278321,228.35115052,229.89312745,-248.65649415,1441162244.094452,1
-1.7109375,1.79272461,0.94189454,241.46565247,123.96946717,211.41984559,1441162244.151230,1
-1.70361329,1.7722168,0.96166993,-236.65649415,-238.03053284,-241.67938233,1441162244.182663,1
-1.63134766,1.62988282,1.0769043,239.08396912,233.93893433,241.3740387,1441162244.241230,1
-1.63500977,1.6760254,1.0666504,237.89312745,-248.25953675,247.74046326,1441162244.271022,1
-1.69921875,1.68872071,1.07617188,245.72518921,-241.89312745,247.90840149,1441162244.332666,1
-1.65332032,1.68139649,1.08374024,245.57252503,-246.24427796,240.5038147,1441162244.364058,1
-1.63403321,1.68481446,1.09716797,-219.02290345,-249.93893433,-249.49618531,1441162244.421472,1
-1.66064454,1.67651368,1.09082032,-248.51908875,-244.6412201,-250,1441162244.481412,1
-1.65087891,1.68017579,1.10424805,247.5114441,247.55725098,245.08396912,1441162244.514331,1
-1.65185547,1.68115235,1.0900879,249.05343628,-248.30534363,-244.99237061,1441162244.541094,1
-1.62695313,1.67114258,1.08715821,246.5038147,249.46565247,246.62596131,1441162244.664446,1
-1.6616211,1.67871094,1.09741211,243.7709961,-242.79389954,240,1441162244.690929,1
-1.63134766,-1.77246094,1.11694336,247.05343628,249.58778382,246.870224,1441162274.220179,1
-1.62866211,-1.77172852,1.11328125,247.55725098,-218.94656373,249.58778382,1441162274.278017,1
-1.63403321,1.63867188,1.11279297,246.19847107,-249.54199219,243.64884949,1441162274.309065,1
-1.62939454,1.64331055,1.12329102,248.67175293,-245.83206177,246.96183777,1441162274.367752,1
-1.62646485,1.64453125,1.11376954,247.98472596,-249.45037842,249.25190735,1441162274.398229,1
-1.62841797,1.64501954,1.11962891,249.17556763,-249.29771424,249.5114441,1441162274.457310,1
-1.62695313,-1.77246094,1.11425782,248.65649415,246.73281861,247.11450196,1441162274.488233,1
-1.62597657,1.63916016,1.11914063,248.74809266,-248.74809266,247.29771424,1441162274.520215,1
-1.62329102,1.64160157,1.11425782,249.86259461,249.17556763,249.16030884,1441162274.608919,1
-1.97631836,-1.77197266,1.11499024,247.4045868,-246.24427796,-249.5114441,1441162274.637805,1
-1.97583008,1.64257813,1.11816407,249.17556763,250.03053284,248.04580689,1441162274.668426,1
-1.97631836,1.64038086,1.1147461,-218.93130494,249.22137452,247.72518921,1441162274.700397,1
-1.62695313,1.6394043,1.11499024,246.96183777,246.68702698,-248.21374512,1441162274.759038,1
-1.62768555,1.63891602,1.11694336,247.12977601,242.85496521,246.68702698,1441162274.790393,1
-1.63720704,-1.77197266,1.11499024,248.48855591,249.54199219,248.99237061,1441162274.848710,1
-1.63134766,1.6369629,1.11621094,248.07633973,244.51908875,-248.99237061,1441162274.880250,1
-1.63720704,-1.7722168,1.11303711,250.10687256,-244.38168335,248.47328187,1441162274.938494,1
-1.62792969,1.63891602,1.11059571,248.15266419,248.51908875,246.51908875,1441162274.970561,1
-1.63012696,1.63476563,1.11865235,247.55725098,248.42747498,245.5114441,1441162275.028825,1
-1.63354493,-1.77172852,1.11816407,248.06106568,245.16030884,248.30534363,1441162275.062863,1
-1.63745118,1.64306641,1.11181641,246.19847107,-247.17556763,247.80152894,1441162275.118761,1
-1.62597657,1.63989258,1.11791993,241.52671814,-247.03816224,241.08396912,1441162275.149078,1
-1.64306641,1.64160157,1.11767579,250.03053284,247.83206177,249.58778382,1441162275.214451,1
-1.62768555,1.63867188,1.11254883,249.25190735,-246.99237061,-248.65649415,1441162275.239648,1
-1.63916016,1.64331055,1.11401368,245.19084168,-245.78625489,242.10687256,1441162275.299651,1
-1.62597657,-1.7722168,1.11254883,245.67938233,243.02290345,246.870224,1441162275.332306,1
-1.63354493,1.64282227,1.11401368,245.84733582,243.67938233,247.81678772,1441162275.387880,1
-1.6291504,1.64306641,1.11572266,247.81678772,248.67175293,-249.66412354,1441162275.418564,1
-1.6369629,1.64404297,-1.80566407,243.31297303,-219.0076294,249.84733582,1441162275.450376,1
-1.61962891,1.64868165,1.11767579,245.84733582,239.45037842,250.09159852,1441162275.510246,1
-1.66650391,1.64501954,1.09936524,244.24427796,245.12977601,-249.96946717,1441162275.540829,1
-1.97778321,1.6550293,1.10205079,243.31297303,244.67175293,-247.02290345,1441162275.599205,1
-1.65527344,-1.7709961,1.10253907,245.7709961,248.16793824,243.55725098,1441162275.632376,1
-1.64453125,1.65063477,1.10595704,244.74809266,247.06869507,246.36640931,1441162275.688651,1
-1.65747071,1.65942383,1.10375977,247.72518921,-248.73281861,245.84733582,1441162275.751223,1
-1.65209961,-1.77124024,1.09594727,247.55725098,245.96946717,-248.48855591,1441162275.782309,1
-1.9831543,-1.77001954,1.08129883,246.70228577,248.07633973,246.94656373,1441162275.814381,1
-1.97827149,1.65771485,1.09667969,245.52671814,-249.09924317,-248.30534363,1441162275.869162,1
-1.68115235,1.6628418,1.08984375,246.96183777,246.6412201,244.48855591,1441162275.903018,1
-1.70483399,1.66967774,-1.80664063,247.64884949,-247.3740387,-245.75572205,1441162275.961224,1
-1.67919922,1.66259766,1.09350586,246.01527405,-247.58778382,249.92366028,1441162275.991343,1
-1.66870118,1.66577149,-1.80664063,-249.75572205,-245.28244019,247.89312745,1441162276.049591,1
-1.68041993,1.66625977,1.0900879,247.64884949,-238.82443238,245.93893433,1441162276.083015,1
-1.66064454,1.66259766,1.09765625,-219.43511963,-249.48091126,240.24427796,1441162276.138756,1
-1.64160157,1.67700196,-1.80615235,243.55725098,-240.96183777,244.39694214,1441162276.202524,1
-1.60742188,1.66357422,1.09863282,249.52671814,-242.51908875,248.83969117,1441162276.231450,1
-1.59179688,1.65722657,1.1003418,-235.32824708,229.89312745,236.35115052,1441162276.264352,1
-1.58276368,1.6381836,0.96728516,-198.6412201,236.85496521,-223.28244019,1441162276.318558,1
-1.55639649,1.58886719,1.08789063,-249.22137452,-216.03053284,-197.86259461,1441162276.350853,1
-1.07373047,1.75488282,0.91210938,-4.12213755,-217.67938233,-96.16793824,1441162276.409630,1
-0.47558594,-1.73632813,0.12695313,-222.39694214,-234.5038147,-27.57251931,1441162276.440564,1
-1.80834961,-1.64892579,1.40454102,-198.6412201,218.32061768,-219.22137452,1441162276.500663,1
-1.2097168,1.9338379,1.87280274,-234.5038147,-244.12213135,-205.31297303,1441162276.535498,1
-1.2253418,-1.72973633,1.22241211,121.00763703,-132.45800782,167.57252503,1441162276.588826,1
-1.22094727,-1.75683594,1.09643555,200.97709656,-135.08396912,82.35114289,1441162276.620943,1
-1.50830079,1.48803711,0.56762696,-165.32824708,-156.76335145,13.81679345,1441162276.681832,1
-1.9506836,1.0612793,0.39282227,182.58015442,-244.97709656,74.53434754,1441162276.714421,1
-1.46923829,0.29199219,1.13134766,190.74809266,-209.60305787,81.25190735,1441162276.768808,1
1.5510254,0.36669922,1.44604493,-214.47328187,-247.35877991,126.68701935,1441162276.801832,1
1.29418946,0.30517579,1.8334961,-218.06106568,-234.5038147,-172.07633973,1441162276.863994,1
1.90722657,1.35742188,0.15209961,-7.86259556,-88.36640931,-193.61831666,1441162276.890687,1
-1.23242188,1.16870118,-1.95288086,-240.19847107,125.55725098,232.96183777,1441162276.950703,1
-1.62548829,1.62036133,0.78027344,229.0076294,-211.16030884,244.91603089,1441162276.992389,1
-1.71728516,1.63305665,1.21606446,243.03816224,217.43511963,240.85496521,1441162277.040089,1
-1.73876954,1.65112305,1.04370118,240.15266419,-243.12977601,240.25953675,1441162277.069137,1
-1.72583008,1.64868165,1.06958008,238.71755982,-243.03816224,245.34350586,1441162277.131266,1
-1.67626954,1.64941407,1.08154297,246.53434754,245.31297303,246.19847107,1441162277.158741,1
-1.7163086,1.64331055,1.08959961,244.06106568,-249.93893433,243.81678772,1441162277.218956,1
