Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
-1.78149415,1.76806641,1.02270508,247.70993042,249.72518921,243.29771424,1441160693.268434,1
-1.75488282,1.76098633,1.02832032,-219.19084168,-247.74046326,248.32061768,1441160693.327297,1
-1.75756836,1.76342774,1.03442383,247.86259461,-244.74809266,246.62596131,1441160693.356282,1
-1.75683594,1.75610352,-1.8100586,247.46565247,-249.38931275,248.56488038,1441160693.418331,1
-1.74365235,1.76464844,1.03271485,248.99237061,-249.95419312,246.53434754,1441160693.448593,1
-1.72143555,1.75732422,1.03637696,-245.23664856,244.62596131,249.84733582,1441160693.536761,1
-1.72338868,1.76025391,1.02783204,-246.25953675,240.90075684,245.60305787,1441160693.567533,1
-1.74560547,1.74414063,1.03344727,-248.48855591,242.70228577,248.47328187,1441160693.598447,1
-1.78271485,-1.76586915,1.04174805,-247.55725098,244.10687256,247.46565247,1441160693.626231,1
-1.78979493,1.74462891,1.04003907,244.39694214,-249.46565247,250.09159852,1441160693.686935,1
-1.98291016,1.73217774,1.03637696,249.81678772,-246.93130494,244.91603089,1441160693.718684,1
-1.98388672,1.7307129,1.03588868,-247.70993042,244.62596131,-249.5114441,1441160693.776829,1
-1.73217774,1.7229004,1.03930665,-246.77862549,-248.39694214,-246.44274903,1441160693.806222,1
-1.77197266,1.73828125,1.04345704,-245.16030884,248.62596131,-242.80915833,1441160693.868779,1
-1.76660157,1.73144532,1.04345704,-243.81678772,245.66412354,-242.62596131,1441160693.896277,1
-1.78417969,1.72363282,1.04516602,-244.73281861,-248.70228577,-242.80915833,1441160693.957092,1
-1.80590821,1.70996094,1.0588379,-248.48855591,-248,-237.19084168,1441160693.986556,1
-1.78491211,1.74365235,1.01025391,-222.59541321,-236.58015442,-227.54199219,1441160694.049014,1
-1.51464844,1.58007813,0.94604493,-204.97709656,-161.46565247,-142.06106568,1441160694.076234,1
-1.50244141,0.61767579,0.80200196,161.09924317,-234.5038147,-198.70228577,1441160694.136456,1
-0.48242188,0.27514649,0.9819336,-5.93893147,-234.5038147,185.48091126,1441160694.167846,1
1.72583008,-1.875,-0.99340821,-47.23664094,-234.5038147,170.71755982,1441160694.226246,1
1.96240235,1.32666016,0.85717774,-83.61832428,27.60305405,217.78625489,1441160694.256244,1
-1.99316407,1.43334961,0.4260254,-222.59541321,17.72519112,190.48855591,1441160694.318485,1
-1.35449219,-1.8671875,0.89819336,154.68702698,53.64885331,75.74045563,1441160694.348124,1
-1.39575196,-1.74072266,1.38842774,-225.84733582,132.85496521,-234.5038147,1441160694.436922,1
-1.40087891,-1.78173829,1.51733399,57.02289963,-234.91603089,-234.5038147,1441160694.467537,1
-1.48242188,1.98339844,1.18188477,0.22900764,-249.67938233,-234.5038147,1441160694.498627,1
-1.98217774,1.72778321,0.72705079,-234.5038147,-239.86259461,19.08396912,1441160694.526294,1
-1.56762696,1.41333008,0.5197754,-234.5038147,-249.78625489,121.60305024,1441160694.586709,1
-1.06616211,1.34936524,0.25439454,-234.5038147,-198.88549805,146.30534363,1441160694.705919,1
-1.03417969,0.34643555,0.10864258,-228.54962159,-163.03816224,90.22900391,1441160694.736103,1
1.84985352,-1.875,0.32128907,176.94656373,-245.69465638,152.32061768,1441160694.739234,1
1.45532227,-1.875,1.80078125,-220.04580689,246.53434754,-246.10687256,1441160694.825665,1
-1.78125,0.80908204,0.10766602,-107.22137452,-224.870224,-241.70993042,1441160694.834137,1
1.68237305,-1.38452149,0.53442383,-203.5114441,91.08396912,-221.87786866,1441160694.857907,1
1.10327149,1.96606446,0.78247071,226.41221619,229.64884949,248.65649415,1441160694.919306,1
-1.91259766,1.88232422,1.03076172,-248.97709656,249.34350586,-244.5038147,1441160694.950582,1
-1.80249024,1.99975586,0.96142579,-236.65649415,240.870224,241.60305787,1441160695.036770,1
-1.79492188,-1.96484375,1.02636719,-195.7709961,-249.32824708,244.41221619,1441160695.068366,1
-1.83789063,1.92089844,1.0053711,-171.08396912,-228,231.43511963,1441160695.096783,1
-1.83203125,1.92138672,0.95483399,-184.61068726,-225.55725098,242.53434754,1441160695.103392,1
-1.7385254,1.82324219,0.90722657,-228.39694214,-231.80152894,-242.62596131,1441160695.186657,1
-1.83178711,1.82714844,-1.81347657,-242.79389954,-238.61068726,-242.04580689,1441160695.216454,1
