Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
-0.4584961,-0.18823243,-0.39135743,132.45800782,531.2977295,41.52671814,1443014238.080885,1
0.07739258,0.35791016,0.04663086,725.67938233,232.73281861,847.08398438,1443014238.082856,1
0.50732422,-5.50097657,-1.66967774,62.53435135,-905.95422364,692.88549805,1443014238.110821,1
-0.65063477,-0.48291016,0.91064454,-72.36640931,90.5038147,-14.10687066,1443014238.140859,1
-0.17382813,-0.71655274,-0.57226563,-193.83206177,-39.51145173,57.89313126,1443014238.171087,1
-0.55444336,-0.58447266,-0.76098633,18.50381661,-32.97710038,-83.84732819,1443014238.230878,1
-0.38208008,-0.69482422,-0.7265625,-16.18320656,-19.54198456,-0.30534351,1443014238.260819,1
-0.35522461,-0.67236329,-0.70947266,33.34350968,-13.9236641,60.70228959,1443014238.321311,1
-0.35278321,-0.6640625,-0.71826172,-21.86259461,-39.93893052,-10.44274807,1443014238.323151,1
-0.33178711,-0.6916504,-0.69628907,14.96183205,-17.2824421,124.7022934,1443014238.351565,1
0.97875977,-0.67822266,-0.7006836,-26.87022973,-19.90839768,7.75572539,1443014238.410760,1
-0.37719727,-0.71020508,-0.68872071,2.62595416,-26.01526642,-27.84732819,1443014238.412529,1
-0.36035157,-0.67431641,-0.72558594,-21.98473359,-5.4961834,-17.40458107,1443014238.470734,1
-0.32006836,-0.6994629,-0.70922852,6.53435135,-28.51908303,1.22137404,1443014238.472489,1
0.97924805,-0.66552735,-0.7097168,-8,-1.52671755,-26.87022973,1443014238.501274,1
-0.43041993,-0.67382813,0.95800782,3.41984725,-12.09160328,-30.71755791,1443014238.530860,1
-0.3671875,-0.67138672,-0.71386719,-21.80152703,-0.73282445,28.64122201,1443014238.560881,1
-0.3557129,-0.65893555,-0.71923829,12.21374035,-18.19847298,10.87022877,1443014238.590833,1
-0.36962891,-0.67358399,-0.70800782,-9.83206082,-20.33587838,29.12977028,1443014238.650794,1
0.97875977,-0.67797852,-0.70214844,-20.09160233,-2.68702293,-2.7480917,1443014238.652530,1
-0.37744141,-0.67431641,-0.69848633,-4.70229006,-5.43511439,-22.65648842,1443014238.680844,1
-0.36938477,-0.671875,-0.70678711,-18.5648861,10.80916024,-28.21374131,1443014238.713572,1
0.97851563,-0.66967774,-0.71215821,0.97709924,123.54198456,17.58778573,1443014238.741087,1
-0.36767579,-0.6616211,-0.71386719,-20.70228959,2.7480917,-16.61068726,1443014238.770979,1
0.97875977,-0.66479493,-0.71313477,124.94656373,-8.97709942,-5.98473263,1443014238.801154,1
0.97680665,-0.67456055,-0.71679688,12.58015252,5.61832047,-17.77099228,1443014238.831188,1
-0.3815918,-0.67163086,-0.71679688,29.67938996,4.15267182,9.22137452,1443014238.860784,1
-0.39013672,-0.66455079,-0.74243165,88.18320466,-19.90839768,120.12213898,1443014238.890879,1
-0.26342774,-0.69653321,-0.63403321,-53.31297684,-56.48854828,-146.1374054,1443014238.920940,1
-0.20092774,-0.89501954,-0.58081055,28.45801545,99.48091889,-337.22137452,1443014238.950939,1
0.91967774,0.02954102,-2.7319336,495.2671814,-166.22900391,-55.32824326,1443014238.980970,1
-0.23876954,-0.09497071,-1.68847657,296.42749024,163.17556763,290.38168335,1443014239.010830,1
-0.23583985,-0.22241211,-1.26757813,29.43511391,264.36642457,592.2442627,1443014239.040849,1
-0.10986329,-0.69824219,-0.96069336,75.35877991,384.73281861,693.31298829,1443014239.071045,1
0.0612793,-0.95019532,-0.63964844,26.87022973,505.0381775,607.38934327,1443014239.100993,1
0.14306641,-0.85424805,-0.47485352,200.97709656,520.97711182,421.25192261,1443014239.130922,1
0.08129883,0.96069336,-0.81372071,273.40457154,520.30535889,305.89312745,1443014239.160826,1
-0.2619629,-0.33105469,-1.3425293,312.2442627,715.84735108,264.54962159,1443014239.220847,1
-0.40869141,-0.26831055,-1.38110352,206.65649415,909.31298829,343.20611573,1443014239.250941,1
-0.47314454,-0.21069336,-1.16577149,211.78625489,1,000.51910401,367.14505005,1443014239.281567,1
0.97875977,-0.59570313,-0.96264649,327.38931275,976.0610962,457.46563721,1443014239.310972,1
-0.32861329,-0.81811524,-0.95239258,62.10686875,803.54199219,219.72518921,1443014239.340805,1
-0.45043946,-0.70898438,-0.8269043,-118.59542084,568.18322754,208.61068726,1443014239.371026,1
-0.63916016,-0.56396485,-0.4194336,-213.98472596,438.29006959,145.09924317,1443014239.401054,1
-1.11621094,-0.83178711,-0.5456543,50.87022782,368,15.02290059,1443014239.430929,1
-1.11889649,0.94653321,-0.43017579,122.62595368,262.96182251,13.61832047,1443014239.460930,1
-1.08325196,-0.26928711,-0.05664063,-10.01526738,2.56488538,-31.51144982,1443014239.490987,1
-1.19897461,-0.1315918,-0.29052735,3.5419848,117.61832428,55.26717377,1443014239.550911,1
-1.21044922,-0.15844727,-0.42260743,190.65649415,112.91603089,152.97709656,1443014239.552684,1
0.17041016,-0.50708008,-0.4921875,34.07633591,-346.87023926,413.80151368,1443014239.582016,1
-0.77734375,-1.47875977,-1.32397461,333.55725098,-517.98474122,37.43511582,1443014239.610842,1
-0.40356446,-0.74316407,-0.83813477,418.99237061,-113.83206177,159.2671814,1443014239.640802,1
-0.43872071,-1.08935547,-0.74121094,-3.78625966,-47.2061081,131.11450196,1443014239.701885,1
-0.31616211,0.95654297,-0.64501954,20.94656563,34.32061005,-43.48091507,1443014239.730842,1
-0.21166993,-0.66088868,-0.65161133,26.01526642,42.1374054,-24.48855019,1443014239.760804,1
-0.3166504,-0.73754883,-0.64916993,-5.25190831,0.97709924,-26.93129731,1443014239.790807,1
-0.29760743,-0.80541993,-0.64746094,-48.48854828,3.17557264,27.54198456,1443014239.820883,1
-0.30004883,-0.77392579,-0.69970704,115.72518921,-40.12213898,41.58778763,1443014239.851157,1
0.98046875,-0.72851563,-0.65087891,-136.91603089,-22.90076256,44.45801545,1443014239.881038,1
-0.36206055,-0.69726563,-0.69482422,-72.30534363,-23.51144982,42.38167954,1443014239.910842,1
-0.30517579,-0.7072754,0.95898438,-76.45801545,-1.95419848,3.48091603,1443014239.940815,1
-0.30126954,0.9597168,-0.70458985,-86.96183014,-29.9236641,18.87022973,1443014239.970982,1
