Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
-1.7072754,1.73583985,1.05249024,244.47328187,-246.88549805,248.99237061,1441160929.195514,3
-1.70214844,1.74829102,1.05029297,247.08396912,-246.59541321,-249.67938233,1441160929.255962,3
-1.68798829,1.74707032,1.05639649,249.80152894,246.54962159,248.88549805,1441160929.286885,3
-1.68847657,1.74707032,1.06079102,-218.99237061,-247.92366028,247.54199219,1441160929.346515,3
-1.69726563,1.74975586,1.05566407,245.64884949,-248.76335145,-249.2671814,1441160929.375452,3
-1.68847657,1.75439454,1.05908204,-249.09924317,249.43511963,248.97709656,1441160929.437106,3
-1.6862793,1.74829102,1.05493165,-219.09924317,-248.47328187,-247.38931275,1441160929.467081,3
-1.68164063,1.74804688,1.05761719,-218.97709656,-250.1374054,-249.0076294,1441160929.525510,3
-1.68603516,1.74926758,1.05322266,248.97709656,-249.96946717,248.45800782,1441160929.555326,3
-1.68652344,1.74487305,1.05175782,244.10687256,241.58778382,-247.64884949,1441160929.617314,3
-1.6928711,1.74707032,1.05664063,248.79389954,248.39694214,-248.48855591,1441160929.645342,3
-1.6940918,1.74975586,1.0522461,246.5038147,243.98472596,-219.0076294,1441160929.706492,3
-1.68579102,1.75463868,1.05859375,249.29771424,249.46565247,250,1441160929.737795,3
-1.68310547,1.74682618,1.05297852,244.71755982,-249.72518921,-247.72518921,1441160929.795379,3
-1.69091797,1.7553711,-1.80859375,249.98472596,-248.82443238,-247.1450348,1441160929.826270,3
-1.69189454,1.73828125,1.04858399,249.3740387,-250.09159852,-249.58778382,1441160929.886558,3
-1.69506836,1.74267579,1.05322266,243.43511963,-248.32061768,243.12977601,1441160929.915659,3
-1.69824219,1.74560547,1.05419922,246.99237061,248.70228577,249.4045868,1441160929.975280,3
-1.98144532,1.74658204,1.05444336,-248.74809266,-240.80915833,248.38168335,1441160930.005095,3
-1.68334961,1.75488282,1.06201172,-248.41221619,-237.38931275,-248.56488038,1441160930.067774,3
-1.66723633,1.73583985,1.05151368,-249.92366028,-241.25190735,245.41984559,1441160930.095102,3
-1.65527344,1.73291016,1.06347657,247.86259461,-246.870224,-248.39694214,1441160930.155836,3
-1.64233399,-1.76660157,1.07250977,-247.31297303,-219.09924317,-249.67938233,1441160930.186974,3
-1.66796875,1.72973633,1.07006836,246.74809266,247.05343628,249.90840149,1441160930.248557,3
-1.65014649,1.74023438,1.06469727,-249.69465638,243.74046326,-247.22137452,1441160930.277662,3
-1.65893555,1.73779297,1.06152344,-248.85496521,242.59541321,-247.20610047,1441160930.338317,3
-1.68334961,1.73339844,1.0612793,248.36640931,-249.06869507,242.01527405,1441160930.367529,3
-1.69799805,1.72558594,1.05834961,-248.67175293,-250.12213135,240.15266419,1441160930.425498,3
-1.67480469,1.7265625,1.06176758,247.11450196,-249.81678772,241.75572205,1441160930.455451,3
-1.69848633,1.72973633,1.05712891,-218.90075684,-244.56488038,243.20610047,1441160930.518318,3
-1.65966797,1.73168946,-1.80810547,248.62596131,-247.02290345,245.7709961,1441160930.545147,3
-1.69140625,1.73364258,1.06201172,-247.05343628,-249.90840149,246.94656373,1441160930.606317,3
-1.6484375,1.73364258,1.06762696,-239.46565247,246.77862549,-248.91603089,1441160930.638365,3
