Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Time,Label
-0.21264649,-0.59619141,0.2006836,-9.4961834,2.35114503,8.13740445,1443013267.255607,1
-0.21142579,-0.62182618,-0.79956055,-10.7480917,-0.22900764,2.10687018,1443013267.314970,1
-0.21069336,-0.60717774,-0.79345704,-8.27480889,-3.05343509,-0.32061068,1443013267.319078,1
-0.21264649,-0.59277344,0.2006836,-11.29770947,1.26717556,5.0839696,1443013267.345653,1
-0.20922852,-0.60717774,-0.79858399,-11.89312935,1.70992363,-7.35877848,1443013267.375750,1
-0.21777344,-0.60180665,-0.80639649,-15.95419884,1.09923661,10.54961873,1443013267.404379,1
0.23730469,-0.57885743,-0.82495118,-14.59541989,-2.3358779,3.05343509,1443013267.464638,1
-0.17089844,-0.55615235,-0.82275391,-8.58015252,-7.23664141,18.47328187,1443013267.495758,1
-0.16528321,-0.48950196,-0.85546875,-4.51908398,-4.7480917,38.94656373,1443013267.524414,1
0.24047852,-0.35400391,-0.90478516,1.06870235,-11.74045849,76.09160615,1443013267.553562,1
-0.1640625,-0.5234375,0.20996094,74.06106568,-46.30534363,151.09924317,1443013267.583457,1
0.22729493,-0.58496094,-1.16479493,157.49618531,-142.1374054,160.18321229,1443013267.613633,1
-0.37109375,-1.49316407,0.125,250.12977601,15.63358784,193.80152894,1443013267.643812,1
-1.65649415,1.02392579,0.125,18.77862549,15.63358784,242.31297303,1443013267.673767,1
0.125,0.125,0.125,15.63358784,14.50381661,153.09924317,1443013267.703697,1
1.0065918,-1.63500977,-0.97436524,52.16793824,250.12977601,40.33587647,1443013267.733450,1
0.70898438,-1.01708985,-0.48559571,-44,144.2748108,-73.2061081,1443013267.763580,1
0.10107422,-0.60668946,-0.41772461,1.78625954,9.05343533,-35.89313126,1443013267.824695,1
-0.19824219,-0.84692383,-0.93530274,40.2748108,194.39694214,-106.82442475,1443013267.882860,1
-0.80151368,-0.11303711,-0.44653321,29.83206177,227.83206177,-93.11450196,1443013267.884678,1
-1.03930665,-1.74902344,-0.29077149,-72.6412201,86.97709656,-140.77862549,1443013267.943316,1
-1.61157227,-0.5510254,-0.75610352,13.55725194,85.48091889,-135.83206177,1443013268.032407,1
0.15966797,-1.46435547,-0.93334961,-58.8549614,71.46565247,-87.64885712,1443013268.034236,1
-1.34863282,-1.10107422,0.24560547,-159.75572205,49.17557145,-109.28244019,1443013268.036045,1
-1.21411133,0.20336915,0.4831543,-71.00763703,20.45801545,21.90839768,1443013268.063088,1
-1.58032227,-0.13598633,0.4350586,-114.99236298,-100.24427796,-85.75572205,1443013268.093299,1
-1.91918946,0.06518555,0.15454102,16.41221428,-73.09923554,-49.14503861,1443013268.123136,1
-1.20532227,0.00073243,-0.20483399,192.91603089,-63.46564866,49.98473359,1443013268.153277,1
-1.47094727,0.125,-1.71777344,250.12977601,-118.61068726,250.12977601,1443013268.183249,1
0.03613282,-0.55200196,-0.39355469,-117.7099228,43.66412354,-111.74045563,1443013268.213285,1
-0.14111329,-0.6459961,-0.69262696,-93.54198456,38.2748108,-29.40458107,1443013268.243475,1
0.23535157,-0.6862793,-0.72924805,-35.83206177,3.81679392,-34.24427414,1443013268.273177,1
-0.22387696,-0.65771485,0.20483399,-14.59541989,6.77862597,-35.2061081,1443013268.303279,1
-0.24731446,-0.69262696,-0.71923829,-22.88549614,5.46564866,-19.22137452,1443013268.333245,1
